player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards,year
Blake Gillikin,45045,P,NO,17,77,77,4.25,41.56,46.39,8.9,0,0,13,25,20,69.7,35,68,6,0,33.8,232,26,77,327.53,3200,7,3572,2022
Lou Hedley,98796,P,NO,17,75,75,4.04,39.75,42.99,5.6,0,0,9,24,20,56.2,34,62,9,0,38.7,163,29,75,302.77,2981,4,3224,2023
Matthew Hayball,100813,P,NO,10,44,44,4.23,40.52,44.68,7.7,0,0,5,16,20,64.2,24,59,4,0,36.4,123,16,44,186.28,1783,3,1966,2024
Jeff Feagles,8,P,NYG,12,65,65,4.24,37.69,40.95,5.7,0,0,7,9,21,,24,56,19,0,46.2,172,30,65,275.55,2450,2,2662,2006
Jeff Feagles,8,P,NYG,5,25,25,4.3,36.88,39.68,7.1,0,0,6,8,21,,12,51,2,0,28.0,50,7,25,107.4,922,1,992,2007
Jeff Feagles,8,P,NYG,10,39,39,4.27,39.69,43.46,6.7,0,0,2,10,21,,16,61,8,0,41.0,107,16,39,166.42,1548,2,1695,2008
Jeff Feagles,8,P,NYG,5,22,22,3.47,38.23,42.68,12.3,0,0,2,5,21,,9,56,7,0,36.4,98,8,22,76.26,841,0,939,2009
Matt Dodge,5744,P,NYG,3,13,13,4.24,36.69,49.54,25.4,0,0,1,1,21,,3,69,4,0,38.5,127,5,13,55.1,477,2,644,2010
Steve Weatherford,3552,P,NYG,1,2,2,4.05,38.0,38.0,,0,0,1,0,21,,2,41,0,0,0.0,0,0,2,8.1,76,0,76,2012
Steve Weatherford,3552,P,NYG,16,91,91,4.19,38.19,46.93,13.7,0,0,7,17,21,68.4,25,68,11,1,52.7,656,48,91,381.4,3475,7,4271,2013
Steve Weatherford,3552,P,NYG,16,80,80,4.12,39.08,45.5,10.6,0,0,15,17,21,61.8,26,71,5,0,46.3,394,37,81,329.77,3126,6,3640,2014
Brad Wing,8256,P,NYG,16,76,76,4.3,38.63,44.16,10.0,0,0,17,22,21,54.0,34,64,2,1,39.5,300,30,76,326.86,2936,6,3356,2015
Brad Wing,8256,P,NYG,17,101,101,4.13,40.29,45.63,9.3,0,0,20,18,21,62.7,37,63,13,0,40.6,380,41,101,417.31,4069,8,4609,2016
Brad Wing,8256,P,NYG,16,95,95,4.1,37.48,44.09,10.4,2,0,16,20,21,47.3,22,69,7,0,45.3,448,43,97,389.42,3561,9,4189,2017
Riley Dixon,10862,P,NYG,16,71,71,4.21,41.82,45.44,6.6,0,0,15,16,21,56.0,24,60,9,0,38.0,177,27,71,298.96,2969,4,3226,2018
Riley Dixon,10862,P,NYG,16,69,69,4.35,43.51,46.06,5.7,2,0,17,17,21,67.0,32,62,9,0,34.8,136,24,71,300.03,3002,2,3178,2019
Riley Dixon,10862,P,NYG,16,65,65,4.36,39.37,44.78,9.3,1,0,14,18,21,64.0,28,71,2,0,38.5,232,25,66,283.08,2559,6,2911,2020
Riley Dixon,10862,P,NYG,17,74,74,4.16,39.54,44.36,8.5,0,0,17,15,21,51.2,24,63,8,0,37.8,237,28,74,307.55,2926,6,3283,2021
Jamie Gillan,63303,P,NYG,19,81,81,4.44,40.9,46.54,9.6,1,0,6,30,21,69.8,31,69,7,0,35.8,277,29,82,359.33,3313,9,3770,2022
Jamie Gillan,63303,P,NYG,17,95,95,4.18,42.34,46.02,6.9,0,0,9,36,21,60.3,41,74,7,0,41.1,270,39,95,396.67,4022,4,4372,2023
Matt Haack,12212,P,NYG,4,21,21,4.29,39.48,47.05,15.4,0,0,0,9,21,61.7,9,66,2,0,42.9,139,9,21,90.11,829,1,988,2024
Jamie Gillan,63303,P,NYG,6,25,25,4.25,41.24,46.36,8.0,0,0,3,6,21,64.0,13,67,3,0,44.0,88,11,25,106.28,1031,2,1159,2024
Ben Graham,2608,P,NYJ,8,33,33,4.21,38.58,42.61,4.3,0,0,5,8,22,,18,69,4,0,51.5,73,17,33,139.05,1273,3,1406,2006
Ben Graham,2608,P,NYJ,5,18,18,4.02,32.72,41.28,14.3,0,0,3,3,22,,5,62,2,0,44.4,114,8,18,72.4,589,2,743,2007
Reggie Hodges,2427,P,NYJ,9,36,36,3.92,36.92,41.47,7.3,0,0,5,11,22,,13,53,1,0,47.2,124,17,37,141.02,1329,2,1493,2008
Steve Weatherford,3552,P,NYJ,3,19,19,4.0,35.37,40.16,4.4,0,0,2,3,22,,7,57,3,0,36.8,31,7,19,75.92,672,3,763,2009
Steve Weatherford,3552,P,NYJ,1,7,7,4.53,43.14,46.29,22.0,0,0,1,5,22,,4,53,0,0,14.3,22,1,7,31.7,302,0,324,2010
T.J. Conley,5292,P,NYJ,2,11,11,4.41,38.36,42.91,6.0,0,0,0,4,22,,4,60,0,0,45.5,30,5,11,48.5,422,1,472,2011
Robert Malone,6116,P,NYJ,2,3,3,4.93,43.67,53.67,15.0,0,0,1,0,22,,2,58,0,0,66.7,30,2,3,14.8,131,0,161,2012
Robert Malone,6116,P,NYJ,2,16,16,4.43,36.94,46.13,11.9,0,0,1,2,22,64.2,4,84,2,0,56.3,107,9,16,70.8,591,2,738,2013
Ryan Quigley,7573,P,NYJ,14,72,72,4.36,39.35,45.49,11.2,0,0,6,19,22,68.0,23,67,10,0,47.2,382,34,73,313.9,2833,3,3275,2013
Ryan Quigley,7573,P,NYJ,16,78,78,4.45,40.44,45.95,10.4,0,0,9,24,22,72.8,25,69,10,0,30.8,250,24,79,346.72,3154,9,3584,2014
Steve Weatherford,3552,P,NYJ,1,4,4,4.1,30.75,40.25,12.7,0,0,1,0,22,53.0,0,50,0,0,75.0,38,3,4,16.38,123,0,161,2015
Ryan Quigley,7573,P,NYJ,15,75,75,4.43,36.75,43.57,12.7,0,0,8,14,22,70.4,29,68,14,0,45.3,432,34,76,332.17,2756,4,3268,2015
Lachlan Edwards,10869,P,NYJ,16,75,75,4.35,37.83,43.15,9.1,1,0,8,22,22,50.0,27,59,6,0,46.7,319,35,76,326.02,2837,4,3236,2016
Lachlan Edwards,10869,P,NYJ,16,94,94,4.18,40.5,46.57,10.0,0,0,10,23,22,58.4,36,70,8,0,52.1,491,49,94,392.46,3807,4,4378,2017
Lachlan Edwards,10869,P,NYJ,16,82,82,4.15,40.79,45.89,7.6,0,0,10,15,22,52.5,25,67,10,0,51.2,318,42,82,340.14,3345,5,3763,2018
Lachlan Edwards,10869,P,NYJ,16,87,87,4.19,41.63,45.87,7.0,0,0,18,13,22,57.7,30,63,9,0,50.6,309,44,87,364.16,3622,3,3991,2019
Braden Mann,44664,P,NYJ,16,82,82,4.39,37.22,43.88,11.7,0,0,10,20,22,64.4,19,60,9,0,46.3,446,38,82,360.22,3052,5,3598,2020
Matt Ammendola,34039,K,NYJ,1,6,6,3.98,42.5,48.5,12.0,0,0,0,1,22,56.0,2,65,2,0,50.0,36,3,6,23.88,255,0,291,2021
Braden Mann,44664,P,NYJ,10,41,41,4.33,41.56,45.73,9.4,1,0,9,6,22,57.1,15,63,9,0,39.0,151,16,42,177.5,1704,1,1875,2021
Braden Mann,44664,P,NYJ,17,82,82,4.35,40.98,47.35,11.3,1,0,11,16,22,76.8,29,72,15,0,39.0,363,32,83,356.41,3360,8,3883,2022
Thomas Morstead,5088,P,NYJ,17,99,99,4.32,41.78,48.8,11.1,0,0,7,28,22,72.9,40,62,8,0,48.5,535,48,99,427.32,4136,8,4831,2023
Thomas Morstead,5088,P,NYJ,10,42,42,4.25,41.79,47.9,8.3,0,0,4,11,22,61.8,15,75,3,0,45.2,157,19,42,178.46,1755,5,2012,2024
Shane Lechler,673,P,OAK,7,34,34,4.26,36.24,48.32,13.2,1,0,3,6,23,,9,65,2,0,47.1,211,16,35,144.94,1232,10,1643,2006
Shane Lechler,673,P,OAK,1,4,4,4.33,46.5,48.5,4.0,0,0,0,2,23,,3,51,0,0,50.0,8,2,4,17.3,186,0,194,2007
Shane Lechler,673,P,OAK,8,50,50,4.34,40.3,47.82,11.5,0,0,12,5,23,,21,70,3,0,48.0,276,24,50,217.1,2015,5,2391,2008
Shane Lechler,673,P,OAK,5,23,23,4.33,42.65,51.17,9.7,0,0,3,2,23,,5,69,1,0,52.2,116,12,23,99.67,981,4,1177,2009
Shane Lechler,673,P,OAK,3,13,13,4.3,45.08,49.62,8.4,0,0,2,3,23,,6,68,1,0,53.8,59,7,13,55.9,586,0,645,2010
Shane Lechler,673,P,OAK,3,18,18,4.39,42.94,51.78,12.6,0,0,3,1,23,,6,71,2,0,61.1,139,11,18,79.1,773,1,932,2011
Shane Lechler,673,P,OAK,3,8,8,4.51,43.5,46.38,7.7,0,0,0,4,23,,5,61,1,0,37.5,23,3,8,36.1,348,0,371,2012
Marquette King,7410,P,OAK,16,84,84,4.22,41.06,48.83,10.6,0,0,11,11,23,54.5,24,66,9,0,48.8,433,41,86,354.6,3449,11,4102,2013
Marquette King,7410,P,OAK,16,109,109,4.5,39.88,45.17,11.2,0,0,21,33,23,64.8,32,62,5,0,42.2,516,46,109,490.71,4347,3,4923,2014
Marquette King,7410,P,OAK,16,83,83,4.33,41.0,44.39,6.9,0,0,20,20,23,70.7,42,70,9,0,34.9,201,29,84,359.76,3403,4,3684,2015
Marquette King,7410,P,OAK,17,91,91,4.36,41.37,48.27,11.9,0,0,15,16,23,76.6,40,72,13,3,39.6,428,36,91,396.34,3765,10,4393,2016
Marquette King,7410,P,OAK,16,69,69,4.44,42.68,47.39,6.4,0,0,10,15,23,81.8,31,65,6,0,46.4,205,32,69,306.02,2945,6,3270,2017
Johnny Townsend,22261,P,OAK,16,70,70,4.29,38.3,43.17,8.6,0,0,10,22,23,47.6,19,64,5,0,40.0,241,28,70,299.96,2681,5,3022,2018
AJ Cole,36038,P,OAK,16,67,67,4.27,39.45,45.99,10.6,0,0,8,20,23,58.9,35,74,3,1,44.8,318,30,67,286.08,2643,6,3081,2019
Dirk Johnson,428,P,PHI,17,87,87,4.24,35.67,42.45,7.3,0,0,12,15,24,,30,60,4,0,58.6,370,51,87,368.87,3103,11,3693,2006
Saverio Rocca,4274,P,PHI,16,72,72,4.21,35.53,41.94,9.2,0,0,8,14,24,,25,65,7,0,48.6,322,35,72,303.1,2558,7,3020,2007
Saverio Rocca,4274,P,PHI,19,86,86,4.16,38.63,43.42,7.4,0,0,13,14,24,,32,65,9,0,52.3,332,45,87,357.39,3322,4,3734,2008
Saverio Rocca,4274,P,PHI,8,36,36,3.9,36.33,39.72,5.7,0,0,3,8,24,,16,57,6,0,50.0,102,18,36,140.46,1308,1,1430,2009
Saverio Rocca,4274,P,PHI,3,11,11,4.08,36.27,44.27,14.7,0,0,0,3,24,,6,59,1,0,54.5,88,6,11,44.9,399,0,487,2010
Chas Henry,6610,P,PHI,1,4,4,3.8,30.0,34.0,8.0,0,0,1,1,24,,2,45,0,0,50.0,16,2,4,15.2,120,0,136,2011
Mat McBriar,1659,P,PHI,2,3,3,4.1,38.67,41.33,8.0,0,0,0,2,24,,1,42,0,0,33.3,8,1,3,12.3,116,0,124,2012
Donnie Jones,1939,P,PHI,17,87,87,4.28,40.82,45.11,8.5,0,0,19,22,24,63.4,36,70,8,0,34.5,254,30,88,372.3,3551,6,3925,2013
Donnie Jones,1939,P,PHI,16,76,76,4.29,38.86,43.83,8.2,0,0,13,22,24,60.1,35,68,5,0,38.2,238,29,76,326.04,2953,7,3331,2014
Donnie Jones,1939,P,PHI,16,86,86,4.4,42.6,46.97,5.1,0,1,12,23,24,63.8,31,64,1,1,48.8,215,42,89,378.67,3664,8,4039,2015
Donnie Jones,1939,P,PHI,16,63,63,4.29,40.73,45.84,8.4,0,0,11,15,24,64.3,23,72,6,0,38.1,202,24,63,270.04,2566,6,2888,2016
Donnie Jones,1939,P,PHI,19,74,74,4.18,41.03,44.96,7.1,1,0,16,20,24,55.3,27,62,7,0,32.4,171,24,75,309.02,3036,6,3327,2017
Cameron Johnston,12255,P,PHI,18,71,71,4.17,43.13,47.94,5.9,0,0,5,22,24,51.2,31,68,3,0,47.9,202,34,71,296.32,3062,7,3404,2018
Cameron Johnston,12255,P,PHI,17,74,74,4.21,42.38,46.32,6.4,0,0,9,21,24,54.9,34,61,7,0,44.6,212,33,74,311.63,3136,4,3428,2019
Jake Elliott,11908,K,PHI,1,2,2,3.58,38.5,38.5,0.0,0,0,0,0,24,58.8,1,42,0,0,100.0,0,2,2,7.16,77,0,77,2020
Cameron Johnston,12255,P,PHI,16,71,71,4.33,41.18,46.73,6.7,1,0,5,13,24,63.0,29,66,6,0,57.7,274,41,72,307.08,2924,6,3318,2020
Arryn Siposs,82019,P,PHI,17,61,61,4.22,38.85,43.74,8.5,0,0,10,13,24,64.8,19,68,7,0,45.9,238,28,61,257.57,2370,3,2668,2021
