player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent,year
Cairo Santos,8932,K,CHI,17,0,8,7,87.5,10,8,80.0,6,83.3,0,0,,33,31,93.9,0,11,11,100.0,38,35,92.1,9,9,100.0,2023
Cairo Santos,8932,K,CHI,9,0,7,6,85.7,3,2,66.7,6,72.7,0,0,,16,15,93.8,0,2,2,100.0,14,12,85.7,2,2,100.0,2024
Mike Nugent,2264,K,CIN,17,0,4,3,75.0,10,8,80.0,7,72.2,0,0,,54,53,98.1,0,7,6,85.7,23,19,82.6,2,2,100.0,2013
Mike Nugent,2264,K,CIN,16,0,4,1,25.0,12,10,83.3,7,56.3,0,0,,40,40,100.0,0,12,10,83.3,34,27,79.4,6,6,100.0,2014
Mike Nugent,2264,K,CIN,17,0,3,2,66.7,13,10,76.9,7,82.6,0,0,,50,49,98.0,0,7,6,85.7,29,24,82.8,6,6,100.0,2015
Mike Nugent,2264,K,CIN,13,0,3,0,0.0,7,5,71.4,7,30.0,0,0,,29,23,79.3,0,10,9,90.0,29,23,79.3,9,9,100.0,2016
Randy Bullock,7154,K,CIN,5,0,0,0,,3,2,66.7,7,50.4,0,0,,10,9,90.0,0,2,2,100.0,9,8,88.9,4,4,100.0,2016
Randy Bullock,7154,K,CIN,14,0,1,1,100.0,5,4,80.0,7,69.2,0,0,,33,31,93.9,0,8,7,87.5,20,18,90.0,6,6,100.0,2017
Marshall Koehn,11209,K,CIN,1,0,0,0,,0,0,,7,60.4,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2017
Randy Bullock,7154,K,CIN,16,0,5,2,40.0,6,6,100.0,7,65.5,0,0,,41,39,95.1,0,8,7,87.5,23,19,82.6,4,4,100.0,2018
Randy Bullock,7154,K,CIN,16,0,3,1,33.3,12,10,83.3,7,67.1,0,0,,25,24,96.0,0,6,6,100.0,31,27,87.1,10,10,100.0,2019
Randy Bullock,7154,K,CIN,12,0,5,3,60.0,8,7,87.5,7,48.7,0,0,,25,24,96.0,0,10,8,80.0,26,21,80.8,3,3,100.0,2020
Austin Seibert,13701,K,CIN,5,0,1,0,0.0,3,1,33.3,7,42.5,0,0,,9,8,88.9,0,5,5,100.0,9,6,66.7,0,0,,2020
Elliott Fry,21473,K,CIN,2,0,0,0,,1,1,100.0,7,45.3,0,0,,5,4,80.0,0,4,3,75.0,5,4,80.0,0,0,,2021
Evan McPherson,82583,K,CIN,20,0,14,12,85.7,11,8,72.7,7,89.3,0,0,,54,52,96.3,0,15,15,100.0,47,42,89.4,7,7,100.0,2021
Evan McPherson,82583,K,CIN,19,0,5,5,100.0,13,9,69.2,7,54.9,1,1,100.0,51,46,90.2,0,6,6,100.0,34,29,85.3,9,8,88.9,2022
Evan McPherson,82583,K,CIN,17,0,12,7,58.3,8,8,100.0,7,84.4,0,0,,40,40,100.0,0,6,6,100.0,31,26,83.9,5,5,100.0,2023
Evan McPherson,82583,K,CIN,10,0,6,3,50.0,4,3,75.0,7,62.8,0,0,,30,29,96.7,0,3,3,100.0,17,13,76.5,4,4,100.0,2024
Billy Cundiff,1230,K,CLV,16,0,4,2,50.0,9,7,77.8,8,56.9,0,0,,32,32,100.0,0,6,5,83.3,26,21,80.8,7,7,100.0,2013
Spencer Lanning,6566,P,CLV,1,0,0,0,,0,0,,8,60.1,0,0,,1,1,100.0,0,0,0,,0,0,,0,0,,2013
Billy Cundiff,1230,K,CLV,13,0,3,1,33.3,7,5,71.4,8,55.6,0,0,,28,28,100.0,0,13,10,76.9,29,22,75.9,6,6,100.0,2014
Garrett Hartley,4900,K,CLV,2,0,0,0,,1,1,100.0,8,65.6,0,0,,2,2,100.0,0,2,2,100.0,3,3,100.0,0,0,,2014
Travis Coons,9268,K,CLV,16,0,2,0,0.0,9,7,77.8,8,72.4,0,0,,24,22,91.7,0,10,10,100.0,32,28,87.5,11,11,100.0,2015
Cody Parkey,9030,K,CLV,14,0,1,1,100.0,12,7,58.3,8,52.1,0,0,,21,20,95.2,0,6,6,100.0,25,20,80.0,6,6,100.0,2016
Patrick Murray,9389,K,CLV,2,0,1,0,0.0,0,0,,8,53.5,0,0,,4,3,75.0,0,1,1,100.0,2,1,50.0,0,0,,2016
Zane Gonzalez,11979,K,CLV,16,0,3,2,66.7,6,4,66.7,8,57.3,0,0,,26,25,96.2,0,6,4,66.7,20,15,75.0,5,5,100.0,2017
Greg Joseph,22842,K,CLV,14,0,2,1,50.0,7,5,71.4,8,42.0,0,0,,29,25,86.2,0,7,7,100.0,20,17,85.0,4,4,100.0,2018
Austin Seibert,13701,K,CLV,16,0,2,1,50.0,12,9,75.0,8,48.3,0,0,,35,30,85.7,0,9,9,100.0,29,25,86.2,6,6,100.0,2019
Cody Parkey,9030,K,CLV,17,0,0,0,,12,11,91.7,8,61.7,0,0,,56,51,91.1,0,7,5,71.4,25,22,88.0,6,6,100.0,2020
Jamie Gillan,63303,P,CLV,1,0,1,0,0.0,0,0,,8,58.8,0,0,,0,0,,0,0,0,,1,0,0.0,0,0,,2020
Chase McLaughlin,33285,K,CLV,16,0,4,4,100.0,10,4,40.0,8,64.5,0,0,,37,36,97.3,0,4,4,100.0,21,15,71.4,3,3,100.0,2021
