player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
A.J. Hawk,2950,LB,GB,17,25,0,69.8,0,1,12,1,0,80.4,61.2,70.9,56.1,39.6,67.3,1,11,0,1,32.0,11.4,13,3,1,97.1,37,4,0,967,5,506,1057,75,0,0,75,0,3,982,111,440,7,35,76,7,53,16,2,408,197,11.0,2013
Johnny Jolly,3128,DI,GB,13,5,1,,0,0,12,1,0,64.4,53.1,83.2,50.2,53.7,63.7,1,3,0,0,,5.3,1,0,0,0.0,0,0,0,0,0,2,286,286,5,8,17,256,0,0,137,147,0,10,13,5,0,4,0,0,0,,2013
Jarrett Bush,3261,CB,GB,9,2,0,66.7,0,0,12,0,0,80.7,81.0,85.4,66.8,48.1,39.2,0,1,0,1,15.0,25.0,3,3,1,53.5,10,0,0,57,4,104,125,0,0,0,0,0,0,125,5,16,63,2,7,0,15,1,0,85,52,8.5,2013
Tramon Williams,3558,CB,GB,17,7,1,57.0,3,2,12,2,0,77.4,77.6,33.2,75.9,71.3,61.5,3,3,0,4,55.0,11.8,10,6,11,78.0,53,2,0,123,662,634,1101,0,0,0,0,0,17,1101,35,432,299,27,68,3,93,8,4,714,258,13.5,2013
B.J. Raji,4932,DI,GB,17,3,0,100.0,0,0,12,0,0,71.4,47.3,72.3,51.0,46.8,77.3,3,10,0,0,-3.0,9.1,2,0,1,79.2,1,0,0,0,0,2,653,653,80,25,1,547,0,0,309,342,0,15,17,3,1,13,0,-3,0,-3.0,2013
Clay Matthews,4949,ED,GB,11,4,1,62.5,1,2,12,0,0,57.9,66.7,65.9,64.7,66.6,48.8,4,21,0,0,30.0,16.7,6,0,3,89.1,5,8,0,127,0,53,559,428,0,0,423,5,0,131,285,221,4,26,26,3,8,33,0,67,41,13.4,2013
Brad Jones,5142,LB,GB,13,12,0,73.0,3,1,12,1,0,63.6,60.4,63.2,71.9,52.7,65.4,3,4,0,0,33.0,8.2,7,0,4,94.0,27,4,0,494,6,286,639,123,0,0,123,0,1,516,50,303,15,33,66,5,37,11,0,276,237,10.2,2013
Kahlil Bell,5243,HB,GB,1,0,0,,0,0,12,0,0,,60.0,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2013
Robert Francois,5245,LB,GB,1,0,0,,0,0,12,0,0,62.7,28.6,74.7,55.7,28.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,8,0,4,12,3,0,0,3,0,0,9,2,6,1,0,0,0,0,0,0,0,0,,2013
Mike Neal,5581,ED,GB,17,5,0,100.0,0,1,12,0,0,60.7,55.8,65.3,62.9,46.8,45.2,4,37,0,1,14.0,22.4,11,0,2,66.7,6,5,0,112,1,54,733,616,0,0,565,51,0,117,397,282,4,27,33,3,6,46,0,57,51,9.5,2013
Morgan Burnett,5596,S,GB,14,19,0,71.4,0,0,12,3,1,48.1,54.8,86.3,51.0,68.0,80.9,0,2,0,0,67.0,10.1,11,5,2,135.8,30,0,0,267,4,534,919,0,0,0,0,0,541,919,11,374,107,31,79,1,42,2,4,428,216,14.3,2013
C.J. Wilson,5753,DI,GB,9,0,0,,0,0,12,0,0,60.0,55.5,79.4,55.2,56.2,53.9,0,5,0,0,,11.1,1,0,0,0.0,0,0,0,0,0,0,127,127,0,6,11,110,0,0,59,68,0,3,8,1,0,5,0,0,0,,2013
Sam Shields,5943,CB,GB,15,2,0,50.0,0,0,12,0,0,71.8,70.8,89.4,76.7,54.2,57.9,1,0,0,4,44.0,13.4,9,12,2,72.7,42,0,0,47,801,541,881,0,0,0,0,0,12,881,2,338,21,11,56,0,84,1,4,664,229,15.8,2013
Davon House,6283,CB,GB,16,4,0,52.2,0,0,12,0,0,54.2,57.6,87.1,79.3,69.0,68.6,0,1,0,1,45.0,13.2,5,9,1,94.1,35,1,0,36,471,340,526,0,0,0,0,0,7,526,2,184,11,4,29,0,67,2,5,480,163,13.7,2013
