Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Bradley Roby,#33,CB,10.0,379,119.0,6.0,254.0,56.9,50.2,31.1,68.2,57.0,2.0,0.0,1.0,1.0,0.0,22.0,2.0,8.0,25.0,13.0,1.0,38.0,23.0,60.5,168.0,7.3,122.0,26.0,0.0,0.0,0.0,70.9,0 (0),8.0,37.0,1.0,316.0,17.0,0.0,0.0,0.0,8.0
Nolan Smith,#03,ED,18.0,203,84.0,95.0,24.0,55.8,65.8,57.0,55.5,45.6,9.0,2.0,2.0,5.0,0.0,10.0,4.0,2.0,12.5,9.0,0.0,5.0,5.0,100.0,103.0,20.6,36.0,27.0,0.0,0.0,0.0,118.8,1 (0),188.0,12.0,0.0,3.0,0.0,0.0,2.0,0.0,186.0
James Bradberry,#24,CB,17.0,"1,090",361.0,3.0,726.0,54.4,63.6,67.8,53.7,52.0,0.0,0.0,0.0,0.0,0.0,45.0,10.0,7.0,11.3,12.0,0.0,101.0,61.0,60.4,797.0,13.1,204.0,56.0,10.0,1.0,9.0,114.2,5 (1),3.0,75.0,0.0,127.0,885.0,0.0,0.0,0.0,3.0
Kentavius Street,#97,DI,8.0,87,31.0,56.0,0.0,52.1,51.1,38.4,61.3,60.0,3.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,33.3,3.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,1 (0),87.0,0.0,0.0,0.0,0.0,4.0,48.0,32.0,3.0
Mekhi Garner,#43,S,2.0,27,10.0,0.0,17.0,51.1,54.5,-,-,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,8.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
Mario Goodrich,#31,CB,3.0,70,11.0,0.0,59.0,50.4,62.4,26.2,-,48.6,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,33.3,1.0,0.0,11.0,11.0,100.0,109.0,9.9,61.0,30.0,2.0,0.0,0.0,147.5,0 (0),0.0,14.0,1.0,52.0,3.0,0.0,0.0,0.0,0.0
Patrick Johnson,#48,ED,3.0,38,16.0,19.0,3.0,47.3,53.9,23.6,46.1,61.7,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,75.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
Christian Elliss,#53,LB,6.0,119,43.0,9.0,67.0,45.4,61.6,47.7,67.4,36.4,3.0,0.0,0.0,3.0,0.0,12.0,3.0,3.0,16.7,4.0,0.0,7.0,5.0,71.4,67.0,13.4,38.0,25.0,0.0,0.0,0.0,101.5,0 (0),0.0,107.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0
Eli Ricks,#39,CB,15.0,316,72.0,0.0,244.0,45.3,58.2,50.9,-,43.5,0.0,0.0,0.0,0.0,0.0,16.0,2.0,4.0,18.2,2.0,0.0,37.0,17.0,45.9,230.0,13.5,117.0,44.0,2.0,0.0,2.0,84.3,4 (1),0.0,17.0,3.0,144.0,152.0,0.0,0.0,0.0,0.0
Avonte Maddox,#29,CB,5.0,211,64.0,0.0,147.0,44.8,71.2,56.2,-,39.3,0.0,0.0,0.0,0.0,0.0,17.0,1.0,3.0,14.3,6.0,1.0,23.0,19.0,82.6,261.0,13.7,134.0,36.0,1.0,0.0,2.0,128.4,1 (0),2.0,35.0,41.0,129.0,4.0,0.0,0.0,0.0,2.0
Josh Jobe,#28,CB,9.0,240,60.0,1.0,179.0,40.8,30.9,27.1,60.0,42.7,0.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,21.1,1.0,0.0,29.0,16.0,55.2,212.0,13.3,53.0,62.0,3.0,0.0,4.0,113.0,5 (1),0.0,15.0,0.0,7.0,218.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
