Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
Albert Huggins,#94,DI,13.0,157.0,1.0,0.6,59.4,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,1.0
Clark Phillips III,#34,CB,7.0,233.0,231.0,99.1,58.5,6 (0),29.0,15.0,51.7,175.0,11.7,49.0,13.7,29.0,4.0,14.0,3.0,0.0,0.0,2.0,93.3,7.6,14.6,16.0,1.0,5.0,22.7,5.0
Ta'Quon Graham,#95,DI,15.0,176.0,2.0,1.1,58.4,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,1.0
Micah Abernathy,#29,S,2.0,20.0,18.0,90.0,58.0,0 (0),1.0,1.0,100.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,18.0,18.0,2.0,1.0,0.0,0.0,1.0
Nate Landman,#53,LB,14.0,438.0,398.0,90.9,56.7,1 (0),52.0,40.0,76.9,396.0,9.9,277.0,3.3,29.0,2.0,4.0,2.0,1.0,0.0,2.0,102.7,7.2,9.3,22.0,6.0,12.0,30.0,12.0
Troy Andersen,#44,LB,2.0,83.0,73.0,88.0,56.0,1 (0),10.0,8.0,80.0,64.0,8.0,41.0,3.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,6.6,8.3,6.0,1.0,1.0,12.5,4.0
Jaylinn Hawkins,#32,S,4.0,28.0,28.0,100.0,55.7,0 (0),2.0,2.0,100.0,22.0,11.0,3.0,9.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,14.0,14.0,1.0,0.0,0.0,0.0,0.0
Grady Jarrett,#97,DI,7.0,197.0,2.0,1.0,55.6,1 (1),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,1.0,2.0,3.0,50.0,1.0
LaCale London,#72,DI,7.0,96.0,2.0,2.1,55.5,1 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0
Mike Hughes,#21,CB,14.0,206.0,201.0,97.6,49.1,0 (0),21.0,13.0,61.9,125.0,9.6,59.0,7.9,16.0,0.0,0.0,0.0,0.0,0.0,1.0,94.3,9.0,14.5,8.0,0.0,1.0,11.1,2.0
Lorenzo Carter,#00,ED,17.0,239.0,13.0,5.4,48.9,0 (0),1.0,1.0,100.0,4.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,11.0,11.0,2.0,1.0,1.0,25.0,5.0
Bud Dupree,#48,ED,16.0,452.0,19.0,4.2,48.6,1 (1),1.0,1.0,100.0,11.0,11.0,17.0,-6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,19.0,19.0,3.0,1.0,4.0,50.0,8.0
Jeff Okudah,#01,CB,13.0,370.0,370.0,100.0,46.0,5 (1),52.0,32.0,61.5,494.0,15.4,199.0,12.1,51.0,5.0,10.0,3.0,0.0,0.0,0.0,92.9,6.7,10.9,25.0,3.0,3.0,9.7,5.0
Kentavius Street,#75,DI,5.0,104.0,2.0,1.9,45.5,0 (0),0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,50.0,1.0
Arnold Ebiketie,#17,ED,17.0,247.0,72.0,29.1,44.4,0 (0),13.0,10.0,76.9,77.0,7.7,48.0,4.4,25.0,0.0,0.0,0.0,0.0,0.0,1.0,116.5,5.2,6.8,7.0,1.0,4.0,33.3,10.0
Richie Grant,#27,S,17.0,565.0,526.0,93.1,42.4,2 (2),51.0,36.0,70.6,532.0,14.8,176.0,11.2,61.0,5.0,10.0,4.0,1.0,0.0,5.0,128.9,9.7,13.7,43.0,9.0,12.0,18.8,11.0
Tre Flowers,#33,CB,8.0,112.0,109.0,97.3,41.9,2 (0),14.0,10.0,71.4,177.0,17.7,71.0,14.6,45.0,1.0,7.0,1.0,0.0,0.0,3.0,153.3,7.1,10.0,8.0,1.0,1.0,10.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
