Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
LaCale London,#72,DI,7.0,96.0,94.0,97.9,56.9,1 (0),5.0,0.0,0.0,5.0,2.9,5.8,0.0,36.0,36.0,100.0,53.1,1.0,0.0,0.0,1.0,1.5,2.9,0.0
Troy Andersen,#44,LB,2.0,83.0,10.0,12.0,56.6,1 (0),3.0,1.0,0.0,2.0,20.0,10.0,0.0,59.0,9.0,15.3,57.1,3.0,1.0,0.0,2.0,22.2,11.1,0.0
Clark Phillips III,#34,CB,7.0,233.0,2.0,0.9,55.0,6 (0),1.0,0.0,0.0,1.0,25.0,50.0,0.0,122.0,2.0,1.6,55.0,1.0,0.0,0.0,1.0,25.0,50.0,0.0
Travis Bell,#74,DI,2.0,8.0,8.0,100.0,54.4,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nate Landman,#53,LB,14.0,438.0,40.0,9.1,52.7,1 (0),8.0,2.0,2.0,4.0,12.8,2.6,0.0,171.0,23.0,13.5,51.9,3.0,1.0,1.0,1.0,8.7,0.0,0.0
Tre Flowers,#33,CB,8.0,112.0,3.0,2.7,52.3,2 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,4.5,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Huggins,#94,DI,13.0,157.0,156.0,99.4,52.3,0 (0),4.0,0.0,2.0,2.0,1.4,2.7,0.0,58.0,58.0,100.0,55.4,1.0,0.0,1.0,0.0,1.0,1.9,0.0
Bud Dupree,#48,ED,16.0,452.0,433.0,95.8,51.3,1 (1),38.0,8.0,2.0,28.0,5.6,6.6,1.0,246.0,236.0,95.9,55.6,29.0,6.0,2.0,21.0,7.9,10.4,1.0
Zach Harrison,#96,ED,16.0,166.0,164.0,98.8,51.2,0 (0),13.0,3.0,2.0,8.0,5.3,6.0,0.0,56.0,56.0,100.0,49.4,3.0,2.0,0.0,1.0,4.9,5.9,0.0
Dee Alford,#20,CB,13.0,351.0,14.0,4.0,49.5,3 (0),2.0,0.0,0.0,2.0,7.7,0.0,0.0,200.0,5.0,2.5,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
