year,player_game_count,snap_counts_ce,snap_counts_rt,snap_counts_te,snap_counts_rg,snap_counts_pass_block,snap_counts_pass_play,snap_counts_block,grades_run_block,player,team_name,grades_offense,player_id,grades_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_offense,position
2023,16,0,0,0,0,0,361,158,44.8,Odell Beckham Jr.,BLT,75.4,8647,,158,0,0,519,WR
2023,19,0,0,1,0,52,237,115,59.1,Gus Edwards,BLT,73.7,46027,55.1,63,0,0,512,HB
2023,18,0,0,4,0,78,375,113,64.7,Justice Hill,BLT,70.3,45865,58.8,35,0,0,513,HB
2023,11,0,0,1,0,0,68,64,68.7,Devin Duvernay,BLT,51.4,40006,,64,0,0,136,WR
2023,16,0,0,5,0,33,127,41,59.3,Dalvin Cook,BLT,53.8,11796,61.0,8,0,0,211,HB
2023,9,0,0,1,0,0,27,38,55.7,Tylan Wallace,BLT,57.0,61577,,38,0,0,65,WR
2023,7,0,0,2,0,12,67,32,65.7,Keaton Mitchell,BLT,92.4,123826,35.9,20,0,0,135,HB
2023,5,0,0,0,0,0,48,30,60.0,Tyler Huntley,BLT,63.8,46448,,30,0,0,86,QB
2023,3,0,0,0,0,1,40,26,63.7,Laquon Treadwell,BLT,51.3,10657,36.3,25,0,0,65,WR
2023,4,0,0,0,0,5,23,12,49.8,Melvin Gordon III,BLT,65.3,9448,36.9,7,0,0,56,HB
2023,1,0,0,0,0,2,18,6,59.6,J.K. Dobbins,BLT,53.5,57366,48.2,4,0,0,30,HB
2023,2,0,0,1,0,0,6,4,58.9,Malik Cunningham,BLT,53.1,60436,,4,0,0,10,QB
2023,1,0,0,0,0,0,0,1,60.0,Dan Chisena,BLT,60.0,34061,,1,0,0,1,WR
2023,1,0,0,1,0,0,0,1,60.0,Ben Mason,BLT,60.0,57070,,1,0,0,1,FB
2023,19,0,0,0,1307,775,775,1307,58.1,O'Cyrus Torrence,BUF,54.9,102821,48.2,532,0,0,1307,G
2023,19,0,1301,3,0,774,774,1304,73.3,Spencer Brown,BUF,70.1,42296,66.5,530,0,0,1304,T
2023,19,0,0,0,0,774,774,1278,44.5,Connor McGovern,BUF,55.4,41714,73.8,504,0,1278,1278,G
2023,19,1272,0,0,0,773,773,1272,61.5,Mitch Morse,BUF,63.9,9482,72.5,499,0,0,1272,C
2023,19,0,0,1,0,769,769,1264,66.9,Dion Dawkins,BUF,74.9,11818,77.4,495,1263,0,1264,T
2023,19,0,0,0,0,0,775,420,60.0,Josh Allen,BUF,92.1,46601,,420,0,0,1269,QB
2023,17,0,0,51,0,7,598,373,49.8,Gabe Davis,BUF,67.9,55410,65.3,366,0,0,965,WR
2023,19,0,0,0,0,0,704,368,59.2,Stefon Diggs,BUF,79.1,9579,,368,0,0,1074,WR
2023,19,0,0,20,0,3,413,291,56.6,Khalil Shakir,BUF,76.7,84140,69.9,288,0,0,702,WR
2023,19,0,0,6,0,1,246,254,38.6,Trent Sherfield,BUF,51.1,48021,65.4,253,0,0,499,WR
2023,14,0,3,325,0,27,318,254,51.1,Dawson Knox,BUF,54.5,35883,79.5,227,0,0,545,TE
2023,18,0,0,247,0,6,551,239,55.8,Dalton Kincaid,BUF,68.8,91791,44.3,233,0,0,784,TE
2023,17,0,0,161,0,35,38,191,85.9,David Edwards,BUF,90.2,35941,68.0,156,1,29,194,G
2023,17,0,0,139,0,9,67,149,64.0,Quintin Morris,BUF,55.2,61182,71.9,140,0,0,207,TE
2023,18,0,0,3,0,50,263,83,57.1,Latavius Murray,BUF,65.9,7962,64.3,33,0,0,375,HB
2023,18,0,0,37,0,10,34,83,72.5,Reggie Gilliam,BUF,63.9,40951,62.8,73,0,0,107,FB
2023,19,0,0,0,0,41,402,78,56.0,James Cook,BUF,71.7,83666,23.5,37,0,0,713,HB
2023,9,0,3,0,0,7,7,46,64.4,Ryan Van Demark,BUF,60.2,55113,27.2,39,43,0,46,T
2023,18,0,0,0,0,0,136,38,71.8,Deonte Harty,BUF,68.9,91470,,38,0,0,178,WR
2023,6,35,0,0,0,2,2,35,77.2,Ryan Bates,BUF,78.7,28300,70.8,33,0,0,35,C
2023,10,0,0,5,0,12,64,27,77.8,Ty Johnson,BUF,78.7,45769,58.9,15,0,0,127,HB
2023,7,0,0,0,0,0,0,25,60.0,Kyle Allen,BUF,64.8,26152,,25,0,0,38,QB
2023,6,0,0,0,0,9,27,18,60.0,Damien Harris,BUF,76.5,35134,85.3,9,0,0,60,HB
2023,2,0,0,2,0,1,7,8,59.0,Leonard Fournette,BUF,59.5,11759,76.4,7,0,0,26,HB
2023,3,0,0,0,0,0,8,2,83.5,Andy Isabella,BUF,60.8,47448,,2,0,0,10,WR
2023,1,0,0,0,0,0,0,1,60.0,Dorian Williams,BUF,60.0,97694,,1,0,0,1,LB
2023,1,0,0,0,0,0,0,1,60.0,Kingsley Jonathan,BUF,60.0,56856,,1,0,0,1,ED
2023,1,0,0,0,0,0,0,1,60.0,Siran Neal,BUF,60.0,27130,,1,0,0,1,CB
2023,1,0,0,0,0,0,0,1,60.0,Sam Martin,BUF,60.0,7947,,1,0,0,1,P
2023,1,0,0,0,0,0,0,1,60.0,Tyrel Dodson,BUF,60.0,51045,,1,0,0,1,LB
2023,1,0,0,0,0,0,0,1,60.0,Cam Lewis,BUF,60.0,49395,,1,0,0,1,S
2023,1,0,0,0,0,0,0,1,60.0,Reid Ferguson,BUF,60.0,10965,,1,0,0,1,LS
2023,1,0,0,0,0,0,0,1,60.0,Tyler Matakevich,BUF,60.0,10880,,1,0,0,1,LB
2023,17,0,0,0,0,730,730,1148,77.0,Ikem Ekwonu,CAR,67.4,98286,62.3,418,1148,0,1148,T
2023,17,1148,0,0,0,730,730,1148,67.5,Bradley Bozeman,CAR,62.2,27934,48.9,418,0,0,1148,C
2023,17,0,1148,0,0,730,730,1148,65.6,Taylor Moton,CAR,74.6,11819,78.1,418,0,0,1148,T
2023,10,0,0,1,71,267,267,434,71.2,Cade Mays,CAR,58.3,81995,43.0,167,0,362,434,G
2023,16,0,0,0,0,0,663,396,60.0,Bryce Young,CAR,56.0,123943,,396,0,0,1067,QB
2023,7,0,0,0,77,249,249,374,41.5,Chandler Zavala,CAR,26.2,144009,7.1,125,0,297,374,G
2023,17,0,0,0,0,5,683,367,42.9,Adam Thielen,CAR,72.7,8288,46.5,362,0,0,1045,WR
2023,15,0,0,0,0,6,578,336,70.6,Jonathan Mingo,CAR,54.7,97774,76.4,330,0,0,908,WR
2023,7,0,0,0,222,171,171,302,38.6,Nash Jensen,CAR,34.7,66672,33.7,131,0,80,302,G
2023,16,0,0,393,0,22,286,292,45.5,Tommy Tremble,CAR,55.6,84025,62.0,270,0,0,556,TE
2023,4,0,0,0,257,176,176,257,51.0,Austin Corbett,CAR,47.9,46290,44.5,81,0,0,257,G
