team_name,position,weighted_injury_score,injury_score,weighting_stat,player_game_stat
DAL,CB,235.61111111111111,7.0,15833,15.5
DAL,DI,258.0,10.0,6510,16.0
DAL,ED,61.33333333333333,3.0,1886,18.0
DAL,LB,207.73333333333335,4.0,6101,15.333333333333334
DAL,S,539.1428571428571,13.0,14876,16.35
DEN,CB,39.791666666666664,2.0,490,9.333333333333334
DEN,DI,251.1875,8.0,7365,16.0
DEN,ED,0.0,0.0,1062,12.0
DEN,LB,759.35,18.0,11850,12.318181818181818
DEN,S,486.83333333333337,9.0,9471,13.307692307692308
DET,CB,716.626923076923,29.0,8623,8.944444444444445
DET,DI,209.425,7.0,3417,14.875
DET,ED,332.1255060728745,11.0,3031,15.0
DET,LB,370.89724310776944,16.0,4530,12.2
DET,S,473.43650793650795,9.0,7888,16.4
GB,CB,1424.875816993464,27.0,15989,9.1875
GB,DI,60.8125,1.0,973,16.0
GB,ED,81.94736842105263,2.0,6228,19.0
GB,LB,1511.776383265857,29.0,28195,16.18421052631579
GB,S,1286.4166666666667,32.0,16963,10.96551724137931
HST,CB,640.781954887218,12.0,9747,12.357142857142858
HST,DI,593.6274509803922,15.0,12861,16.63157894736842
HST,ED,416.02941176470586,12.0,6651,15.833333333333334
HST,LB,1263.961111111111,39.0,18188,12.941176470588236
HST,S,1335.2495798319328,27.0,11120,10.761904761904763
IND,CB,168.33333333333334,4.0,1650,4.0
IND,DI,68.39915966386555,2.0,13010,15.35
IND,ED,131.25,3.0,3365,15.142857142857142
IND,LB,282.94166666666666,9.0,5123,9.636363636363637
JAX,CB,1143.5727272727272,27.0,7136,10.466666666666667
JAX,DI,184.1029411764706,6.0,3026,16.333333333333332
JAX,ED,38.666666666666664,4.0,999,14.75
JAX,LB,587.5647058823529,11.0,5923,14.125
JAX,S,584.5450980392156,21.0,6622,12.857142857142858
KC,CB,420.75,9.0,29927,17.848484848484848
KC,DI,15.846153846153847,1.0,5250,18.5
KC,ED,97.3,2.0,4896,18.0
KC,LB,1013.3157894736842,19.0,16403,14.16
KC,S,148.25,3.0,10255,17.0
LA,CB,185.74183006535947,6.0,5909,15.75
LA,DI,260.7095588235294,10.0,14935,16.291666666666668
LA,ED,0.0,0.0,636,18.0
LA,LB,808.6666666666666,14.0,16425,15.947368421052632
LA,S,344.7542483660131,9.0,5810,16.25
LAC,CB,818.6474358974359,22.0,5191,8.714285714285714
LAC,DI,247.8308823529412,9.0,1856,8.5
LAC,ED,512.3398692810458,14.0,14326,13.363636363636363
LAC,LB,443.52727272727276,17.0,5073,8.222222222222221
LAC,S,464.0,7.0,5781,12.25
LV,CB,1012.6707459207458,25.0,14068,10.655172413793103
LV,DI,30.941176470588236,1.0,2978,15.166666666666666
LV,ED,376.11764705882354,7.0,18619,17.0
LV,LB,509.14509803921567,16.0,9805,11.222222222222221
LV,S,95.08823529411765,4.0,4258,11.428571428571429
MIA,CB,1072.4825174825176,29.0,18137,12.06060606060606
MIA,DI,29.5,1.0,1062,18.0
MIA,ED,19.066666666666666,1.0,2178,17.0
MIA,LB,574.7983597285067,12.0,9770,12.647058823529411
MIA,S,972.8227813852814,22.0,13629,12.954545454545455
MIN,CB,400.73333333333335,9.0,5999,13.444444444444445
MIN,DI,149.079185520362,9.0,3973,13.0
MIN,ED,338.1666666666667,12.0,2423,6.8
MIN,LB,76.53846153846155,2.0,2663,11.0
MIN,S,90.33333333333334,11.0,8032,12.846153846153847
NE,CB,1375.4522918258212,31.0,18151,13.064516129032258
NE,DI,775.0,18.0,15295,17.0
NE,ED,130.5,4.0,1044,16.0
NE,LB,542.4882352941177,11.0,10599,13.928571428571429
NE,S,515.2745098039215,8.0,7171,14.25
NO,CB,558.1823529411765,9.0,5036,13.666666666666666
NO,DI,54.872549019607845,2.0,1641,14.5
NO,ED,321.2549019607843,24.0,6868,11.0
NO,LB,367.53151260504205,10.0,6197,12.333333333333334
NO,S,518.4554621848739,20.0,6718,9.0
NYG,CB,621.3714285714286,11.0,9887,13.923076923076923
NYG,DI,401.121568627451,12.0,10854,16.05
NYG,ED,346.90909090909093,9.0,3392,11.0
NYG,LB,217.94117647058823,5.0,8169,13.076923076923077
NYG,S,199.0625,4.0,4906,13.0
NYJ,CB,468.7,12.0,3408,13.5
NYJ,DI,0.0,0.0,966,17.0
NYJ,ED,170.2941176470588,5.0,6193,15.75
NYJ,LB,41.0,14.0,10324,11.222222222222221
NYJ,S,416.89411764705886,8.0,4814,13.714285714285714
PHI,CB,1668.5144796380089,30.0,14127,11.545454545454545
PHI,DI,501.7693627450981,16.0,12793,16.652173913043477
PHI,ED,0.0,0.0,1750,18.0
PHI,LB,618.2678571428571,11.0,11051,13.466666666666667
PHI,S,1336.773076923077,30.0,8504,10.529411764705882
PIT,CB,112.98039215686273,7.0,14046,14.5
PIT,DI,350.33333333333337,11.0,14843,14.461538461538462
PIT,ED,51.5,3.0,206,12.0
PIT,LB,401.16993464052285,9.0,12295,15.7
PIT,S,1464.6666666666667,30.0,10376,10.4
SEA,CB,980.9857142857143,26.0,15245,12.142857142857142
SEA,DI,244.79861111111111,8.0,15332,15.285714285714286
SEA,ED,122.8235294117647,4.0,3100,11.666666666666666
SEA,LB,504.1136788048553,19.0,22308,13.897435897435898
SEA,S,1043.9477124183006,18.0,16356,11.782608695652174
SF,CB,293.8625,7.0,8010,17.7
SF,DI,909.0140350877192,21.0,7841,16.818181818181817
SF,ED,74.625,3.0,4758,17.5
SF,LB,418.53333333333336,13.0,11593,15.777777777777779
SF,S,273.0,6.0,2324,9.333333333333334
TB,CB,895.5666666666667,22.0,6404,8.666666666666666
TB,DI,974.7514705882353,32.0,11628,14.761904761904763
TB,ED,275.39828431372547,10.0,3035,17.333333333333332
TB,LB,1449.6063651218062,39.0,23360,14.555555555555555
TB,S,347.1816520467836,11.0,5906,14.166666666666666
TEN,CB,1683.2818181818182,36.0,17352,10.393939393939394
TEN,DI,581.85,13.0,4875,10.555555555555555
TEN,ED,135.35294117647058,3.0,11505,17.0
TEN,LB,218.7619047619048,19.0,6269,7.363636363636363
TEN,S,764.8782051282051,17.0,8460,12.357142857142858
WAS,CB,1166.1339285714287,27.0,21169,12.419354838709678
WAS,DI,182.7625,4.0,9127,15.846153846153847
WAS,ED,468.475,15.0,4035,10.916666666666666
WAS,LB,225.92307692307693,4.0,4034,9.75
WAS,S,470.0,8.0,6969,15.0
