season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_defense,player_game_count
2023,REG,CLV,8,00-0037251,ED,Alex Wright,Alex,Wright,,,,gameday concussion protocol evaluation,,Full Participation in Practice,2023-10-27 18:48:19,injury_reports_2023.csv,0.0,DE,CLE,Alex Wright,CLV,407,17
2023,REG,CLV,9,00-0037251,ED,Alex Wright,Alex,Wright,Knee,,Out,Knee,,Did Not Participate In Practice,2023-11-03 19:13:15,injury_reports_2023.csv,3.0,DE,CLE,Alex Wright,CLV,407,17
2023,REG,CLV,10,00-0037251,ED,Alex Wright,Alex,Wright,,,,Knee,,Limited Participation in Practice,2023-11-10 20:45:41,injury_reports_2023.csv,0.0,DE,CLE,Alex Wright,CLV,407,17
2023,REG,CLV,11,00-0037251,ED,Alex Wright,Alex,Wright,,,,Knee,,Full Participation in Practice,2023-11-17 19:58:55,injury_reports_2023.csv,0.0,DE,CLE,Alex Wright,CLV,407,17
2023,REG,CLV,1,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Did Not Participate In Practice,2023-09-08 18:53:12,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,2,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Limited Participation in Practice,2023-09-16 17:56:58,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,3,00-0035625,S,Juan Thornhill,Juan,Thornhill,,,,Calf,,Full Participation in Practice,2023-09-22 18:36:15,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,11,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Out,Calf,,Did Not Participate In Practice,2023-11-17 20:00:08,injury_reports_2023.csv,3.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,12,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Limited Participation in Practice,2023-11-24 20:15:18,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,13,00-0035625,S,Juan Thornhill,Juan,Thornhill,,,,Calf,,Limited Participation in Practice,2023-12-01 22:55:18,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,14,00-0035625,S,Juan Thornhill,Juan,Thornhill,,,,Calf,,Full Participation in Practice,2023-12-08 19:48:26,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,15,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Out,Calf,,Did Not Participate In Practice,2023-12-15 19:57:00,injury_reports_2023.csv,3.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,16,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Out,Calf,,Did Not Participate In Practice,2023-12-22 20:51:11,injury_reports_2023.csv,3.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,17,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Full Participation in Practice,2023-12-27 20:26:59,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,CLV,18,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Out,Calf,,Did Not Participate In Practice,2024-01-05 20:02:13,injury_reports_2023.csv,3.0,S,CLE,Juan Thornhill,CLV,643,12
2023,WC,CLV,19,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Limited Participation in Practice,2024-01-11 20:13:55,injury_reports_2023.csv,0.0,S,CLE,Juan Thornhill,CLV,643,12
2023,REG,DAL,1,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Foot,,Full Participation in Practice,2023-09-08 19:27:16,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,9,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Limited Participation in Practice,2023-11-01 19:34:11,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,11,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Neck,,Full Participation in Practice,2023-11-17 19:27:10,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,15,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-13 19:46:22,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,16,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-20 23:26:35,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,17,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-26 18:47:40,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,18,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-03 20:48:55,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,WC,DAL,19,00-0033928,CB,Jourdan Lewis,Jourdan,Lewis,,,,Not injury related - resting player,,Limited Participation in Practice,2024-01-10 20:51:50,injury_reports_2023.csv,0.0,CB,DAL,Jourdan Lewis,DAL,771,17
2023,REG,DAL,1,00-0035301,S,Donovan Wilson,Donovan,Wilson,Calf,,Doubtful,Calf,,Did Not Participate In Practice,2023-09-08 19:37:03,injury_reports_2023.csv,0.0,S,DAL,Donovan Wilson,DAL,776,16
2023,REG,DAL,2,00-0035301,S,Donovan Wilson,Donovan,Wilson,Calf,,Doubtful,Calf,,Limited Participation in Practice,2023-09-15 19:10:08,injury_reports_2023.csv,0.0,S,DAL,Donovan Wilson,DAL,776,16
2023,REG,DAL,3,00-0035301,S,Donovan Wilson,Donovan,Wilson,,,,Calf,,Full Participation in Practice,2023-09-22 18:40:32,injury_reports_2023.csv,0.0,S,DAL,Donovan Wilson,DAL,776,16
2023,REG,DAL,6,00-0035301,S,Donovan Wilson,Donovan,Wilson,,,,Ankle,,Full Participation in Practice,2023-10-14 19:03:21,injury_reports_2023.csv,0.0,S,DAL,Donovan Wilson,DAL,776,16
2023,REG,DAL,1,00-0033877,S,Malik Hooker,Malik,Hooker,Illness,,Questionable,,,"
    ",2023-09-09 21:53:23,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
2023,REG,DAL,5,00-0033877,S,Malik Hooker,Malik,Hooker,,,,Shoulder,,Full Participation in Practice,2023-10-06 19:30:16,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
2023,REG,DAL,6,00-0033877,S,Malik Hooker,Malik,Hooker,,,,Shoulder,,Full Participation in Practice,2023-10-14 19:03:21,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
2023,REG,DAL,15,00-0033877,S,Malik Hooker,Malik,Hooker,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-15 19:22:30,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
2023,REG,DAL,16,00-0033877,S,Malik Hooker,Malik,Hooker,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-22 19:17:44,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
2023,REG,DAL,17,00-0033877,S,Malik Hooker,Malik,Hooker,,,,Ankle,,Full Participation in Practice,2023-12-28 20:43:50,injury_reports_2023.csv,0.0,S,DAL,Malik Hooker,DAL,862,17
