season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,weighting_stat,player_game_stat,weighted_injury_score
2023,REG,CAR,18,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Hip,,Full Participation in Practice,2024-01-05 17:24:40,injury_reports_2023.csv,0.0,WR,CAR,Ihmir Smith-Marsette,CAR,55,13,55,13,0.0
2023,REG,CAR,1,00-0030035,WR,Adam Thielen,Adam,Thielen,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 16:59:20,injury_reports_2023.csv,1.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,37.470588235294116
2023,REG,CAR,4,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-28 19:16:00,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,6,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-11 19:02:48,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,8,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-25 19:05:11,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,9,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-01 18:56:42,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,12,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-22 19:54:01,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,13,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-29 20:02:46,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,14,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-06 19:51:56,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,15,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-13 19:06:15,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,16,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-20 19:07:01,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CAR,17,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-27 18:58:05,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,637,17,0.0
2023,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:13:52,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,2,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-14 19:03:27,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,3,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-21 22:12:39,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,4,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-28 19:01:29,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,6,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-12 20:36:07,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,7,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-19 18:52:36,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,8,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-26 19:42:34,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,9,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-02 18:55:33,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,11,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-16 19:49:15,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,12,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-24 19:52:11,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,14,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-07 21:14:32,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,15,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-14 21:15:19,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,16,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-22 22:34:20,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,17,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-28 19:16:28,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,18,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-01-04 20:24:09,injury_reports_2023.csv,0.0,TE,CHI,Marcedes Lewis,CHI,39,16,39,16,0.0
2023,REG,CHI,1,00-0033757,TE,Robert Tonyan,Robert,Tonyan,Back,,Questionable,,,"
    ",2023-09-09 21:52:37,injury_reports_2023.csv,1.0,TE,CHI,Robert Tonyan,CHI,164,17,164,17,9.647058823529411
2023,REG,CIN,1,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Toe,,Full Participation in Practice,2023-09-08 18:25:09,injury_reports_2023.csv,0.0,WR,CIN,Tyler Boyd,CIN,577,17,577,17,0.0
2023,REG,CIN,14,00-0033009,WR,Tyler Boyd,Tyler,Boyd,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-08 18:48:29,injury_reports_2023.csv,1.0,WR,CIN,Tyler Boyd,CIN,577,17,577,17,33.94117647058823
2023,REG,CIN,15,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Foot,Ankle,Full Participation in Practice,2023-12-14 19:16:13,injury_reports_2023.csv,0.0,WR,CIN,Tyler Boyd,CIN,577,17,577,17,0.0
2023,REG,CLV,1,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 18:52:17,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,2,00-0031544,WR,Amari Cooper,Amari,Cooper,Groin,,Questionable,Not injury related - resting player,Groin,Limited Participation in Practice,2023-09-16 17:57:33,injury_reports_2023.csv,1.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,37.0
2023,REG,CLV,3,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Groin,Shoulder,Limited Participation in Practice,2023-09-22 18:36:15,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,4,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-27 20:06:50,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,6,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-10-11 23:31:19,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,7,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ankle,Full Participation in Practice,2023-10-20 17:57:09,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,8,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ankle,Full Participation in Practice,2023-10-27 18:48:19,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,9,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ankle,Full Participation in Practice,2023-11-03 19:09:30,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,10,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ankle,Full Participation in Practice,2023-11-10 20:45:52,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,11,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ankle,Did Not Participate In Practice,2023-11-15 20:47:17,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,12,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-22 22:26:44,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,13,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ribs,Limited Participation in Practice,2023-12-01 22:55:18,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,14,00-0031544,WR,Amari Cooper,Amari,Cooper,Concussion,,Questionable,Concussion,Ribs,Limited Participation in Practice,2023-12-08 19:49:32,injury_reports_2023.csv,1.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,37.0
2023,REG,CLV,15,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Ribs,Full Participation in Practice,2023-12-15 19:54:20,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,16,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-20 20:53:46,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,17,00-0031544,WR,Amari Cooper,Amari,Cooper,Not injury related - resting player,Heel,Questionable,Not injury related - resting player,Heel,Did Not Participate In Practice,2023-12-27 20:26:59,injury_reports_2023.csv,1.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,37.0
2023,REG,CLV,18,00-0031544,WR,Amari Cooper,Amari,Cooper,Not injury related - resting player,Heel,Out,Not injury related - resting player,Heel,Did Not Participate In Practice,2024-01-05 20:01:10,injury_reports_2023.csv,3.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,111.0
2023,WC,CLV,19,00-0031544,WR,Amari Cooper,Amari,Cooper,,,,Not injury related - resting player,Heel,Full Participation in Practice,2024-01-11 20:12:10,injury_reports_2023.csv,0.0,WR,CLE,Amari Cooper,CLV,592,16,592,16,0.0
2023,REG,CLV,1,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Illness,,Limited Participation in Practice,2023-09-08 18:52:17,injury_reports_2023.csv,0.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,0.0
2023,REG,CLV,8,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Back,,Questionable,Back,,Limited Participation in Practice,2023-10-27 18:49:58,injury_reports_2023.csv,1.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,6.615384615384615
2023,REG,CLV,9,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Illness,,Full Participation in Practice,2023-11-03 19:11:33,injury_reports_2023.csv,0.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,0.0
2023,REG,CLV,10,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-10 20:46:47,injury_reports_2023.csv,3.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,19.846153846153847
2023,REG,CLV,11,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-17 20:00:02,injury_reports_2023.csv,3.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,19.846153846153847
2023,REG,CLV,12,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-11-24 20:15:26,injury_reports_2023.csv,3.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,19.846153846153847
2023,REG,CLV,13,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-12-01 21:33:07,injury_reports_2023.csv,3.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,19.846153846153847
2023,REG,CLV,14,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Concussion,,Full Participation in Practice,2023-12-08 19:46:44,injury_reports_2023.csv,0.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,0.0
2023,REG,CLV,17,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-12-27 20:26:59,injury_reports_2023.csv,1.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,6.615384615384615
2023,REG,CLV,18,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,Knee,,Questionable,Knee,,Did Not Participate In Practice,2024-01-05 20:01:00,injury_reports_2023.csv,1.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,6.615384615384615
2023,WC,CLV,19,00-0030068,WR,Marquise Goodwin,Marquise,Goodwin,,,,Knee,,Full Participation in Practice,2024-01-11 20:12:44,injury_reports_2023.csv,0.0,WR,CLE,Marquise Goodwin,CLV,86,13,86,13,0.0
2023,REG,DEN,1,00-0037252,TE,Greg Dulcich,Greg,Dulcich,,,,Not injury related - personal matter,,Full Participation in Practice,2023-09-08 20:13:48,injury_reports_2023.csv,0.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,0.0
2023,REG,DEN,2,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-15 20:17:29,injury_reports_2023.csv,3.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,30.0
2023,REG,DEN,6,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,,Questionable,Hamstring,,Full Participation in Practice,2023-10-11 20:01:58,injury_reports_2023.csv,1.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,10.0
2023,REG,DEN,7,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-10-20 20:19:45,injury_reports_2023.csv,3.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,30.0
2023,REG,DEN,15,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,Foot,Out,Hamstring,Foot,Did Not Participate In Practice,2023-12-14 21:58:55,injury_reports_2023.csv,3.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,30.0
2023,REG,DEN,16,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,Foot,Out,Hamstring,Foot,Did Not Participate In Practice,2023-12-22 21:40:50,injury_reports_2023.csv,3.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,30.0
2023,REG,DEN,17,00-0037252,TE,Greg Dulcich,Greg,Dulcich,Hamstring,Foot,Out,Hamstring,Foot,Did Not Participate In Practice,2023-12-29 21:40:15,injury_reports_2023.csv,3.0,TE,DEN,Greg Dulcich,DEN,20,2,20,2,30.0
2023,REG,DEN,1,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Chest,,Full Participation in Practice,2023-09-08 20:13:48,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,13,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Not injury related - resting player,,Full Participation in Practice,2023-12-01 21:11:57,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,14,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Not injury related - resting player,,Full Participation in Practice,2023-12-08 21:26:59,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,15,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Not injury related - resting player,,Limited Participation in Practice,2023-12-14 21:58:27,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,16,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Not injury related - resting player,,Full Participation in Practice,2023-12-22 21:37:26,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,17,00-0031484,TE,Chris Manhertz,Chris,Manhertz,,,,Not injury related - resting player,,Full Participation in Practice,2023-12-29 21:14:40,injury_reports_2023.csv,0.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,0.0
2023,REG,DEN,18,00-0031484,TE,Chris Manhertz,Chris,Manhertz,Illness,,Out,Illness,,Did Not Participate In Practice,2024-01-05 21:38:25,injury_reports_2023.csv,3.0,TE,DEN,Chris Manhertz,DEN,64,16,64,16,12.0
2023,REG,DEN,1,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,Hamstring,,Questionable,Hamstring,,Limited Participation in Practice,2023-09-08 20:14:00,injury_reports_2023.csv,1.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,28.75
2023,REG,DEN,2,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:17:12,injury_reports_2023.csv,0.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,0.0
2023,REG,DEN,4,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Knee,,Full Participation in Practice,2023-09-29 20:19:52,injury_reports_2023.csv,0.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,0.0
2023,REG,DEN,5,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Knee,,Full Participation in Practice,2023-10-06 20:22:00,injury_reports_2023.csv,0.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,0.0
2023,REG,DEN,11,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Hip,,Full Participation in Practice,2023-11-17 22:02:14,injury_reports_2023.csv,0.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,0.0
2023,REG,DEN,13,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,,,,Groin,,Full Participation in Practice,2023-12-01 21:11:44,injury_reports_2023.csv,0.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,0.0
2023,REG,DEN,17,00-0036407,WR,Jerry Jeudy,Jerry,Jeudy,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-12-29 21:40:27,injury_reports_2023.csv,1.0,WR,DEN,Jerry Jeudy,DEN,460,16,460,16,28.75
2023,REG,GB,1,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,,,,Hamstring,,Full Participation in Practice,2023-09-08 18:51:02,injury_reports_2023.csv,0.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,0.0
2023,REG,GB,12,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Concussion,Knee,Questionable,Concussion,Knee,Limited Participation in Practice,2023-11-22 21:24:58,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,13,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-12-01 20:20:35,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,15,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-15 19:38:20,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,16,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-22 20:41:39,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,17,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Chest,Ankle,Questionable,Chest,Ankle,Did Not Participate In Practice,2023-12-29 19:44:14,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,18,00-0038393,WR,Dontayvion Wicks,Dontayvion,Wicks,Chest,,Questionable,Chest,,Full Participation in Practice,2024-01-05 20:03:48,injury_reports_2023.csv,1.0,WR,GB,Dontayvion Wicks,GB,312,17,312,17,18.352941176470587
2023,REG,GB,1,00-0038124,WR,Christian Watson,Christian,Watson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 18:52:30,injury_reports_2023.csv,3.0,WR,GB,Christian Watson,GB,298,11,298,11,81.27272727272727
