season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,LAC,1,00-0038553,LB,Daiyan Henley,Daiyan,Henley,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08 20:17:56,injury_reports_2023.csv,2.0,LB,LAC
2023,REG,LAC,1,00-0036867,LB,Chris Rumph,Chris,Rumph,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08 20:18:00,injury_reports_2023.csv,2.0,LB,LAC
2023,REG,LV,1,00-0034545,CB,Brandon Facyson,Brandon,Facyson,Shin,,Out,Shin,,Did Not Participate In Practice,2023-09-08 20:24:12,injury_reports_2023.csv,3.0,CB,LV
2023,REG,LV,1,00-0029585,ED,Chandler Jones,Chandler,Jones,Not injury related - personal matter,,Out,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-08 20:24:16,injury_reports_2023.csv,3.0,DE,LV
2023,REG,MIA,1,00-0036213,DI,Raekwon Davis,Raekwon,Davis,,,,Elbow,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,DT,MIA
2023,REG,MIA,1,00-0036221,S,Brandon Jones,Brandon,Jones,,,,Knee,,Full Participation in Practice,2023-09-08 19:44:37,injury_reports_2023.csv,0.0,S,MIA
2023,REG,MIA,1,00-0034248,S,Elijah Campbell,Elijah,Campbell,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-08 19:46:05,injury_reports_2023.csv,3.0,S,MIA
2023,REG,MIA,1,00-0029530,CB,Justin Bethel,Justin,Bethel,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 19:46:23,injury_reports_2023.csv,1.0,CB,MIA
2023,REG,MIN,1,00-0036338,LB,Troy Dye,Troy,Dye,,,,Elbow,,Full Participation in Practice,2023-09-08 18:34:38,injury_reports_2023.csv,0.0,LB,MIN
2023,REG,MIN,1,00-0034344,ED,Marcus Davenport,Marcus,Davenport,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 18:37:31,injury_reports_2023.csv,1.0,DE,MIN
2023,REG,NE,1,00-0038039,CB,Jack Jones,Jack,Jones,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-08 20:05:36,injury_reports_2023.csv,3.0,CB,NE
2023,REG,NO,1,00-0033874,CB,Marshon Lattimore,Marshon,Lattimore,,,,Knee,,Full Participation in Practice,2023-09-08 19:19:08,injury_reports_2023.csv,0.0,CB,NO
2023,REG,NO,1,00-0034116,S,J.T. Gray,J.T.,Gray,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-09-08 19:19:47,injury_reports_2023.csv,3.0,S,NO
2023,REG,NYG,1,00-0037758,CB,Cordale Flott,Cordale,Flott,Hamstring,,Doubtful,Hamstring,,Limited Participation in Practice,2023-09-08 18:24:50,injury_reports_2023.csv,2.0,CB,NYG
2023,REG,NYG,1,00-0038413,S,Gervarrius Owens,Gervarrius,Owens,Hamstring,,Doubtful,Hamstring,,Limited Participation in Practice,2023-09-08 18:25:09,injury_reports_2023.csv,2.0,S,NYG
