season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,attempts,player_game_count
2023,REG,NYG,7,00-0035710,QB,Daniel Jones,Daniel,Jones,Neck,,Questionable,Neck,,Limited Participation in Practice,2023-10-20 18:09:41,injury_reports_2023.csv,0.0,QB,NYG,Daniel Jones,NYG,160,6
2023,REG,NYG,8,00-0035710,QB,Daniel Jones,Daniel,Jones,Neck,,Out,Neck,,Limited Participation in Practice,2023-10-27 18:06:57,injury_reports_2023.csv,3.0,QB,NYG,Daniel Jones,NYG,160,6
2023,REG,NYG,9,00-0035710,QB,Daniel Jones,Daniel,Jones,,,,Neck,,Full Participation in Practice,2023-11-03 18:21:44,injury_reports_2023.csv,0.0,QB,NYG,Daniel Jones,NYG,160,6
2023,REG,SEA,6,00-0030565,QB,Geno Smith,Geno,Smith,,,,Knee,,Full Participation in Practice,2023-10-13 21:02:47,injury_reports_2023.csv,0.0,QB,SEA,Geno Smith,SEA,499,15
2023,REG,SEA,12,00-0030565,QB,Geno Smith,Geno,Smith,right Elbow,,Questionable,right Elbow,,Full Participation in Practice,2023-11-22 20:43:32,injury_reports_2023.csv,0.0,QB,SEA,Geno Smith,SEA,499,15
2023,REG,SEA,14,00-0030565,QB,Geno Smith,Geno,Smith,Groin,,Questionable,Groin,,Did Not Participate In Practice,2023-12-08 20:42:37,injury_reports_2023.csv,0.0,QB,SEA,Geno Smith,SEA,499,15
2023,REG,SEA,15,00-0030565,QB,Geno Smith,Geno,Smith,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-12-16 20:47:37,injury_reports_2023.csv,0.0,QB,SEA,Geno Smith,SEA,499,15
2023,REG,SEA,16,00-0030565,QB,Geno Smith,Geno,Smith,,,,Groin,,Full Participation in Practice,2023-12-22 22:12:41,injury_reports_2023.csv,0.0,QB,SEA,Geno Smith,SEA,499,15
2023,REG,SEA,6,00-0035704,QB,Drew Lock,Drew,Lock,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-10-13 19:54:09,injury_reports_2023.csv,0.0,QB,SEA,Drew Lock,SEA,76,4
2023,REG,ARZ,7,00-0035228,QB,Kyler Murray,Kyler,Murray,Knee,,Out,Knee,,Limited Participation in Practice,2023-10-20 19:42:16,injury_reports_2023.csv,3.0,QB,ARI,Kyler Murray,ARZ,268,8
