season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,SF,1,00-0034407,WR,Ray-Ray McCloud,Ray-Ray,McCloud,,,,Wrist,,Full Participation in Practice,2023-09-08 19:45:24,injury_reports_2023.csv,0.0,WR,SF
2023,REG,SF,1,00-0033288,TE,George Kittle,George,Kittle,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-09-08 19:46:24,injury_reports_2023.csv,1.0,TE,SF
2023,REG,TEN,1,00-0037742,WR,Treylon Burks,Treylon,Burks,,,,Knee,,Full Participation in Practice,2023-09-08 19:03:44,injury_reports_2023.csv,0.0,WR,TEN
2023,REG,TEN,1,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:04:03,injury_reports_2023.csv,0.0,WR,TEN
2023,REG,TEN,1,00-0035259,TE,Trevon Wesco,Trevon,Wesco,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:04:24,injury_reports_2023.csv,0.0,TE,TEN
2023,REG,WAS,1,00-0036671,WR,Dax Milne,Dax,Milne,,,,Groin,,Did Not Participate In Practice,2023-09-07 19:33:51,injury_reports_2023.csv,0.0,WR,WAS
2023,REG,WAS,1,00-0035659,WR,Terry McLaurin,Terry,McLaurin,,,,Toe,,Full Participation in Practice,2023-09-08 17:15:41,injury_reports_2023.csv,0.0,WR,WAS
2023,REG,ATL,2,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-13 20:56:38,injury_reports_2023.csv,0.0,TE,ATL
2023,REG,BLT,2,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Full Participation in Practice,2023-09-15 18:37:04,injury_reports_2023.csv,1.0,TE,BAL
2023,REG,CAR,2,00-0034777,WR,D.J. Chark,D.J.,Chark,Hamstring,,Questionable,Hamstring,,Full Participation in Practice,2023-09-16 17:56:05,injury_reports_2023.csv,1.0,WR,CAR
2023,REG,CHI,2,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-14 19:03:27,injury_reports_2023.csv,0.0,TE,CHI
2023,REG,CLV,2,00-0031544,WR,Amari Cooper,Amari,Cooper,Groin,,Questionable,Not injury related - resting player,Groin,Limited Participation in Practice,2023-09-16 17:57:33,injury_reports_2023.csv,1.0,WR,CLE
2023,REG,DAL,2,00-0031236,WR,Brandin Cooks,Brandin,Cooks,Knee,,Questionable,Knee,,Did Not Participate In Practice,2023-09-15 19:09:29,injury_reports_2023.csv,1.0,WR,DAL
