year,grades_run,attempts,player_game_count,routes,breakaway_attempts,grades_hands_fumble,run_plays,grades_pass,grades_run_block,player,team_name,grades_offense_penalty,grades_offense,zone_attempts,player_id,grades_pass_block,position,gap_attempts,grades_pass_route
2023,66.3,50,14,85,1,53.3,85,,58.1,Cordarrelle Patterson,ATL,85.1,62.7,26,7810,78.3,HB,22,56.3
2023,70.7,15,5,0,0,67.2,110,48.5,60.9,Taylor Heinicke,ATL,84.5,52.5,0,9896,,QB,0,
2023,56.6,1,17,376,0,75.0,226,,46.5,Van Jefferson,ATL,39.5,50.1,0,47447,,WR,0,51.9
2023,,1,17,466,0,79.7,230,,31.2,Kyle Pitts,ATL,65.1,68.1,0,83964,77.6,TE,0,72.7
2023,58.3,1,1,0,0,68.9,4,24.9,60.0,Logan Woodside,ATL,72.6,24.8,0,46517,,QB,0,
2023,49.4,1,17,183,0,22.4,179,,50.5,KhaDarel Hodge,ATL,85.7,62.4,1,26104,68.1,WR,0,64.9
2023,56.9,1,17,375,0,37.5,214,56.3,43.7,Jonnu Smith,ATL,41.6,59.1,0,11855,75.4,TE,0,63.5
2023,75.4,211,19,180,9,54.3,275,,59.1,Gus Edwards,BLT,88.4,73.7,90,46027,55.1,HB,117,54.5
2023,90.8,167,18,0,6,43.3,490,83.0,60.2,Lamar Jackson,BLT,80.5,90.4,20,46416,,QB,47,
2023,73.5,100,18,277,4,70.6,138,,64.7,Justice Hill,BLT,89.7,70.3,55,45865,58.8,HB,39,63.5
2023,51.2,75,16,89,1,34.2,84,,59.3,Dalvin Cook,BLT,85.1,53.8,42,11796,61.0,HB,29,62.4
2023,92.5,47,7,51,7,83.0,68,,65.7,Keaton Mitchell,BLT,84.1,92.4,28,123826,35.9,HB,15,82.1
2023,62.9,26,4,17,2,28.5,33,,49.8,Melvin Gordon III,BLT,78.5,65.3,13,9448,36.9,HB,11,85.2
2023,57.6,15,5,0,0,81.5,38,64.7,60.0,Tyler Huntley,BLT,80.0,63.8,1,46448,,QB,2,
2023,75.0,10,18,588,1,57.7,386,,63.0,Zay Flowers,BLT,79.5,76.3,0,97268,,WR,7,75.2
2023,49.6,8,1,14,0,73.2,12,,59.6,J.K. Dobbins,BLT,80.6,53.5,4,57366,48.2,HB,4,65.9
2023,60.1,4,11,64,0,90.0,68,,68.7,Devin Duvernay,BLT,24.5,51.4,1,40006,,WR,3,49.6
2023,63.3,1,18,389,1,78.0,281,,60.5,Rashod Bateman,BLT,74.6,61.0,0,84296,,WR,1,60.1
2023,58.2,1,11,290,0,79.1,169,,58.8,Mark Andrews,BLT,89.3,78.8,0,47436,71.0,TE,0,79.5
2023,79.1,273,19,343,10,56.2,311,,56.0,James Cook,BUF,90.6,71.7,111,83666,23.5,HB,151,53.0
2023,91.6,131,19,0,0,59.8,494,88.2,60.0,Josh Allen,BUF,62.9,92.1,3,46601,,QB,26,
2023,74.2,79,18,198,2,57.9,112,,57.1,Latavius Murray,BUF,45.7,65.9,26,7962,64.3,HB,53,52.7
2023,79.1,45,10,50,1,52.2,63,,77.8,Ty Johnson,BUF,82.5,78.7,19,45769,58.9,HB,26,64.1
2023,75.9,23,6,15,0,78.8,33,,60.0,Damien Harris,BUF,77.7,76.5,5,35134,85.3,HB,18,57.3
2023,63.0,13,7,0,0,74.7,38,,60.0,Kyle Allen,BUF,77.0,64.8,0,26152,,QB,0,
2023,60.1,12,2,6,0,74.9,19,,59.0,Leonard Fournette,BUF,74.4,59.5,4,11759,76.4,HB,8,55.1
2023,51.6,4,18,127,0,62.8,42,,71.8,Deonte Harty,BUF,83.6,68.9,0,91470,,WR,0,69.7
2023,72.4,2,19,665,0,39.4,370,,59.2,Stefon Diggs,BUF,71.6,79.1,0,9579,,WR,2,79.0
2023,59.5,1,17,555,0,36.2,367,,49.8,Gabe Davis,BUF,89.9,67.9,0,55410,65.3,WR,1,68.7
2023,63.1,1,19,393,0,82.9,289,,56.6,Khalil Shakir,BUF,87.9,76.7,0,84140,69.9,WR,1,76.9
2023,57.0,1,1,0,0,61.9,1,,,Damar Hamlin,BUF,65.0,56.1,0,43291,,S,0,
2023,79.4,238,17,295,9,87.7,257,,45.0,Chuba Hubbard,CAR,89.1,77.2,136,57373,61.6,HB,101,62.1
2023,60.4,129,16,211,4,56.4,141,,63.9,Miles Sanders,CAR,88.2,60.8,74,40555,23.3,HB,54,68.0
2023,78.1,39,16,0,0,27.7,404,52.6,60.0,Bryce Young,CAR,57.9,56.0,0,123943,,QB,1,
2023,68.8,14,11,31,0,82.0,17,,60.0,Raheem Blackshear,CAR,80.8,63.7,7,57385,44.4,HB,7,53.9
2023,64.8,12,8,48,0,28.1,41,,61.2,Laviska Shenault Jr.,CAR,81.4,67.4,6,61220,,WR,1,66.6
2023,69.8,8,13,55,2,89.9,63,,69.4,Ihmir Smith-Marsette,CAR,0.0,63.6,0,61324,,WR,1,63.7
2023,64.2,3,3,0,0,82.5,14,79.1,60.0,Andy Dalton,CAR,80.1,81.1,1,6187,,QB,0,
2023,60.0,1,2,0,0,60.4,1,60.3,,Johnny Hekker,CAR,67.4,61.0,0,7252,,P,0,
2023,,1,17,637,0,33.0,362,,42.9,Adam Thielen,CAR,49.4,72.7,0,8288,46.5,WR,0,75.3
2023,79.4,132,12,146,7,72.8,173,,45.8,Khalil Herbert,CHI,86.5,77.9,87,41668,53.3,HB,45,67.5
2023,84.9,125,13,0,2,33.8,346,67.2,60.4,Justin Fields,CHI,49.0,74.6,26,82118,,QB,29,
2023,77.4,109,9,96,1,67.8,139,,57.2,D'Onta Foreman,CHI,83.9,74.0,65,11844,29.5,HB,43,58.3
2023,66.9,80,15,190,2,65.9,124,,62.7,Roschon Johnson,CHI,88.6,65.8,54,99467,64.8,HB,25,60.7
2023,81.2,24,5,1,0,50.5,137,50.8,60.3,Tyson Bagent,CHI,85.0,57.7,3,169628,,QB,2,57.6
2023,70.7,8,13,54,2,80.5,40,,52.3,Velus Jones Jr.,CHI,2.9,53.1,0,40573,,WR,4,49.6
2023,55.4,8,16,44,0,73.2,108,,68.2,Khari Blasingame,CHI,84.6,55.8,2,44889,57.0,FB,6,41.3
2023,60.6,7,17,257,1,28.2,165,,45.8,Tyler Scott,CHI,65.8,52.7,0,123578,80.6,WR,0,53.2
2023,53.7,4,17,591,1,57.4,409,,64.1,DJ Moore,CHI,91.0,89.3,0,48267,,WR,1,89.5
2023,66.8,3,17,425,0,50.9,365,,54.9,Cole Kmet,CHI,67.1,73.7,0,60995,64.3,TE,0,77.7
2023,53.4,2,15,466,0,77.1,275,,30.1,Darnell Mooney,CHI,88.1,55.2,0,48236,39.6,WR,0,58.9
2023,60.0,2,2,0,0,65.2,3,60.0,60.0,Nathan Peterman,CHI,69.2,58.4,0,11926,,QB,0,
2023,57.2,1,14,60,0,87.3,56,,53.8,Trent Taylor,CHI,80.8,51.8,0,11932,62.4,WR,0,52.3
2023,73.8,257,17,373,8,91.3,289,,59.9,Joe Mixon,CIN,39.2,71.1,104,11803,29.7,HB,149,68.8
2023,59.0,44,11,35,4,48.0,49,,58.7,Chase Brown,CIN,81.4,63.9,23,77787,26.7,HB,20,81.1
2023,68.8,31,10,0,0,87.0,180,76.8,60.0,Joe Burrow,CIN,17.6,77.9,0,28022,,QB,1,
2023,87.8,27,9,2,0,54.6,167,74.4,60.0,Jake Browning,CIN,43.6,79.3,1,46401,60.9,QB,0,59.8
2023,61.6,15,17,96,1,80.9,31,,52.5,Trayveon Williams,CIN,85.7,58.9,8,45775,75.1,HB,5,51.1
2023,52.8,3,16,600,0,58.8,258,60.0,45.1,Ja'Marr Chase,CIN,67.9,85.3,0,84270,,WR,2,86.7
2023,59.1,2,17,577,0,81.5,213,57.3,30.4,Tyler Boyd,CIN,62.7,59.5,0,10689,66.2,WR,0,64.4
2023,62.2,2,8,30,0,85.6,14,,37.6,Charlie Jones,CIN,77.7,65.8,0,55038,,WR,0,67.9
2023,63.3,2,7,16,0,70.1,4,,60.0,Chris Evans,CIN,76.2,51.9,1,27303,13.6,HB,1,52.0
2023,71.5,213,18,349,8,82.9,237,,67.1,Jerome Ford,CLV,90.7,68.3,86,83601,64.8,HB,118,55.3
2023,68.7,143,16,151,2,90.2,164,,65.0,Kareem Hunt,CLV,88.1,69.8,41,11841,58.4,HB,92,67.0
2023,63.3,63,15,73,3,57.5,75,,60.2,Pierre Strong Jr.,CLV,84.9,60.6,24,66619,62.4,HB,35,49.1
2023,81.8,28,2,16,2,79.9,32,,60.0,Nick Chubb,CLV,77.3,81.6,13,45783,25.8,HB,14,65.4
2023,63.4,27,6,0,0,38.5,165,66.8,60.9,Deshaun Watson,CLV,30.4,67.3,2,11767,,QB,4,
2023,58.4,14,8,0,0,36.0,82,49.4,60.8,Dorian Thompson-Robinson,CLV,38.9,49.3,2,83574,,QB,5,
2023,63.3,13,6,0,0,26.9,108,28.8,60.5,P.J. Walker,CLV,84.0,29.7,2,12134,,QB,1,
2023,69.1,12,6,0,0,65.4,140,70.6,61.2,Joe Flacco,CLV,86.2,72.8,0,4332,,QB,1,
2023,51.5,9,18,608,1,51.1,319,,42.3,Elijah Moore,CLV,90.1,58.9,2,84302,0.0,WR,5,60.6
2023,83.4,7,1,0,0,78.7,21,58.9,60.0,Jeff Driskel,CLV,0.0,66.4,0,10841,,QB,2,
2023,55.7,5,18,165,0,25.8,233,,49.6,Harrison Bryant,CLV,87.6,57.0,0,26394,80.2,TE,0,59.4
2023,60.2,4,13,86,2,71.1,45,,58.9,Marquise Goodwin,CLV,81.6,50.5,0,7859,,WR,0,49.5
2023,56.6,1,14,358,0,75.0,227,,56.2,Cedric Tillman,CLV,71.6,55.5,0,84434,76.4,WR,0,55.4
2023,84.7,267,18,439,11,66.9,315,,62.8,Tony Pollard,DAL,90.8,77.5,133,27126,70.6,HB,122,51.4
2023,69.4,91,17,122,3,88.5,117,,60.1,Rico Dowdle,DAL,85.1,66.6,51,40693,34.1,HB,32,59.6
2023,78.6,62,18,0,1,84.3,426,87.0,60.2,Dak Prescott,DAL,51.9,90.0,3,10769,,QB,3,
2023,40.9,23,6,20,0,80.8,31,,60.0,Deuce Vaughn,DAL,77.8,46.4,12,122624,35.7,HB,11,76.0
2023,77.8,15,18,692,1,50.6,336,,54.3,CeeDee Lamb,DAL,50.4,90.9,4,61570,,WR,1,91.2
2023,66.2,12,7,0,0,79.6,41,54.3,60.0,Cooper Rush,DAL,79.2,58.0,0,12324,,QB,0,
2023,60.0,11,17,96,2,62.1,53,,54.6,KaVontae Turpin,DAL,26.5,67.7,2,47658,66.2,WR,5,69.8
2023,68.1,6,18,39,0,73.7,101,,55.6,Hunter Luepke,DAL,84.4,56.7,2,91319,20.2,FB,0,56.0
2023,55.3,5,17,594,0,57.6,262,,43.6,Brandin Cooks,DAL,90.1,68.8,0,8655,,WR,0,69.9
2023,57.6,1,9,65,0,68.3,87,,56.9,Peyton Hendershot,DAL,51.6,44.2,0,60915,85.1,TE,0,41.4
2023,64.9,217,16,170,12,83.3,264,,57.6,Javonte Williams,DEN,84.7,63.3,106,77803,27.8,HB,104,61.9
2023,80.3,80,15,0,1,28.9,370,72.5,60.0,Russell Wilson,DEN,89.5,77.5,8,7077,,QB,0,
2023,82.8,76,17,98,4,87.0,85,,60.0,Jaleel McLaughlin,DEN,83.2,86.2,54,138346,34.6,HB,17,85.2
2023,72.5,53,17,218,2,61.8,73,,59.3,Samaje Perine,DEN,87.3,71.3,24,11869,31.1,HB,27,81.0
2023,45.0,9,3,0,0,51.9,53,58.5,60.3,Jarrett Stidham,DEN,81.7,55.5,0,13725,,QB,1,
2023,52.1,9,16,245,0,62.8,120,,55.5,Marvin Mims Jr.,DEN,62.6,63.1,0,122937,,WR,0,64.6
2023,75.2,7,17,49,0,73.7,113,,61.9,Michael Burton,DEN,26.2,64.2,0,9601,84.0,FB,0,49.7
2023,83.4,258,17,209,10,73.5,272,60.0,60.0,David Montgomery,DET,52.7,79.6,133,45719,29.7,HB,125,58.4
2023,80.8,211,18,372,17,61.2,247,,57.0,Jahmyr Gibbs,DET,89.6,76.3,99,122474,26.8,HB,103,67.4
2023,79.8,42,19,64,2,45.9,73,,51.6,Craig Reynolds,DET,81.8,76.5,31,94383,24.0,HB,11,69.9
2023,51.9,40,20,2,0,60.3,580,85.2,60.3,Jared Goff,DET,56.6,85.7,1,10635,,QB,0,56.6
2023,63.8,7,17,236,1,89.7,101,,59.0,Kalif Raymond,DET,59.8,75.4,0,11028,28.2,WR,1,75.8
2023,66.3,5,19,691,0,67.4,473,60.0,70.1,Amon-Ra St. Brown,DET,90.8,91.2,1,84470,39.2,WR,2,91.3
2023,80.3,4,15,332,2,28.6,235,,47.8,Jameson Williams,DET,87.8,62.9,0,101701,61.8,WR,0,61.8
2023,60.4,3,2,4,0,70.7,4,,,Zonovan Knight,DET,68.4,62.1,2,97432,76.7,HB,1,62.6
2023,60.6,3,2,2,0,68.2,6,,60.0,Devine Ozigbo,DET,69.9,66.5,3,45903,,HB,0,80.1
2023,59.8,2,3,0,0,66.7,2,70.7,,Jalen Reeves-Maybin,DET,66.3,71.2,0,11879,,LB,1,
2023,60.0,2,1,0,0,65.2,3,,60.0,Teddy Bridgewater,DET,68.2,60.6,0,8667,,QB,0,
2023,59.2,1,16,155,0,72.7,264,,45.9,Brock Wright,DET,85.3,48.0,0,60994,64.0,TE,1,50.1
2023,56.9,1,7,14,0,64.6,37,,51.3,Jason Cabinda,DET,79.3,43.2,0,50714,26.9,FB,0,52.6
2023,56.4,1,20,601,0,84.3,464,,53.9,Sam LaPorta,DET,86.1,77.0,0,101690,59.9,TE,1,81.8
2023,85.7,182,13,202,8,66.0,207,,57.8,Aaron Jones,GB,88.3,80.9,119,11937,63.2,HB,61,56.4
2023,76.1,178,15,216,3,90.5,205,,56.6,AJ Dillon,GB,88.2,75.7,96,57165,56.0,HB,80,68.2
2023,59.5,55,19,0,1,57.7,476,83.2,60.0,Jordan Love,GB,51.5,83.6,3,40306,62.2,QB,1,60.0
2023,64.1,35,13,136,1,81.6,53,,75.7,Patrick Taylor,GB,29.2,60.4,21,40448,59.6,HB,14,53.4
2023,79.9,26,9,22,1,79.6,33,,60.0,Emanuel Wilson,GB,77.3,80.0,15,154173,,HB,10,66.3
2023,68.4,12,18,424,6,88.6,198,,46.1,Jayden Reed,GB,58.2,73.3,4,78171,62.4,WR,1,74.4
2023,60.1,4,11,298,0,77.5,190,,50.0,Christian Watson,GB,50.2,68.2,0,66581,65.5,WR,2,70.3
2023,44.9,3,3,0,0,15.5,15,76.0,60.0,Sean Clifford,GB,74.1,56.8,0,51708,,QB,1,
2023,71.7,3,7,91,0,75.3,82,,60.7,Bo Melton,GB,83.3,83.4,0,61610,,WR,0,82.6
2023,53.6,2,3,10,0,15.3,4,,60.0,Kenyan Drake,GB,73.8,37.3,1,10707,15.8,HB,1,28.8
2023,63.4,1,1,0,0,27.1,1,,,Keisean Nixon,GB,64.9,78.8,0,56167,,CB,0,
2023,,1,19,555,0,47.6,351,60.0,55.4,Romeo Doubs,GB,78.9,73.6,0,84329,,WR,0,74.0
2023,59.7,1,1,2,0,64.6,2,,60.0,James Robinson,GB,70.3,59.1,1,22425,,HB,0,63.1
2023,59.2,1,17,312,0,23.0,188,69.9,66.1,Dontayvion Wicks,GB,69.1,77.8,0,99711,,WR,0,77.0
2023,78.1,238,19,329,13,85.0,276,69.5,79.0,Devin Singletary,HST,88.3,75.1,120,40485,34.3,HB,111,61.2
2023,64.0,148,14,111,3,75.5,164,,55.7,Dameon Pierce,HST,83.3,65.9,90,83659,87.8,HB,55,63.3
2023,73.4,42,17,1,0,52.1,403,80.4,60.2,C.J. Stroud,HST,68.4,83.2,1,129759,61.3,QB,0,58.9
2023,71.2,12,11,320,0,85.5,156,60.0,50.1,Tank Dell,HST,87.1,83.4,5,78874,,WR,1,83.3
2023,56.3,10,10,85,1,74.8,15,,31.7,Dare Ogunbowale,HST,83.8,46.6,5,12329,29.0,HB,4,49.8
2023,40.2,5,9,74,0,23.7,10,,41.8,Mike Boone,HST,84.3,41.5,3,31615,14.5,HB,2,51.3
2023,60.6,5,17,109,0,24.5,197,,54.2,Andrew Beck,HST,61.2,50.7,0,47121,63.6,FB,0,48.8
2023,68.2,5,7,0,0,80.5,14,46.3,60.0,Davis Mills,HST,78.6,48.3,1,52269,,QB,0,
2023,62.8,5,16,190,1,74.7,118,,57.8,Xavier Hutchinson,HST,28.7,47.3,1,122518,,WR,1,47.2
2023,59.5,2,17,470,0,83.3,247,,74.5,Nico Collins,HST,88.9,91.4,0,61441,,WR,0,91.2
2023,54.0,2,2,0,0,82.5,45,45.6,60.0,Case Keenum,HST,81.1,44.8,0,7323,,QB,0,
2023,55.1,2,18,214,0,75.5,155,,55.5,John Metchie III,HST,62.7,57.8,0,97400,65.3,WR,0,58.6
2023,,1,11,297,0,77.6,140,,53.5,Noah Brown,HST,65.8,73.0,0,11993,66.9,WR,0,73.6
2023,60.0,1,1,0,0,61.9,1,,,Cameron Johnston,HST,65.7,60.0,0,12255,,P,0,
2023,49.5,1,4,9,0,79.5,5,,59.6,Steven Sims,HST,73.3,54.3,0,48341,,WR,0,68.3
2023,63.1,1,16,448,0,83.7,235,,52.0,Robert Woods,HST,73.3,60.7,0,7822,39.3,WR,0,61.0
2023,72.8,183,14,233,7,90.6,210,,57.4,Zack Moss,IND,90.1,66.9,135,40341,60.4,HB,47,43.9
2023,75.0,169,10,178,6,77.3,174,,71.9,Jonathan Taylor,IND,87.8,74.9,103,57488,57.1,HB,64,63.8
2023,67.4,35,12,43,2,80.9,43,,60.0,Trey Sermon,IND,81.5,56.6,23,57372,69.4,HB,12,27.7
2023,59.6,34,16,0,0,42.5,392,60.6,60.3,Gardner Minshew,IND,89.7,62.0,0,41401,,QB,0,
2023,45.3,25,4,0,3,23.6,66,56.5,60.0,Anthony Richardson,IND,82.7,52.2,2,124393,,QB,11,
2023,66.0,13,6,32,2,76.0,16,,60.0,Tyler Goodson,IND,79.3,57.3,4,101659,73.4,HB,9,41.5
2023,53.7,3,13,55,0,57.4,56,,59.4,Isaiah McKenzie,IND,80.1,64.7,1,11927,,WR,0,66.4
2023,62.8,2,1,8,0,66.7,2,,,Jake Funk,IND,76.5,63.5,2,45835,36.0,HB,0,66.5
2023,62.9,1,1,5,0,66.2,2,,60.0,Evan Hull,IND,69.8,65.7,1,97302,,HB,0,64.6
2023,63.1,1,15,290,0,76.7,175,,48.2,Kylen Granson,IND,61.1,56.8,0,40630,63.8,TE,0,59.3
2023,78.4,267,17,404,10,91.3,307,,77.0,Travis Etienne Jr.,JAX,70.1,77.0,101,57185,52.2,HB,158,69.3
2023,69.9,69,16,1,0,36.5,363,78.6,61.1,Trevor Lawrence,JAX,25.6,79.7,5,77632,60.9,QB,2,60.0
2023,69.0,50,16,39,0,26.9,80,,67.2,Tank Bigsby,JAX,83.3,52.3,22,123974,32.1,HB,25,24.7
2023,55.3,41,17,108,1,83.6,52,,52.5,D'Ernest Johnson,JAX,85.1,57.5,26,45734,43.7,HB,14,65.7
2023,57.9,9,17,647,1,54.8,304,,50.2,Calvin Ridley,JAX,69.3,71.4,1,48262,,WR,0,72.2
2023,46.9,8,7,0,0,45.5,45,74.6,60.0,C.J. Beathard,JAX,81.0,71.5,0,11859,,QB,0,
2023,49.1,5,11,150,0,51.9,44,,76.6,Jamal Agnew,JAX,0.0,59.9,0,11920,,WR,1,62.5
2023,60.5,3,1,0,0,67.2,6,,60.0,Matt Barkley,JAX,70.6,61.6,0,7880,,QB,0,
2023,63.3,1,12,380,0,26.7,177,52.1,35.8,Christian Kirk,JAX,88.5,71.1,0,47546,75.7,WR,0,72.7
2023,80.2,286,18,365,13,78.0,321,,59.3,Isiah Pacheco,KC,51.5,79.9,158,83747,67.4,HB,120,69.9
2023,88.4,98,20,1,1,81.9,436,85.8,60.9,Patrick Mahomes,KC,82.2,90.5,3,11765,60.9,QB,2,59.9
2023,64.6,81,19,155,3,63.4,88,,60.0,Clyde Edwards-Helaire,KC,88.2,65.5,52,57279,59.1,HB,27,65.9
2023,66.1,35,7,51,0,81.1,46,,66.4,Keaontay Ingram,KC,82.6,64.7,21,77761,60.8,HB,14,55.0
2023,65.8,22,5,31,0,78.1,25,,72.8,La'Mical Perine,KC,80.9,64.4,16,26408,79.2,HB,5,48.3
2023,60.6,21,13,190,0,80.9,37,60.1,43.8,Jerick McKinnon,KC,89.1,63.1,13,8731,58.1,HB,5,69.1
2023,62.3,11,13,152,0,38.3,68,55.1,62.9,Kadarius Toney,KC,45.5,62.5,3,61245,,WR,3,62.9
2023,74.8,7,2,0,0,79.8,38,54.6,60.0,Blaine Gabbert,KC,79.7,60.7,0,6162,,QB,0,
2023,55.1,3,14,289,0,26.3,189,,53.6,Skyy Moore,KC,87.2,54.8,0,97116,,WR,0,54.9
2023,35.3,3,20,542,0,23.6,273,,59.8,Rashee Rice,KC,65.4,84.9,0,97605,71.7,WR,1,86.1
2023,28.5,3,14,142,0,22.0,64,,59.4,Mecole Hardman Jr.,KC,45.1,55.2,1,42683,,WR,1,60.4
2023,,1,19,662,0,63.6,289,,46.9,Travis Kelce,KC,33.2,82.6,0,7844,77.9,TE,0,87.8
2023,60.0,1,21,379,0,77.8,307,,56.6,Noah Gray,KC,90.4,62.9,0,60878,47.6,TE,0,63.7
2023,90.5,241,13,341,10,62.9,262,,59.1,Kyren Williams,LA,36.0,80.4,90,97118,57.7,HB,150,39.1
2023,78.1,77,10,80,3,85.6,88,,78.9,Royce Freeman,LA,84.4,74.2,35,45747,67.6,HB,40,46.0
2023,53.4,46,4,52,1,82.9,48,,60.0,Darrell Henderson,LA,81.1,55.2,20,41193,69.0,HB,26,58.4
2023,77.6,35,8,44,0,82.4,46,,59.1,Ronnie Rivers,LA,79.0,75.0,8,57208,46.0,HB,27,66.0
2023,61.3,21,16,0,0,92.1,413,86.0,60.1,Matthew Stafford,LA,68.4,88.2,0,4924,,QB,0,90.6
2023,68.1,17,2,0,0,80.8,35,80.2,60.0,Carson Wentz,LA,79.2,80.7,1,10636,,QB,5,
2023,71.0,13,18,607,2,44.2,389,,78.1,Puka Nacua,LA,81.3,90.2,1,100632,72.0,WR,3,89.3
2023,45.4,9,4,4,0,72.7,12,,60.0,Zach Evans,LA,71.7,42.7,2,123072,,HB,7,56.2
2023,72.3,5,17,408,1,79.6,254,59.1,64.6,Tutu Atwell,LA,88.1,68.3,1,77965,,WR,0,66.6
2023,58.4,2,18,88,0,72.0,129,,55.2,Ben Skowronek,LA,47.7,55.9,0,27948,73.7,WR,0,56.7
2023,63.1,1,14,259,1,20.7,175,,71.8,Demarcus Robinson,LA,44.6,70.0,0,10760,,WR,0,69.2
2023,56.6,1,13,432,0,81.1,303,,67.5,Cooper Kupp,LA,74.7,71.5,0,11824,69.5,WR,0,71.1
2023,65.1,179,14,349,4,29.6,210,,36.6,Austin Ekeler,LAC,90.6,60.2,109,12164,29.3,HB,68,57.4
2023,60.5,107,17,173,3,67.4,128,,58.3,Joshua Kelley,LAC,88.3,52.0,58,13750,42.4,HB,46,36.4
2023,73.2,52,13,2,0,66.7,280,83.1,60.3,Justin Herbert,LAC,62.4,85.5,1,28237,,QB,0,55.2
2023,63.4,37,9,49,0,81.3,41,,60.0,Isaiah Spiller,LAC,0.0,58.8,18,99146,29.0,HB,17,61.0
2023,79.9,27,5,0,1,29.2,112,61.8,60.2,Easton Stick,LAC,55.0,66.8,4,29466,,QB,8,
2023,63.5,14,16,73,2,69.1,69,,43.0,Derius Davis,LAC,83.8,60.5,1,78196,,WR,3,61.0
2023,53.2,4,3,5,0,70.0,10,,60.0,Elijah Dotson,LAC,72.4,54.8,4,57394,,HB,0,62.7
2023,63.4,3,17,488,0,78.6,232,,52.7,Quentin Johnston,LAC,76.1,58.9,1,123085,,WR,0,58.7
2023,60.6,3,15,326,0,25.2,197,,51.3,Gerald Everett,LAC,76.7,65.6,1,11799,67.5,TE,0,68.1
2023,,2,13,527,0,35.7,216,71.4,39.1,Keenan Allen,LAC,76.9,86.3,0,7857,77.5,WR,0,87.4
2023,56.6,1,3,107,0,74.5,54,,75.0,Mike Williams,LAC,82.5,74.6,0,11762,,WR,0,73.5
2023,,1,10,342,0,29.7,155,,51.1,Joshua Palmer,LAC,88.3,67.6,0,62979,,WR,0,67.6
2023,44.7,1,1,0,0,16.2,1,,,Nick Niemann,LAC,60.4,43.9,0,43500,,LB,0,
2023,70.1,233,13,238,5,61.0,271,60.0,55.3,Josh Jacobs,LV,26.9,65.0,106,45953,50.9,HB,110,51.0
2023,70.6,104,15,90,5,67.0,118,,59.8,Zamir White,LV,81.5,71.7,48,83665,46.4,HB,46,69.7
2023,58.8,20,7,1,0,74.1,121,65.0,60.0,Jimmy Garoppolo,LV,55.9,65.0,0,8697,,QB,1,58.9
2023,61.6,17,11,3,0,72.1,256,64.6,60.3,Aidan O'Connell,LV,87.9,65.9,1,60516,61.2,QB,0,56.2
2023,69.2,15,17,143,0,78.7,17,,60.0,Ameer Abdullah,LV,84.3,55.5,5,9487,17.7,HB,7,61.8
2023,67.8,10,16,224,2,77.4,98,,59.7,Tre Tucker,LV,58.3,65.2,0,101106,,WR,0,64.3
2023,70.0,4,16,531,1,82.1,341,80.8,36.7,Jakobi Meyers,LV,55.0,69.9,0,47468,71.8,WR,0,71.8
2023,73.7,4,3,0,1,69.7,5,,,Brandon Bolden,LV,69.3,77.9,0,7469,,HB,3,
2023,60.5,3,3,0,0,80.6,33,54.6,60.0,Brian Hoyer,LV,79.7,55.2,0,5277,,QB,0,
