season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,snap_counts_offense,player_game_count
2023,REG,CLV,12,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-11-24 20:13:23,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,13,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-12-01 22:55:38,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,14,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-12-08 19:45:49,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,15,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-12-15 19:54:27,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,16,00-0031426,G,Joel Bitonio,Joel,Bitonio,Back,Knee,Questionable,Back,Knee,Limited Participation in Practice,2023-12-22 20:50:35,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,17,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Back,Knee,Full Participation in Practice,2023-12-27 20:24:45,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,18,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Oblique,Knee,Full Participation in Practice,2024-01-05 19:53:29,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,WC,CLV,19,00-0031426,G,Joel Bitonio,Joel,Bitonio,,,,Not injury related - resting player,"Oblique, Knee",Full Participation in Practice,2024-01-11 20:12:00,injury_reports_2023.csv,0.0,G,CLE,Joel Bitonio,CLV,1107,16
2023,REG,CLV,1,00-0033057,T,Jack Conklin,Jack,Conklin,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-08 19:35:34,injury_reports_2023.csv,0.0,T,CLE,Jack Conklin,CLV,22,1
2023,REG,DAL,1,00-0037243,T,Tyler Smith,Tyler,Smith,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-08 19:36:26,injury_reports_2023.csv,0.0,T,DAL,Tyler Smith,DAL,1037,15
2023,REG,DAL,2,00-0037243,T,Tyler Smith,Tyler,Smith,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-15 19:09:46,injury_reports_2023.csv,0.0,T,DAL,Tyler Smith,DAL,1037,15
2023,REG,DAL,3,00-0037243,T,Tyler Smith,Tyler,Smith,,,,Hamstring,,Full Participation in Practice,2023-09-22 18:40:32,injury_reports_2023.csv,0.0,T,DAL,Tyler Smith,DAL,1037,15
2023,REG,DAL,18,00-0037243,G,Tyler Smith,Tyler,Smith,Foot,,Questionable,Foot,,Did Not Participate In Practice,2024-01-05 19:31:00,injury_reports_2023.csv,0.0,G,DAL,Tyler Smith,DAL,1037,15
2023,WC,DAL,19,00-0037243,G,Tyler Smith,Tyler,Smith,,,,Foot,,Full Participation in Practice,2024-01-12 19:29:10,injury_reports_2023.csv,0.0,G,DAL,Tyler Smith,DAL,1037,15
2023,REG,DAL,1,00-0027947,T,Tyron Smith,Tyron,Smith,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 19:35:58,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,2,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Ankle,,Full Participation in Practice,2023-09-15 19:07:59,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,3,00-0027947,T,Tyron Smith,Tyron,Smith,Knee,,Questionable,,,"
    ",2023-09-23 21:12:39,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,4,00-0027947,T,Tyron Smith,Tyron,Smith,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-29 18:50:04,injury_reports_2023.csv,3.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,5,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-10-06 19:30:07,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,6,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,Knee,Full Participation in Practice,2023-10-14 19:03:21,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,8,00-0027947,T,Tyron Smith,Tyron,Smith,Neck,,Questionable,Neck,,Limited Participation in Practice,2023-10-27 19:51:10,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,9,00-0027947,T,Tyron Smith,Tyron,Smith,Neck,,Questionable,Neck,,Limited Participation in Practice,2023-11-03 18:19:09,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,10,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Illness,,Full Participation in Practice,2023-11-10 19:59:06,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,11,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-16 20:44:29,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,12,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-21 20:44:33,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,13,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-11-27 20:52:40,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,14,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-07 20:51:16,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,15,00-0027947,T,Tyron Smith,Tyron,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-12-14 20:49:33,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
2023,REG,DAL,16,00-0027947,T,Tyron Smith,Tyron,Smith,Back,,Doubtful,Back,,Did Not Participate In Practice,2023-12-22 19:18:11,injury_reports_2023.csv,0.0,T,DAL,Tyron Smith,DAL,942,14
