team_name,position,weighted_injury_score,injury_score,snap_share,snap_counts_defense,snap_counts_offense,attempts,routes
TEN,S,0.9812056737588652,15.0,1.0,8460.0,,,
WAS,CB,0.6404175917615381,27.0,1.0,21169.0,,,
WAS,DI,0.2849786348197655,3.0,1.0,9127.0,,,
WAS,ED,1.2431226765799257,12.0,1.0,4035.0,,,
WAS,LB,0.6276648487853247,3.0,1.0,4034.0,,,
WAS,S,0.3594489883770986,3.0,1.0,6969.0,,,
ARZ,C,0.9248444231689804,6.0,1.0,,2089.0,,
ARZ,G,0.9546898157950456,9.0,1.0,,4723.0,,
ARZ,T,0.6882460044507385,6.0,1.0,,4943.0,,
ATL,C,0.5749537322640346,3.0,1.0,,4863.0,,
ATL,G,0.0,0.0,1.0,,3198.0,,
ATL,T,0.5993631324448637,6.0,1.0,,8479.0,,
BLT,C,2.0,6.0,1.0,,3129.0,,
BLT,G,0.6060550458715597,3.0,1.0,,5450.0,,
BLT,T,0.595525230085687,9.0,1.0,,12604.0,,
BUF,C,0.0,0.0,1.0,,2579.0,,
BUF,T,0.0,0.0,1.0,,6440.0,,
CAR,C,0.09734513274336283,3.0,1.0,,2373.0,,
CAR,G,0.5202108963093146,9.0,1.0,,5121.0,,
CAR,T,0.0,0.0,1.0,,17221.0,,
CHI,C,0.0,0.0,1.0,,5902.0,,
CHI,G,1.5,12.0,1.0,,5304.0,,
CHI,T,0.3076599326599327,3.0,1.0,,7128.0,,
CIN,G,0.0,0.0,1.0,,1079.0,,
CIN,T,0.0,0.0,1.0,,2198.0,,
CLV,C,0.4020037570444584,3.0,1.0,,7985.0,,
CLV,G,0.11463583016914049,3.0,1.0,,28970.0,,
CLV,T,0.2997474038731406,3.0,1.0,,7126.0,,
DAL,C,0.0,0.0,1.0,,5615.0,,
DAL,G,0.0,0.0,0.9999999999999999,,15113.0,,
DAL,T,0.11712193516537765,6.0,1.0,,24308.0,,
DEN,G,0.0,0.0,1.0,,3174.0,,
DEN,T,0.5556424799530608,3.0,1.0,,5113.0,,
DET,C,0.16666666666666666,3.0,1.0,,21420.0,,
DET,G,1.418818837827573,24.0,1.0,,10532.0,,
DET,T,0.28171404327535,6.0,1.0,,14142.0,,
GB,C,0.0,0.0,1.0,,4848.0,,
GB,G,0.3125766871165644,6.0,1.0,,19560.0,,
GB,T,0.044522396114409064,3.0,1.0,,3706.0,,
HST,C,0.0,0.0,1.0,,2877.0,,
HST,G,1.0,6.0,1.0,,1398.0,,
HST,T,0.09443502087682672,3.0,1.0,,30656.0,,
IND,C,1.0,9.0,1.0,,7938.0,,
IND,G,0.0,0.0,1.0,,5705.0,,
IND,T,1.484538612565445,27.0,1.0,,12224.0,,
JAX,C,0.0,0.0,1.0,,1163.0,,
JAX,G,0.0,0.0,1.0,,8061.0,,
JAX,T,0.6516866278430942,9.0,1.0,,9101.0,,
KC,G,0.0,0.0,1.0,,4375.0,,
KC,T,1.2671049613943888,18.0,1.0,,13081.0,,
LA,C,0.0,0.0,1.0,,2852.0,,
LA,G,0.0,0.0,1.0,,3756.0,,
LA,T,0.0,0.0,1.0,,13244.0,,
LAC,C,0.3967861557478368,3.0,1.0,,1618.0,,
LAC,G,0.0,0.0,1.0,,4024.0,,
LAC,T,0.0,0.0,1.0,,10386.0,,
LV,C,0.6000000000000001,3.0,1.0,,4815.0,,
LV,G,0.0,0.0,1.0,,5252.0,,
LV,T,0.5092790863668808,9.0,1.0,,8406.0,,
MIA,C,0.3333333333333333,3.0,1.0,,4473.0,,
MIA,G,0.6620301374399735,21.0,1.0,,18117.0,,
MIA,T,0.10113525038898175,3.0,1.0,,17353.0,,
MIN,C,0.75,3.0,1.0,,3496.0,,
MIN,G,0.0,0.0,1.0,,3627.0,,
MIN,T,0.5684887459807073,6.0,1.0,,9330.0,,
NE,C,0.0,0.0,1.0,,4200.0,,
NE,G,0.375,3.0,1.0,,4512.0,,
NE,T,0.21811915312653862,15.0,0.9999999999999999,,6093.0,,
NO,C,0.0,0.0,1.0,,5760.0,,
