year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2023,337,220,13,0,7,14,70.0,62.8,49.5,57.5,571,12,457,Dee Alford,ATL,72.8,51.6,0,110542,559,CB,12,0,42,53
2023,231,181,7,0,2,2,59.0,65.0,55.0,46.6,414,3,33,Clark Phillips III,ATL,58.5,40.9,0,131871,411,CB,3,0,39,337
2023,22,180,19,18,0,545,82.9,74.6,79.0,46.7,747,724,0,Jadeveon Clowney,BLT,62.6,65.9,0,8636,4,ED,743,1,4,0
2023,43,143,16,0,0,376,75.0,55.7,77.2,54.4,562,541,3,Kyle Van Noy,BLT,69.5,61.0,0,8675,21,ED,541,0,15,3
2023,2,146,19,84,0,161,63.0,60.9,58.5,38.7,309,111,0,Brent Urban,BLT,62.8,86.2,0,8769,0,DI,309,114,0,0
2023,385,168,13,0,1,1,70.8,56.0,57.7,61.2,554,0,13,Ronald Darby,BLT,72.9,51.1,0,9483,554,CB,0,0,26,514
2023,81,43,7,0,69,0,69.5,55.9,,85.7,124,2,32,Daryl Worley,BLT,70.1,80.0,0,10711,122,S,2,0,18,3
2023,12,1,2,0,0,0,68.8,60.0,,78.6,13,0,13,Kevon Seymour,BLT,68.9,72.6,0,10852,13,CB,0,0,0,0
2023,18,245,19,28,0,435,80.1,77.9,72.9,48.9,698,3,0,Michael Pierce,BLT,56.6,78.0,146,11101,2,DI,696,519,2,0
2023,3,18,2,0,8,0,44.9,41.4,,22.9,21,0,4,Andrew Adams,BLT,61.1,72.4,0,11240,21,S,0,0,9,0
2023,381,167,11,0,2,5,65.3,57.9,92.8,52.4,553,5,27,Marlon Humphrey,BLT,63.2,85.5,0,11771,548,CB,5,0,37,482
2023,500,261,13,0,502,4,73.8,60.2,54.3,62.6,765,14,118,Marcus Williams,BLT,76.4,92.0,0,11797,751,S,14,0,126,5
2023,333,103,16,0,0,22,68.6,73.2,80.2,49.7,458,10,388,Arthur Maulet,BLT,64.2,83.7,0,12224,448,CB,10,0,40,20
2023,5,54,6,0,0,43,60.7,63.1,53.5,77.4,102,98,1,Jeremiah Moon,BLT,61.7,83.6,0,26453,3,ED,99,1,2,0
2023,59,131,16,0,0,36,74.3,71.1,66.5,59.8,226,188,24,Malik Harrison,BLT,69.4,83.7,0,28081,38,LB,188,0,14,0
2023,17,257,19,297,0,575,77.4,66.4,79.6,61.5,849,51,0,Nnamdi Madubuike,BLT,59.4,52.6,20,44304,5,DI,844,476,5,0
2023,812,389,18,0,14,5,67.4,68.8,73.3,65.8,1206,2,28,Brandon Stephens,BLT,65.5,89.7,0,45644,1204,CB,2,0,75,1087
2023,180,101,11,0,0,0,63.4,55.5,,83.8,281,0,5,Rock Ya-Sin,BLT,64.0,83.5,0,49564,281,CB,0,0,16,260
2023,5,180,18,86,0,267,46.6,44.6,54.5,31.2,452,32,0,Broderick Washington,BLT,54.4,86.6,34,50049,0,DI,452,300,0,0
2023,725,362,18,0,5,105,77.9,72.0,57.8,78.5,1192,67,58,Roquan Smith,BLT,83.2,37.2,0,50892,1125,LB,67,0,1060,2
2023,685,304,19,0,696,11,72.2,34.2,48.5,48.5,1000,25,110,Geno Stone,BLT,85.3,90.3,0,55967,975,S,25,0,159,10
2023,36,43,9,0,0,2,56.7,30.0,54.9,42.1,81,3,2,Del'Shawn Phillips,BLT,86.9,74.3,0,57868,78,LB,3,0,76,0
2023,732,391,19,0,7,123,73.0,66.3,67.8,49.5,1246,99,112,Patrick Queen,BLT,74.4,71.4,0,57941,1147,LB,99,0,1020,8
2023,8,186,19,29,0,324,68.1,66.9,65.0,43.9,518,17,0,Travis Jones,BLT,62.3,60.9,96,76914,0,DI,518,376,0,0
2023,87,21,3,0,0,7,65.3,71.5,74.5,59.4,115,1,100,Ar'Darius Washington,BLT,61.1,78.7,0,77848,114,CB,1,0,9,5
2023,22,117,15,6,0,352,77.5,71.7,77.4,52.0,491,479,0,Odafe Oweh,BLT,54.3,43.9,2,82161,3,ED,488,1,3,0
2023,21,6,3,0,0,1,63.1,60.8,60.0,78.5,28,2,15,Jalyn Armour-Davis,BLT,62.8,75.7,0,83120,26,CB,2,0,0,11
2023,9,19,3,0,0,55,59.0,57.9,56.8,43.8,83,80,0,David Ojabo,BLT,64.5,80.2,0,101420,3,ED,80,0,3,0
2023,684,336,17,0,301,45,86.4,48.5,92.8,66.0,1065,58,465,Kyle Hamilton,BLT,90.1,63.5,0,102684,1007,S,58,0,236,5
2023,8,35,6,0,0,6,76.3,66.3,63.3,54.9,49,11,0,Trenton Simpson,BLT,77.4,77.4,0,122157,38,LB,11,0,38,0
2023,10,165,18,18,0,163,55.9,64.5,44.9,55.5,338,317,0,Tavius Robinson,BLT,70.7,70.9,0,124147,1,ED,337,2,1,0
2023,0,86,9,0,0,103,43.3,33.3,58.2,57.1,189,0,0,Linval Joseph,BUF,75.2,84.7,137,5571,0,DI,189,52,0,0
2023,16,75,14,0,0,207,53.3,52.0,52.7,28.2,298,296,0,Von Miller,BUF,74.7,63.2,0,6154,2,ED,296,0,2,0
2023,0,5,1,0,0,0,47.5,54.4,,70.5,5,4,0,Josh Norman,BUF,,70.1,0,7649,1,CB,4,0,0,1
2023,56,33,2,0,1,4,35.0,48.7,64.4,85.4,93,0,4,A.J. Klein,BUF,35.9,76.7,0,7930,93,LB,0,0,87,1
2023,574,319,16,0,460,19,66.2,50.2,60.4,62.6,912,15,199,Micah Hyde,BUF,69.8,88.5,0,7941,897,S,15,0,227,11
2023,664,395,18,0,334,44,67.2,65.7,54.1,79.3,1103,53,218,Jordan Poyer,BUF,69.5,49.8,0,8000,1050,S,53,0,487,10
2023,0,88,9,28,0,152,82.9,74.6,80.9,29.6,240,0,0,DaQuan Jones,BUF,60.0,57.6,29,8747,2,DI,238,181,2,0
2023,2,139,14,124,0,250,35.8,30.0,57.4,25.3,391,12,0,Jordan Phillips,BUF,59.3,21.2,23,9485,1,DI,390,231,1,0
