season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,total_position_snaps,snap_share,player_weighted_score
2023,REG,ARZ,13,00-0038559,WR,Michael Wilson,Michael,Wilson,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-12-01 19:24:54,injury_reports_2023.csv,3.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.16682299343427576
2023,REG,ARZ,15,00-0038559,WR,Michael Wilson,Michael,Wilson,Neck,,Questionable,Neck,,Limited Participation in Practice,2023-12-15 20:49:02,injury_reports_2023.csv,0.0,WR,ARI,Michael Wilson,ARZ,415,13,7463,0.05560766447809192,0.0
2023,REG,ARZ,1,00-0030061,TE,Zach Ertz,Zach,Ertz,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-08 18:50:02,injury_reports_2023.csv,0.0,TE,ARI,Zach Ertz,ARZ,186,7,883,0.21064552661381652,0.0
2023,REG,ARZ,6,00-0039041,TE,Elijah Higgins,Elijah,Higgins,Illness,,Questionable,Illness,,Limited Participation in Practice,2023-10-13 19:46:10,injury_reports_2023.csv,0.0,TE,ARI,Elijah Higgins,ARZ,91,11,883,0.10305775764439411,0.0
2023,REG,ARZ,10,00-0032141,TE,Geoff Swaim,Geoff,Swaim,Back,,Questionable,Back,,Limited Participation in Practice,2023-11-10 19:53:44,injury_reports_2023.csv,0.0,TE,ARI,Geoff Swaim,ARZ,100,14,883,0.11325028312570781,0.0
2023,REG,ARZ,15,00-0032141,TE,Geoff Swaim,Geoff,Swaim,Back,,Questionable,Back,,Limited Participation in Practice,2023-12-15 20:49:02,injury_reports_2023.csv,0.0,TE,ARI,Geoff Swaim,ARZ,100,14,883,0.11325028312570781,0.0
2023,REG,ARZ,13,00-0037744,TE,Trey McBride,Trey,McBride,Groin,,Questionable,Groin,,Limited Participation in Practice,2023-12-01 19:24:24,injury_reports_2023.csv,0.0,TE,ARI,Trey McBride,ARZ,406,17,883,0.45979614949037373,0.0
2023,REG,ATL,1,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-06 20:54:47,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,1591,0.23570081709616594,0.0
2023,REG,ATL,2,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-13 20:56:38,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,1591,0.23570081709616594,0.0
2023,REG,ATL,6,00-0033858,TE,Jonnu Smith,Jonnu,Smith,,,,Ankle,,Full Participation in Practice,2023-10-13 17:07:54,injury_reports_2023.csv,0.0,TE,ATL,Jonnu Smith,ATL,375,17,1591,0.23570081709616594,0.0
2023,REG,ATL,10,00-0036970,TE,Kyle Pitts,Kyle,Pitts,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-11-10 18:55:57,injury_reports_2023.csv,0.0,TE,ATL,Kyle Pitts,ATL,466,17,1591,0.2928975487115022,0.0
2023,REG,ATL,1,00-0034854,WR,KhaDarel Hodge,KhaDarel,Hodge,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-09-08 17:43:18,injury_reports_2023.csv,0.0,WR,ATL,KhaDarel Hodge,ATL,183,17,1797,0.1018363939899833,0.0
2023,REG,ATL,9,00-0037238,WR,Drake London,Drake,London,Groin,,Out,Groin,,Did Not Participate In Practice,2023-11-03 17:14:25,injury_reports_2023.csv,3.0,WR,ATL,Drake London,ATL,485,16,1797,0.26989426822481916,0.8096828046744575
2023,REG,ATL,10,00-0037238,WR,Drake London,Drake,London,,,,Groin,,Full Participation in Practice,2023-11-10 18:56:44,injury_reports_2023.csv,0.0,WR,ATL,Drake London,ATL,485,16,1797,0.26989426822481916,0.0
2023,REG,ATL,10,00-0033555,WR,Mack Hollins,Mack,Hollins,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-10 19:00:01,injury_reports_2023.csv,3.0,WR,ATL,Mack Hollins,ATL,161,13,1797,0.0895937673900946,0.2687813021702838
2023,REG,ATL,12,00-0033555,WR,Mack Hollins,Mack,Hollins,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-24 18:24:43,injury_reports_2023.csv,3.0,WR,ATL,Mack Hollins,ATL,161,13,1797,0.0895937673900946,0.2687813021702838
2023,REG,ATL,13,00-0033555,WR,Mack Hollins,Mack,Hollins,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-01 19:33:45,injury_reports_2023.csv,0.0,WR,ATL,Mack Hollins,ATL,161,13,1797,0.0895937673900946,0.0
2023,REG,ATL,14,00-0033555,WR,Mack Hollins,Mack,Hollins,Ankle,,Questionable,Ankle,,Full Participation in Practice,2023-12-08 19:05:10,injury_reports_2023.csv,0.0,WR,ATL,Mack Hollins,ATL,161,13,1797,0.0895937673900946,0.0
2023,REG,BLT,1,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-09-08 19:57:27,injury_reports_2023.csv,0.0,TE,BAL,Mark Andrews,BLT,290,11,935,0.31016042780748665,0.0
2023,REG,BLT,2,00-0034753,TE,Mark Andrews,Mark,Andrews,Quadricep,,Questionable,Quadricep,,Full Participation in Practice,2023-09-15 18:37:04,injury_reports_2023.csv,0.0,TE,BAL,Mark Andrews,BLT,290,11,935,0.31016042780748665,0.0
2023,REG,BLT,12,00-0034753,TE,Mark Andrews,Mark,Andrews,Ankle,,Out,Ankle,,Did Not Participate In Practice,2023-11-24 21:28:28,injury_reports_2023.csv,3.0,TE,BAL,Mark Andrews,BLT,290,11,935,0.31016042780748665,0.93048128342246
2023,REG,BLT,12,00-0038046,TE,Charlie Kolar,Charlie,Kolar,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-11-24 21:25:20,injury_reports_2023.csv,0.0,TE,BAL,Charlie Kolar,BLT,65,13,935,0.06951871657754011,0.0
2023,REG,CAR,1,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Ankle,,Full Participation in Practice,2023-09-08 16:58:43,injury_reports_2023.csv,0.0,WR,CAR,Ihmir Smith-Marsette,CAR,55,13,8195,0.006711409395973154,0.0
2023,REG,CAR,18,00-0036635,WR,Ihmir Smith-Marsette,Ihmir,Smith-Marsette,,,,Hip,,Full Participation in Practice,2024-01-05 17:24:40,injury_reports_2023.csv,0.0,WR,CAR,Ihmir Smith-Marsette,CAR,55,13,8195,0.006711409395973154,0.0
2023,REG,CAR,1,00-0030035,WR,Adam Thielen,Adam,Thielen,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-08 16:59:20,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
2023,REG,CAR,4,00-0030035,WR,Adam Thielen,Adam,Thielen,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-28 19:16:00,injury_reports_2023.csv,0.0,WR,CAR,Adam Thielen,CAR,637,17,8195,0.07773032336790726,0.0
