DEFENSE-RUN_2023_DEFENSE-RUN_2023_Rank,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Player,DEFENSE-RUN_2023_DEFENSE-RUN_2023_JerseyNumber,DEFENSE-RUN_2023_DEFENSE-RUN_2023_Position,DEFENSE-RUN_2023_DEFENSE-RUN_2023_GamesPlayed,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseSnaps,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseGrade,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAssists,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTackles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseMissedTacklePercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStops,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseStopPercentage,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseForcedFumbles,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefenseAverageDepthOfTackle,DEFENSE-RUN_2023_DEFENSE-RUN_2023_RunDefensePenalties
10.0,Jason Pierre-Paul,#54,ED,1.0,11.0,70.8,1.0,1.0,0.0,0.0,1.0,9.1,0.0,1.0,0 (0)
12.0,Pete Werner,#20,LB,16.0,374.0,70.4,35.0,18.0,6.0,10.2,23.0,6.4,0.0,2.7,3 (0)
13.0,Zack Baun,#53,ED,15.0,110.0,70.3,8.0,6.0,2.0,12.5,6.0,5.5,0.0,2.0,0 (0)
14.0,Paulson Adebo,#29,CB,15.0,377.0,66.4,17.0,8.0,3.0,10.7,8.0,2.2,0.0,10.1,9 (2)
15.0,Lonnie Johnson Jr.,#28,S,6.0,12.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1 (1)
16.0,Isaiah Foskey,#55,ED,9.0,34.0,62.3,5.0,2.0,0.0,0.0,3.0,9.4,0.0,5.4,0 (0)
16.0,Jordan Howden,#31,S,10.0,187.0,62.3,13.0,6.0,0.0,0.0,5.0,2.8,0.0,8.3,1 (0)
18.0,Tanoh Kpassagnon,#92,ED,17.0,139.0,61.6,12.0,3.0,2.0,11.8,10.0,7.5,0.0,3.3,0 (0)
19.0,Payton Turner,#98,ED,2.0,12.0,60.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
20.0,Lynn Bowden,#05,WR,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,J.T. Gray,#48,S,2.0,2.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,Ryan Connelly,#43,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,,0.0,,0 (0)
20.0,Ty Summers,#42,LB,1.0,1.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
20.0,Daniel Sorensen,#26,S,2.0,3.0,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0 (0)
25.0,Jack Heflin,#95,DI,1.0,10.0,59.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0 (0)
26.0,Marshon Lattimore,#23,CB,10.0,221.0,58.1,12.0,2.0,3.0,17.6,3.0,1.4,0.0,8.6,5 (1)
27.0,Marcus Maye,#06,S,7.0,184.0,57.2,15.0,5.0,4.0,16.7,4.0,2.2,0.0,8.0,2 (1)
28.0,Khalen Saunders,#99,DI,17.0,276.0,57.0,34.0,18.0,4.0,7.1,21.0,7.8,0.0,3.3,2 (2)
29.0,Kyle Phillips,#91,ED,5.0,29.0,47.6,1.0,2.0,0.0,0.0,1.0,3.7,0.0,1.0,0 (0)
30.0,Shemar Jean-Charles,#38,CB,1.0,4.0,40.7,0.0,0.0,1.0,100.0,0.0,0.0,0.0,,0 (0)
31.0,PJ Mustipher,#54,DI,4.0,24.0,40.1,3.0,1.0,0.0,0.0,1.0,4.5,0.0,5.7,0 (0)
32.0,Nathan Shepherd,#93,DI,17.0,303.0,30.3,31.0,12.0,5.0,10.4,24.0,8.2,0.0,2.7,2 (0)
33.0,Bryan Bresee,#90,DI,17.0,148.0,30.1,13.0,2.0,1.0,6.3,11.0,7.7,0.0,1.9,5 (0)
34.0,Alontae Taylor,#01,CB,17.0,351.0,29.7,12.0,9.0,7.0,25.0,5.0,1.5,0.0,3.3,5 (0)
,,,,,,,,,,,,,,,
