SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
27.0,Juwan Johnson,#83,TE,10.0,39.0,26.0,9.0,0.0,0.0,0.0,4.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
27.0,Cameron Jordan,#94,ED,7.0,11.0,0.0,0.0,3.0,0.0,8.0,0.0,61.6,-,-,-,0 (0),0.0,0.0,0.0
30.0,Rashid Shaheed,#22,WR,15.0,132.0,65.0,0.0,67.0,0.0,0.0,0.0,61.3,47.7,81.0,-,0 (0),0.0,0.0,0.0
30.0,Cory Littleton,#54,LB,1.0,15.0,4.0,5.0,2.0,4.0,0.0,0.0,61.3,-,-,-,0 (0),0.0,0.0,0.0
32.0,Jordan Howden,#31,S,15.0,160.0,23.0,77.0,39.0,9.0,12.0,0.0,61.0,-,-,-,0 (0),0.0,0.0,1.0
32.0,Blake Grupe,#19,K,17.0,168.0,0.0,91.0,0.0,0.0,0.0,77.0,61.0,89.2,-,60.8,0 (0),0.0,0.0,0.0
34.0,Payton Turner,#98,ED,2.0,6.0,0.0,0.0,1.0,0.0,5.0,0.0,60.8,-,-,-,0 (0),0.0,0.0,0.0
35.0,Kyle Phillips,#91,ED,4.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
36.0,Isaiah Foskey,#55,ED,10.0,144.0,9.0,28.0,43.0,31.0,33.0,0.0,60.4,-,-,-,0 (0),0.0,0.0,0.0
37.0,Cameron Erving,#77,T,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
37.0,Demario Davis,#56,LB,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
39.0,Carl Granderson,#96,ED,17.0,82.0,0.0,0.0,18.0,0.0,64.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
40.0,PJ Mustipher,#54,DI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
40.0,Khalen Saunders,#99,DI,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
40.0,Marcus Maye,#06,S,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
40.0,Marshon Lattimore,#23,CB,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
40.0,Jimmy Graham,#80,TE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
45.0,Paulson Adebo,#29,CB,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,59.9,-,-,-,0 (0),0.0,0.0,0.0
46.0,Keith Kirkwood,#18,WR,12.0,89.0,45.0,40.0,4.0,0.0,0.0,0.0,59.8,-,-,-,0 (0),1.0,0.0,0.0
47.0,Foster Moreau,#87,TE,15.0,149.0,26.0,0.0,0.0,53.0,0.0,70.0,59.6,61.2,-,-,0 (0),0.0,0.0,0.0
48.0,Pete Werner,#20,LB,5.0,13.0,2.0,0.0,3.0,8.0,0.0,0.0,59.5,-,-,-,0 (0),0.0,0.0,0.0
49.0,Tanoh Kpassagnon,#92,ED,16.0,66.0,0.0,0.0,2.0,0.0,64.0,0.0,59.2,-,-,-,0 (0),0.0,0.0,0.0
50.0,Kendre Miller,#25,HB,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,58.4,-,-,-,0 (0),0.0,0.0,0.0
51.0,Lynn Bowden,#05,WR,12.0,64.0,56.0,0.0,8.0,0.0,0.0,0.0,58.1,58.7,64.2,-,0 (0),0.0,0.0,0.0
51.0,Tony Jones Jr.,#34,HB,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,58.1,-,-,-,0 (0),0.0,0.0,0.0
53.0,Nathan Shepherd,#93,DI,17.0,68.0,0.0,0.0,3.0,0.0,65.0,0.0,58.0,-,-,-,0 (0),0.0,0.0,0.0
54.0,J.P. Holtz,#84,TE,1.0,8.0,5.0,0.0,0.0,3.0,0.0,0.0,57.7,-,-,-,0 (0),0.0,0.0,0.0
55.0,Andrus Peat,#75,T,16.0,67.0,0.0,0.0,0.0,0.0,0.0,67.0,56.4,-,-,-,1 (0),0.0,0.0,0.0
56.0,Max Garcia,#73,G,17.0,77.0,0.0,0.0,0.0,0.0,0.0,77.0,54.5,-,-,-,1 (0),0.0,0.0,0.0
57.0,Alontae Taylor,#01,CB,13.0,67.0,0.0,26.0,37.0,0.0,4.0,0.0,53.9,-,-,-,1 (0),0.0,0.0,0.0
58.0,Ugo Amadi,#00,CB,17.0,132.0,30.0,90.0,10.0,1.0,1.0,0.0,52.0,-,-,-,1 (1),1.0,0.0,0.0
59.0,Bryan Bresee,#90,DI,16.0,65.0,0.0,0.0,1.0,0.0,64.0,0.0,49.3,-,-,-,1 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,
