Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Brian Branch,#32,CB,18.0,605.0,51.0,8.4,64.2,8 (0),10.0,2.0,2.0,6.0,12.2,4.1,1.0,342.0,25.0,7.3,53.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0
Romeo Okwara,#95,ED,19.0,220.0,197.0,89.5,63.8,0 (0),17.0,2.0,3.0,12.0,5.2,9.3,1.0,105.0,96.0,91.4,69.9,11.0,2.0,1.0,8.0,7.5,12.6,0.0
Julian Okwara,#99,ED,9.0,101.0,82.0,81.2,62.5,1 (1),9.0,2.0,2.0,5.0,7.2,11.8,1.0,72.0,63.0,87.5,60.2,8.0,2.0,1.0,5.0,8.6,12.1,0.0
Cameron Sutton,#01,CB,20.0,834.0,8.0,1.0,61.5,5 (0),1.0,0.0,0.0,1.0,6.3,0.0,0.0,434.0,2.0,0.5,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalil Dorsey,#30,CB,4.0,51.0,1.0,2.0,60.0,1 (1),1.0,0.0,0.0,1.0,50.0,0.0,0.0,27.0,1.0,3.7,60.0,1.0,0.0,0.0,1.0,50.0,0.0,0.0
Isaiah Buggs,#96,DI,10.0,145.0,144.0,99.3,59.5,0 (0),5.0,1.0,0.0,4.0,2.3,4.5,2.0,58.0,58.0,100.0,49.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Bruce Irvin,#51,ED,3.0,39.0,34.0,87.2,59.4,1 (0),5.0,1.0,2.0,2.0,9.1,9.1,0.0,29.0,25.0,86.2,62.7,5.0,1.0,2.0,2.0,12.5,12.5,0.0
James Houston,#41,ED,3.0,33.0,24.0,72.7,57.8,1 (1),2.0,0.0,1.0,1.0,4.3,13.0,0.0,24.0,20.0,83.3,58.6,2.0,0.0,1.0,1.0,5.3,15.8,0.0
Benito Jones,#94,DI,20.0,331.0,327.0,98.8,56.4,1 (0),22.0,1.0,4.0,17.0,3.8,5.9,0.0,129.0,129.0,100.0,55.7,11.0,0.0,3.0,8.0,4.7,8.5,0.0
Derrick Barnes,#55,LB,19.0,498.0,124.0,24.9,55.9,0 (0),20.0,1.0,4.0,15.0,8.9,11.9,0.0,249.0,80.0,32.1,58.2,15.0,1.0,2.0,12.0,10.7,14.7,0.0
Malcolm Rodriguez,#44,LB,13.0,100.0,19.0,19.0,55.0,0 (0),2.0,0.0,0.0,2.0,5.3,10.5,0.0,57.0,14.0,24.6,51.9,1.0,0.0,0.0,1.0,3.6,7.1,0.0
Charles Harris,#53,ED,13.0,223.0,199.0,89.2,53.7,2 (0),24.0,2.0,2.0,20.0,7.1,8.7,0.0,146.0,137.0,93.8,53.7,20.0,1.0,1.0,18.0,8.3,11.0,0.0
Brodric Martin,#98,DI,3.0,13.0,13.0,100.0,53.4,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Cominsky,#79,DI,19.0,440.0,434.0,98.6,52.3,0 (0),33.0,2.0,9.0,22.0,4.3,7.8,2.0,236.0,233.0,98.7,58.4,28.0,2.0,9.0,17.0,6.9,11.9,2.0
Josh Paschal,#93,ED,15.0,337.0,331.0,98.2,52.3,0 (0),19.0,1.0,2.0,16.0,3.3,5.9,0.0,183.0,179.0,97.8,56.8,15.0,1.0,1.0,13.0,4.9,8.5,0.0
Tyson Alualu,#92,DI,5.0,86.0,86.0,100.0,52.3,0 (0),3.0,1.0,1.0,1.0,2.4,1.2,0.0,29.0,29.0,100.0,55.0,2.0,0.0,1.0,1.0,3.6,3.6,0.0
Quinton Bohanna,#90,DI,3.0,21.0,21.0,100.0,51.2,1 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,53.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Gardner-Johnson,#02,S,6.0,207.0,10.0,4.8,50.7,3 (0),2.0,0.0,0.0,2.0,10.0,0.0,0.0,106.0,4.0,3.8,53.4,1.0,0.0,0.0,1.0,12.5,0.0,0.0
Jack Campbell,#46,LB,20.0,438.0,97.0,22.1,50.6,2 (0),10.0,2.0,1.0,7.0,6.7,2.2,0.0,201.0,67.0,33.3,44.8,7.0,1.0,0.0,6.0,6.3,3.2,0.0
Will Harris,#25,CB,11.0,134.0,8.0,6.0,46.4,2 (0),3.0,0.0,1.0,2.0,21.4,0.0,0.0,73.0,6.0,8.2,47.9,3.0,0.0,1.0,2.0,30.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
