Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Jonah Jackson,#73,G,14.0,881,881,100.0,401.0,480.0,61.0,60.3,60.7,456.0,100.0,2.0,8.0,17.0,27.0,96.8,5 (2),0,881.0,0,0.0,0,0.0
Sam LaPorta,#87,TE,20.0,"1,153",526,45.6,463.0,63.0,77.0,53.9,59.9,59.0,9.0,0.0,1.0,2.0,3.0,97.5,1 (0),0,0.0,0,0.0,1,703.0
Dan Skipper,#70,G,14.0,112,101,90.2,63.0,38.0,60.0,67.5,58.3,34.0,77.3,1.0,1.0,1.0,3.0,94.1,1 (0),0,25.0,0,0.0,27,54.0
Graham Glasgow,#60,G,19.0,"1,262","1,262",100.0,527.0,735.0,74.9,82.1,54.8,702.0,100.0,3.0,8.0,35.0,46.0,96.5,5 (0),0,75.0,189,998.0,0,0.0
Darrell Daniels,#86,FB,3.0,22,19,86.4,17.0,2.0,69.9,73.7,46.4,2.0,40.0,0.0,0.0,0.0,0.0,100.0,0 (0),0,0.0,0,0.0,0,6.0
Kayode Awosika,#74,G,7.0,370,370,100.0,138.0,232.0,55.7,60.5,46.0,224.0,100.0,1.0,5.0,21.0,27.0,93.7,2 (1),0,304.0,0,66.0,0,0.0
Amon-Ra St. Brown,#14,WR,19.0,"1,198",472,39.4,468.0,4.0,91.2,70.1,39.2,4.0,0.6,0.0,0.0,0.0,0.0,100.0,1 (0),0,0.0,0,0.0,0,0.0
Colby Sorsdal,#75,G,5.0,253,253,100.0,121.0,132.0,41.8,46.9,35.1,124.0,100.0,1.0,4.0,9.0,14.0,94.0,2 (1),0,94.0,0,123.0,36,0.0
David Montgomery,#05,HB,17.0,555,76,13.7,12.0,64.0,79.6,60.0,29.7,58.0,21.7,2.0,0.0,7.0,9.0,90.5,2 (0),0,0.0,0,0.0,0,0.0
Kalif Raymond,#11,WR,17.0,348,96,27.6,95.0,1.0,75.4,59.0,28.2,1.0,0.4,0.0,0.0,0.0,0.0,100.0,2 (0),0,0.0,0,0.0,0,2.0
Jason Cabinda,#45,FB,7.0,57,42,73.7,36.0,6.0,43.2,51.3,26.9,6.0,30.0,0.0,1.0,0.0,1.0,91.7,0 (0),0,0.0,0,0.0,0,3.0
Jahmyr Gibbs,#26,HB,18.0,681,73,10.7,29.0,44.0,76.3,57.0,26.8,44.0,10.7,0.0,1.0,9.0,10.0,88.6,0 (0),0,0.0,0,0.0,0,0.0
Craig Reynolds,#13,HB,19.0,150,41,27.3,28.0,13.0,76.5,51.6,24.0,13.0,16.9,1.0,0.0,4.0,5.0,76.9,0 (0),0,0.0,0,0.0,0,0.0
Teddy Bridgewater,#10,QB,1.0,3,1,33.3,1.0,0.0,60.6,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Scott Daly,#47,LS,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Chase Lucas,#27,CB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Khalil Dorsey,#30,CB,3.0,3,2,66.7,2.0,0.0,76.0,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Devine Ozigbo,#33,HB,2.0,8,3,37.5,3.0,0.0,66.5,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Dylan Drummond,#83,WR,1.0,5,4,80.0,4.0,0.0,59.1,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Antoine Green,#80,WR,12.0,116,57,49.1,57.0,0.0,53.5,82.6,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0.0,0,0.0,0,0.0
Jared Goff,#16,QB,20.0,"1,376",547,39.8,547.0,0.0,85.7,60.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,10 (0),0,0.0,0,0.0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
