season,player,pfr_id,tm,age,pos,g,gs,att,yds,td,x1d,ybc,ybc_att,yac,yac_att,brk_tkl,att_br,loaded
2024,Deuce Vaughn,VaugDe00,DAL,23.0,RB,4.0,0.0,7.0,20.0,0.0,,9.0,1.3,11.0,1.6,0.0,,2024-10-31
2024,Jameis Winston,WinsJa00,CLE,30.0,QB,6.0,1.0,7.0,4.0,0.0,5.0,3.0,0.4,1.0,0.1,0.0,,2024-10-31
2024,Xavier Worthy,WortXa00,KC,21.0,WR,7.0,5.0,7.0,47.0,2.0,2.0,36.0,5.1,11.0,1.6,0.0,,2024-10-31
2024,Tyson Bagent,BageTy00,CHI,24.0,QB,2.0,0.0,6.0,-7.0,0.0,,-7.0,-1.2,0.0,0.0,0.0,,2024-10-31
2024,Dalvin Cook,CookDa01,DAL,29.0,RB,1.0,0.0,6.0,12.0,0.0,0.0,7.0,1.2,5.0,0.8,0.0,,2024-10-31
2024,Tank Dell,DellNa00,HOU,25.0,WR,7.0,4.0,6.0,30.0,0.0,2.0,26.0,4.3,4.0,0.7,0.0,,2024-10-31
2024,Joe Flacco,FlacJo00,IND,39.0,QB,4.0,2.0,6.0,26.0,0.0,2.0,24.0,4.0,2.0,0.3,0.0,,2024-10-31
2024,Zay Flowers,FlowZa00,BAL,24.0,WR,8.0,6.0,6.0,47.0,0.0,1.0,20.0,3.3,27.0,4.5,1.0,6.0,2024-10-31
2024,MarShawn Lloyd,LloyMa00,GB,23.0,RB,1.0,0.0,6.0,15.0,0.0,,12.0,2.0,3.0,0.5,0.0,,2024-10-31
2024,Rashid Shaheed,ShahRa00,NO,26.0,WR,6.0,5.0,6.0,29.0,0.0,2.0,21.0,3.5,8.0,1.3,0.0,,2024-10-31
2024,Aaron Shampklin,ShamAa00,PIT,25.0,RB,3.0,0.0,6.0,17.0,0.0,1.0,8.0,1.3,9.0,1.5,0.0,,2024-10-31
2024,Matthew Stafford,StafMa00,LA,36.0,QB,7.0,7.0,6.0,-7.0,0.0,0.0,-7.0,-1.2,0.0,0.0,0.0,,2024-10-31
2024,Tua Tagovailoa,TagoTu00,MIA,26.0,QB,3.0,3.0,6.0,41.0,0.0,4.0,41.0,6.8,0.0,0.0,0.0,,2024-10-31
2024,Mitchell Trubisky,TrubMi00,BUF,30.0,QB,5.0,0.0,6.0,-6.0,0.0,,-6.0,-1.0,0.0,0.0,0.0,,2024-10-31
2024,Russell Wilson,WilsRu00,PIT,36.0,QB,2.0,2.0,6.0,10.0,1.0,2.0,7.0,1.2,3.0,0.5,0.0,,2024-10-31
2024,Derius Davis,DaviDe02,LAC,24.0,WR,5.0,1.0,5.0,31.0,0.0,2.0,21.0,4.2,10.0,2.0,0.0,,2024-10-31
2024,Tyreek Hill,HillTy00,MIA,30.0,WR,7.0,7.0,5.0,36.0,0.0,2.0,34.0,6.8,2.0,0.4,0.0,,2024-10-31
2024,Terrell Jennings,JennTe00,NE,23.0,RB,1.0,0.0,5.0,13.0,0.0,,6.0,1.2,7.0,1.4,0.0,,2024-10-31
2024,Hunter Luepke,LuepHu00,DAL,24.0,RB,7.0,2.0,5.0,14.0,0.0,3.0,6.0,1.2,8.0,1.6,0.0,,2024-10-31
2024,Jase McClellan,McClJa05,ATL,22.0,RB,1.0,0.0,5.0,17.0,0.0,1.0,7.0,1.4,10.0,2.0,0.0,,2024-10-31
2024,Bo Melton,MeltBo00,GB,25.0,WR,8.0,0.0,5.0,34.0,0.0,3.0,23.0,4.6,11.0,2.2,1.0,5.0,2024-10-31
2024,Jordan Mims,MimsJo00,NO,25.0,RB,6.0,0.0,5.0,16.0,0.0,0.0,12.0,2.4,4.0,0.8,0.0,,2024-10-31
2024,Tre Tucker,TuckTr00,LV,23.0,WR,8.0,7.0,5.0,29.0,1.0,2.0,23.0,4.6,6.0,1.2,0.0,,2024-10-31
2024,DJ Turner,TurnDJ00,LV,27.0,WR,8.0,4.0,5.0,33.0,1.0,1.0,10.0,2.0,23.0,4.6,2.0,2.5,2024-10-31
2024,KaVontae Turpin,TurpKa00,DAL,28.0,WR,7.0,1.0,5.0,14.0,0.0,1.0,9.0,1.8,5.0,1.0,0.0,,2024-10-31
2024,Jonathan Ward,WardJo00,PIT,27.0,RB,4.0,0.0,5.0,22.0,0.0,1.0,12.0,2.4,10.0,2.0,1.0,5.0,2024-10-31
2024,Mike Boone,BoonMi00,CAR,29.0,RB,2.0,0.0,4.0,7.0,0.0,,2.0,0.5,5.0,1.3,1.0,4.0,2024-10-31
2024,Isaiah Davis,DaviIs00,NYJ,22.0,RB,8.0,0.0,4.0,18.0,0.0,2.0,9.0,2.3,9.0,2.3,0.0,,2024-10-31
2024,Xavier Legette,LegeXa00,CAR,23.0,WR,8.0,5.0,4.0,16.0,0.0,1.0,10.0,2.5,6.0,1.5,1.0,4.0,2024-10-31
2024,Ray-Ray McCloud,McClRa00,ATL,28.0,WR,8.0,7.0,4.0,43.0,0.0,2.0,25.0,6.3,18.0,4.5,0.0,,2024-10-31
