Player,JerseyNumber,Position,GamesPlayed,SpecialTeamsTotalSnaps,SpecialTeamsKickReturnSnaps,SpecialTeamsKickCoverageSnaps,SpecialTeamsPuntReturnSnaps,SpecialTeamsPuntCoverageSnaps,SpecialTeamsFieldGoalBlockSnaps,SpecialTeamsFieldGoalKickSnaps,SpecialTeamsOverallGrade,SpecialTeamsKickoffGrade,SpecialTeamsPuntGrade,SpecialTeamsFieldGoalGrade,SpecialTeamsPenalties,SpecialTeamsTackles,SpecialTeamsAssists,SpecialTeamsMissedTackles
DJ Turner,#19,WR,10.0,173.0,42.0,49.0,35.0,47.0,0.0,0.0,91.9,-,-,-,1 (0),7.0,3.0,4.0
Isaac Rochell,#96,ED,7.0,33.0,0.0,0.0,2.0,0.0,31.0,0.0,89.9,-,-,-,0 (0),0.0,0.0,0.0
Jakob Johnson,#45,FB,13.0,139.0,60.0,8.0,16.0,55.0,0.0,0.0,79.4,-,-,-,0 (0),4.0,1.0,0.0
Michael Mayer,#87,TE,13.0,63.0,8.0,0.0,0.0,2.0,0.0,53.0,75.0,-,-,-,0 (0),0.0,1.0,0.0
Amik Robertson,#21,CB,17.0,69.0,0.0,2.0,17.0,0.0,50.0,0.0,73.5,-,-,-,0 (0),0.0,0.0,0.0
Kana'i Mauga,#43,LB,5.0,55.0,19.0,18.0,16.0,0.0,2.0,0.0,71.7,-,-,-,0 (0),1.0,0.0,0.0
Jacob Bobenmoyer,#50,LS,17.0,140.0,0.0,0.0,0.0,76.0,0.0,64.0,70.7,-,-,-,0 (0),2.0,1.0,1.0
Divine Deablo,#05,LB,9.0,30.0,10.0,0.0,0.0,20.0,0.0,0.0,67.1,-,-,-,0 (0),1.0,0.0,0.0
Roderic Teamer,#33,S,6.0,105.0,27.0,20.0,20.0,16.0,22.0,0.0,67.0,-,-,-,0 (0),1.0,0.0,0.0
Jesper Horsted,#80,TE,13.0,215.0,64.0,60.0,39.0,52.0,0.0,0.0,64.6,-,-,-,0 (0),2.0,0.0,0.0
