Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Luke Musgrave,#88,TE,13.0,502,193,38.4,168.0,25.0,68.1,59.3,45.7,23.0,7.3,0.0,1.0,1.0,2.0,95.7,1 (0),0.0,0,0,0,0,322.0
Sean Rhyan,#75,G,11.0,229,229,100.0,101.0,128.0,49.3,50.8,42.5,122.0,100.0,0.0,0.0,8.0,8.0,96.7,1 (0),0.0,16,0,213,0,0.0
Josiah Deguara,#81,TE,17.0,212,132,62.3,117.0,15.0,51.7,55.4,29.1,13.0,14.6,0.0,1.0,0.0,1.0,96.2,2 (1),0.0,0,0,0,0,74.0
Malik Heath,#18,WR,13.0,260,140,53.8,139.0,1.0,60.1,61.8,28.9,1.0,0.8,0.0,1.0,0.0,1.0,50.0,0 (0),0.0,0,0,0,0,7.0
Kenyan Drake,#32,HB,1.0,5,2,40.0,0.0,2.0,43.2,-,15.8,2.0,66.7,1.0,0.0,0.0,1.0,50.0,0 (0),0.0,0,0,0,0,0.0
James Robinson,#32,HB,1.0,4,1,25.0,1.0,0.0,59.1,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0,1.0
Emanuel Wilson,#31,HB,9.0,56,5,8.9,5.0,0.0,80.0,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0,0.0
Sean Clifford,#08,QB,3.0,16,12,75.0,12.0,0.0,56.8,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0,0.0
Samori Toure,#83,WR,11.0,139,50,36.0,50.0,0.0,60.6,64.6,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0,0,0,0,5.0
Bo Melton,#80,WR,7.0,178,79,44.4,79.0,0.0,83.4,60.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0.0,0,0,0,0,2.0
Dontayvion Wicks,#13,WR,17.0,516,187,36.2,187.0,0.0,77.8,66.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (0),0.0,0,0,0,0,15.0
Romeo Doubs,#87,WR,19.0,938,351,37.4,351.0,0.0,73.6,55.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0.0,0,0,0,0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,
