Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,CoverageSnaps,CoverageSnapsPercentage,CoverageGrade,CoveragePenalties,CoverageTargets,CoverageReceptionsAllowed,CoverageReceptionPercentage,CoverageYardsAllowed,CoverageYardsPerReceptionAllowed,CoverageYardsAfterCatchAllowed,CoverageAverageDepthOfTarget,CoverageLongestReceptionAllowed,CoverageForcedIncompletions,CoverageForcedIncompletionPercentage,CoveragePassBreakups,CoverageInterceptions,CoverageDrops,CoverageTouchdownsAllowed,CoveragePasserRatingAllowed,CoverageSnapsPerTarget,CoverageSnapsPerReceptionAllowed,CoverageTackles,CoverageAssists,CoverageMissedTackles,CoverageMissedTacklePercentage,CoverageStops
De'Vondre Campbell,#59,LB,13.0,413.0,387.0,93.7,59.9,1 (0),44.0,35.0,79.5,423.0,12.1,239.0,5.4,52.0,2.0,5.0,2.0,0.0,0.0,3.0,129.5,8.3,10.4,35.0,8.0,5.0,10.4,12.0
Jonathan Owens,#34,S,17.0,585.0,580.0,99.1,59.6,4 (0),38.0,26.0,68.4,269.0,10.3,125.0,6.2,32.0,4.0,11.0,3.0,0.0,0.0,4.0,123.7,14.3,21.0,35.0,7.0,5.0,10.6,7.0
Devonte Wyatt,#95,DI,19.0,372.0,2.0,0.5,59.5,4 (1),1.0,0.0,0.0,0.0,,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,2.0,,1.0,0.0,6.0,85.7,5.0
Carrington Valentine,#37,CB,17.0,538.0,537.0,99.8,59.1,3 (1),72.0,40.0,55.6,470.0,11.8,112.0,11.4,33.0,6.0,8.0,5.0,0.0,2.0,1.0,80.2,7.0,12.6,38.0,4.0,3.0,6.7,6.0
Isaiah McDuffie,#58,LB,15.0,327.0,298.0,91.1,55.5,2 (0),33.0,26.0,78.8,238.0,9.2,142.0,3.6,30.0,1.0,3.0,1.0,0.0,0.0,0.0,96.7,8.5,10.8,30.0,2.0,3.0,8.6,4.0
Preston Smith,#91,ED,19.0,542.0,50.0,9.2,54.8,2 (1),10.0,6.0,60.0,71.0,11.8,54.0,3.5,21.0,2.0,20.0,2.0,0.0,0.0,0.0,81.7,4.9,8.2,8.0,1.0,7.0,43.8,15.0
Quay Walker,#07,LB,16.0,596.0,520.0,87.2,54.7,2 (0),68.0,55.0,80.9,571.0,10.4,393.0,4.7,51.0,4.0,6.0,3.0,1.0,2.0,2.0,105.3,7.2,8.9,44.0,16.0,5.0,7.7,17.0
Anthony Johnson Jr.,#36,S,13.0,236.0,236.0,100.0,53.9,1 (0),7.0,5.0,71.4,60.0,12.0,31.0,11.3,27.0,1.0,14.0,1.0,1.0,0.0,0.0,57.7,32.0,44.8,15.0,3.0,5.0,21.7,2.0
Innis Gaines,#38,CB,2.0,6.0,6.0,100.0,53.5,1 (1),2.0,0.0,0.0,0.0,,0.0,-2.5,,0.0,0.0,0.0,0.0,0.0,0.0,39.6,3.0,,1.0,0.0,0.0,0.0,1.0
Eric Wilson,#45,LB,9.0,105.0,94.0,89.5,47.5,0 (0),15.0,15.0,100.0,146.0,9.7,75.0,5.1,21.0,0.0,0.0,0.0,0.0,0.0,1.0,129.4,6.2,6.2,10.0,5.0,2.0,11.8,2.0
Kingsley Enagbare,#55,ED,18.0,264.0,23.0,8.7,47.1,2 (0),3.0,3.0,100.0,29.0,9.7,27.0,0.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,106.9,6.3,6.3,1.0,1.0,1.0,33.3,3.0
Eric Stokes,#21,CB,2.0,69.0,69.0,100.0,45.9,0 (0),10.0,8.0,80.0,112.0,14.0,32.0,14.9,25.0,1.0,10.0,0.0,0.0,0.0,3.0,152.9,6.6,8.3,3.0,0.0,0.0,0.0,0.0
Zayne Anderson,#39,S,1.0,11.0,11.0,100.0,31.8,0 (0),1.0,1.0,100.0,47.0,47.0,8.0,39.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,11.0,11.0,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
