SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
12.0,AJ Cole,#06,P,17.0,140.0,0.0,0.0,0.0,76.0,0.0,64.0,63.4,-,83.6,-,3 (0),0.0,0.0,0.0
13.0,Jermaine Eluemunor,#72,T,14.0,51.0,0.0,0.0,0.0,0.0,0.0,51.0,63.2,-,-,-,0 (0),0.0,0.0,0.0
14.0,Greg Van Roten,#70,G,16.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,63.1,-,-,-,0 (0),0.0,0.0,0.0
15.0,Jordan Meredith,#61,G,16.0,64.0,0.0,0.0,0.0,0.0,0.0,64.0,62.9,-,-,-,0 (0),0.0,0.0,0.0
16.0,Jakorian Bennett,#00,CB,7.0,26.0,0.0,0.0,26.0,0.0,0.0,0.0,62.6,-,-,-,0 (0),0.0,0.0,0.0
17.0,Adam Butler,#69,DI,16.0,74.0,0.0,0.0,1.0,0.0,9.0,64.0,62.5,-,-,-,0 (0),0.0,0.0,0.0
18.0,Zamir White,#35,HB,13.0,116.0,31.0,24.0,17.0,44.0,0.0,0.0,62.4,-,-,-,0 (0),1.0,0.0,0.0
19.0,DeAndre Carter,#03,WR,17.0,162.0,80.0,6.0,66.0,10.0,0.0,0.0,62.2,52.4,61.9,-,0 (0),0.0,0.0,0.0
20.0,Tyree Wilson,#09,ED,15.0,62.0,0.0,2.0,10.0,0.0,50.0,0.0,62.0,-,-,-,0 (0),0.0,0.0,0.0
21.0,Thayer Munford Jr.,#77,T,14.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,61.8,-,-,-,0 (0),0.0,0.0,0.0
22.0,Kolton Miller,#74,T,13.0,47.0,0.0,0.0,0.0,0.0,0.0,47.0,61.7,-,-,-,0 (0),0.0,0.0,0.0
23.0,Brandon Parker,#75,T,5.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,61.3,-,-,-,0 (0),0.0,0.0,0.0
24.0,Netane Muti,#54,G,2.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,61.2,-,-,-,0 (0),0.0,0.0,0.0
25.0,Curtis Bolton,#36,LB,13.0,252.0,54.0,57.0,47.0,59.0,35.0,0.0,61.0,-,60.3,-,2 (0),5.0,0.0,0.0
25.0,Hroniss Grasu,#65,C,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,61.0,-,-,-,0 (0),0.0,0.0,0.0
27.0,Daniel Carlson,#02,K,17.0,142.0,0.0,78.0,0.0,0.0,0.0,64.0,60.9,75.3,-,73.0,0 (0),1.0,0.0,0.0
28.0,Matthew Butler,#94,DI,2.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,60.6,-,-,-,0 (0),0.0,0.0,0.0
29.0,Justin Herron,#71,T,3.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,60.5,-,-,-,0 (0),0.0,0.0,0.0
30.0,David Long Jr.,#23,CB,5.0,16.0,0.0,1.0,14.0,0.0,1.0,0.0,60.3,-,-,-,0 (0),0.0,0.0,0.0
31.0,Marcus Epps,#01,S,3.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,60.2,-,-,-,0 (0),0.0,0.0,0.0
32.0,Byron Young,#93,DI,3.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
32.0,Nesta Jade Silvera,#99,DI,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,60.1,-,-,-,0 (0),0.0,0.0,0.0
34.0,Troy Pride Jr.,#27,CB,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,-,-,-,0 (0),0.0,0.0,0.0
35.0,Brandon Facyson,#31,CB,2.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,59.9,-,-,-,0 (0),0.0,0.0,0.0
36.0,Maxx Crosby,#98,ED,4.0,17.0,0.0,0.0,1.0,0.0,16.0,0.0,59.8,-,-,-,0 (0),0.0,0.0,0.0
37.0,Brandon Bolden,#34,HB,17.0,354.0,80.0,77.0,65.0,76.0,56.0,0.0,59.7,-,-,-,2 (2),3.0,0.0,2.0
38.0,Robert Spillane,#41,LB,8.0,32.0,30.0,0.0,2.0,0.0,0.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
38.0,John Jenkins,#95,DI,16.0,74.0,0.0,0.0,7.0,0.0,67.0,0.0,59.4,-,-,-,0 (0),0.0,0.0,0.0
40.0,Hunter Renfrow,#13,WR,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.3,61.2,-,-,0 (0),0.0,0.0,0.0
41.0,Jakobi Meyers,#16,WR,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,59.2,-,-,-,0 (0),0.0,0.0,0.0
42.0,Tre'von Moehrig,#25,S,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,58.8,-,-,-,0 (0),0.0,0.0,0.0
42.0,Davante Adams,#17,WR,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,58.8,-,-,-,0 (0),0.0,0.0,0.0
44.0,Malcolm Koonce,#51,ED,17.0,267.0,54.0,34.0,47.0,76.0,56.0,0.0,58.6,-,-,-,0 (0),3.0,0.0,1.0
44.0,Jerry Tillery,#90,DI,16.0,67.0,0.0,0.0,2.0,0.0,65.0,0.0,58.6,-,-,-,0 (0),0.0,0.0,0.0
46.0,Malik Reed,#52,ED,4.0,26.0,6.0,0.0,2.0,5.0,13.0,0.0,58.4,-,-,-,0 (0),0.0,0.0,0.0
47.0,Bilal Nichols,#91,DI,16.0,72.0,0.0,0.0,9.0,0.0,63.0,0.0,58.1,-,-,-,0 (0),0.0,0.0,0.0
48.0,Luke Masterson,#59,LB,16.0,332.0,71.0,68.0,62.0,68.0,63.0,0.0,57.0,-,-,-,1 (0),4.0,0.0,2.0
49.0,Cole Fotheringham,#85,TE,2.0,11.0,3.0,2.0,0.0,6.0,0.0,0.0,54.4,-,-,-,0 (0),0.0,0.0,0.0
50.0,Nate Hobbs,#39,CB,4.0,26.0,0.0,10.0,0.0,0.0,16.0,0.0,50.0,-,-,-,0 (0),0.0,0.0,1.0
51.0,Chris Smith II,#29,S,12.0,191.0,53.0,57.0,42.0,5.0,34.0,0.0,48.2,-,-,-,0 (0),1.0,0.0,1.0
51.0,Isaiah Pola-Mao,#20,S,16.0,304.0,75.0,74.0,57.0,66.0,32.0,0.0,48.2,-,-,-,0 (0),2.0,0.0,4.0
53.0,Janarius Robinson,#97,ED,6.0,33.0,0.0,1.0,15.0,0.0,17.0,0.0,47.4,-,-,-,1 (1),0.0,0.0,0.0
54.0,Tre Tucker,#11,WR,14.0,61.0,0.0,55.0,2.0,4.0,0.0,0.0,46.3,-,-,-,0 (0),1.0,1.0,2.0
55.0,Ameer Abdullah,#22,HB,17.0,256.0,80.0,78.0,26.0,72.0,0.0,0.0,44.9,57.8,-,-,1 (0),10.0,2.0,3.0
56.0,Tyler Hall,#37,CB,11.0,82.0,0.0,33.0,45.0,1.0,3.0,0.0,43.2,-,-,-,0 (0),0.0,0.0,1.0
57.0,Amari Burney,#56,LB,7.0,76.0,24.0,40.0,12.0,0.0,0.0,0.0,41.7,-,-,-,0 (0),1.0,0.0,0.0
58.0,Jack Jones,#18,CB,2.0,10.0,0.0,0.0,4.0,0.0,6.0,0.0,40.5,-,-,-,1 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,
