SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Rank,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Player,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_JerseyNumber,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_Position,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_GamesPlayed,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTotalSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntReturnSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntCoverageSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalBlockSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalKickSnaps,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsOverallGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsKickoffGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPuntGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsFieldGoalGrade,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsPenalties,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsTackles,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsAssists,SPECIAL-TEAMS_2023_SPECIAL-TEAMS_2023_SpecialTeamsMissedTackles
56.0,Ambry Thomas,#20,CB,18.0,130.0,15.0,32.0,31.0,13.0,39.0,0.0,58.4,-,-,-,1 (0),1.0,0.0,1.0
57.0,Darrell Luter Jr.,#28,CB,10.0,153.0,40.0,59.0,26.0,24.0,4.0,0.0,58.2,-,58.4,-,0 (0),3.0,0.0,2.0
57.0,Javon Kinlaw,#99,DI,20.0,72.0,0.0,0.0,3.0,0.0,69.0,0.0,58.2,-,-,-,0 (0),0.0,0.0,0.0
59.0,Kyle Juszczyk,#44,FB,11.0,49.0,46.0,0.0,0.0,3.0,0.0,0.0,57.7,59.9,-,-,0 (0),0.0,0.0,0.0
60.0,Kevin Givens,#90,DI,20.0,74.0,0.0,0.0,3.0,0.0,71.0,0.0,57.6,-,-,-,0 (0),0.0,0.0,0.0
61.0,Mitch Wishnowsky,#18,P,20.0,173.0,0.0,7.0,0.0,62.0,0.0,104.0,57.4,61.4,71.2,-,1 (0),0.0,0.0,1.0
62.0,Ross Dwelley,#82,TE,12.0,206.0,49.0,26.0,30.0,38.0,0.0,63.0,57.2,-,-,-,0 (0),0.0,1.0,0.0
63.0,Demetrius Flannigan-Fowles,#45,LB,19.0,351.0,82.0,100.0,45.0,56.0,68.0,0.0,56.5,-,-,-,1 (0),3.0,1.0,1.0
63.0,Matt Pryor,#75,T,15.0,79.0,0.0,0.0,0.0,0.0,0.0,79.0,56.5,-,-,-,1 (0),0.0,0.0,0.0
65.0,Ben Bartch,#78,G,8.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,55.4,-,-,-,0 (0),0.0,0.0,0.0
66.0,Ji'Ayir Brown,#27,S,17.0,176.0,43.0,56.0,34.0,18.0,25.0,0.0,53.5,-,-,-,0 (0),1.0,0.0,5.0
67.0,Randy Gregory,#05,ED,15.0,60.0,0.0,0.0,1.0,0.0,59.0,0.0,48.2,-,-,-,1 (1),0.0,0.0,0.0
68.0,Jeremy McNichols,#36,HB,3.0,20.0,4.0,7.0,5.0,4.0,0.0,0.0,42.6,-,-,-,1 (0),0.0,1.0,0.0
69.0,Tre Swilling,#35,CB,2.0,33.0,9.0,10.0,8.0,6.0,0.0,0.0,32.4,-,-,-,2 (0),0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,
