Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Charlie Woerner,#89,TE,20.0,349,241,69.1,223.0,18.0,63.5,77.3,38.4,16.0,13.6,0.0,1.0,3.0,4.0,87.5,1 (0),0,0,0,0.0,0,286.0
Christian McCaffrey,#23,HB,19.0,"1,006",118,11.7,62.0,56.0,90.3,30.2,28.4,52.0,9.1,0.0,0.0,7.0,7.0,93.3,2 (1),0,0,0,0.0,0,20.0
Spencer Burford,#74,G,16.0,900,900,100.0,410.0,490.0,50.3,62.9,26.7,457.0,100.0,5.0,4.0,28.0,37.0,95.4,9 (1),0,0,0,874.0,26,0.0
Jordan Mason,#24,HB,12.0,101,24,23.8,22.0,2.0,84.7,62.2,23.8,2.0,5.7,0.0,0.0,0.0,0.0,100.0,0 (0),0,0,0,0.0,0,0.0
Dee Winters,#53,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Tyrion Davis-Price,#32,HB,1.0,7,1,14.3,1.0,0.0,60.3,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Demetrius Flannigan-Fowles,#45,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Oren Burks,#48,LB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Isaiah Oliver,#26,CB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Taybor Pepper,#46,LS,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Samuel Womack III,#00,CB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Erik Harris,#35,S,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Tay Martin,#86,WR,1.0,3,2,66.7,2.0,0.0,58.5,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Willie Snead IV,#83,WR,4.0,47,21,44.7,21.0,0.0,60.9,70.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Sam Darnold,#14,QB,10.0,130,53,40.8,53.0,0.0,66.0,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0,0,0,0.0,0,0.0
Ray-Ray McCloud III,#03,WR,14.0,236,78,33.1,78.0,0.0,63.1,75.4,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0.0,0,0.0
Ronnie Bell,#10,WR,16.0,185,106,57.3,106.0,0.0,61.1,58.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (1),0,0,0,0.0,0,0.0
Brock Purdy,#13,QB,19.0,"1,141",463,40.6,463.0,0.0,87.4,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,5 (0),0,0,0,0.0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
