year,thirty_attempts,fifty_attempts,player_id,player_game_count,total_attempts,one_attempts,twenty_attempts,position,forty_attempts,player,team_name,pat_attempts,grades_fgep_kicker
2021,13,10,5443,17,33,0,5,K,5,Graham Gano,NYG,17,79.8
2022,10,9,5443,19,33,0,3,K,11,Graham Gano,NYG,39,90.4
2023,2,2,3809,3,7,0,2,K,1,Mason Crosby,NYG,7,39.0
2023,5,4,5443,8,17,0,2,K,6,Graham Gano,NYG,8,48.7
2023,2,1,7154,5,6,0,0,K,3,Randy Bullock,NYG,10,74.4
2023,0,0,63303,1,1,0,0,P,1,Jamie Gillan,NYG,0,60.7
2024,0,1,5443,2,4,0,1,K,2,Graham Gano,NYG,2,64.5
2024,5,1,22842,6,16,0,3,K,7,Greg Joseph,NYG,6,56.9
2024,0,0,63303,1,0,0,0,P,0,Jamie Gillan,NYG,1,54.4
2024,1,0,162910,1,1,0,0,K,0,Jude McAtamney,NYG,1,62.2
2013,11,3,3794,16,36,0,8,K,14,Nick Folk,NYJ,27,82.2
2014,7,6,3794,15,39,0,13,K,13,Nick Folk,NYJ,23,55.7
2015,6,2,3794,7,16,0,2,K,6,Nick Folk,NYJ,19,65.2
2015,6,1,7154,11,23,1,4,K,11,Randy Bullock,NYJ,25,43.9
2015,0,0,7573,1,0,0,0,P,0,Ryan Quigley,NYJ,4,64.5
2016,11,4,3794,16,31,0,13,K,3,Nick Folk,NYJ,26,69.2
2017,4,2,9140,15,30,1,6,K,17,Chandler Catanzaro,NYJ,29,73.0
2018,14,7,10207,16,36,0,4,K,11,Jason Myers,NYJ,33,73.0
2019,8,6,11437,14,27,0,2,K,11,Sam Ficken,NYJ,26,47.6
2019,0,0,28782,1,1,0,0,P,1,Kaare Vedvik,NYJ,1,29.8
2020,4,2,8894,6,13,0,2,K,5,Sergio Castillo,NYJ,7,29.6
2020,6,3,11437,9,15,0,5,K,1,Sam Ficken,NYJ,15,47.0
2020,1,2,33285,4,5,0,1,K,1,Chase McLaughlin,NYJ,6,58.5
2021,6,3,34039,9,19,0,5,K,5,Matt Ammendola,NYJ,15,35.7
2021,2,1,44140,5,8,0,2,K,3,Eddy Pineiro,NYJ,10,67.6
2021,0,0,44905,1,0,0,0,K,0,Alex Kessman,NYJ,2,29.3
2022,10,11,7163,17,37,0,5,K,11,Greg Zuerlein,NYJ,29,71.3
2023,10,6,7163,14,38,0,8,K,14,Greg Zuerlein,NYJ,16,90.3
2023,1,0,13701,1,1,0,0,K,0,Austin Seibert,NYJ,1,62.4
2024,6,1,7163,8,15,0,4,K,4,Greg Zuerlein,NYJ,14,29.9
2024,0,0,57556,1,0,0,0,K,0,Riley Patterson,NYJ,3,63.5
2024,0,0,100974,2,2,0,1,K,1,Spencer Shrader,NYJ,3,67.0
2013,6,7,595,16,30,0,6,K,11,Sebastian Janikowski,OAK,37,44.1
2014,5,5,595,15,22,0,2,K,10,Sebastian Janikowski,OAK,28,71.8
2015,6,5,595,16,26,0,7,K,8,Sebastian Janikowski,OAK,39,73.3
2016,6,8,595,16,35,1,9,K,11,Sebastian Janikowski,OAK,41,62.8
2017,7,4,7278,15,21,0,5,K,5,Giorgio Tavecchio,OAK,34,61.9
2018,0,1,2264,3,6,0,3,K,2,Mike Nugent,OAK,5,65.8
2018,4,3,28121,12,21,0,2,K,12,Daniel Carlson,OAK,24,64.7
2019,6,2,28121,16,26,0,8,K,10,Daniel Carlson,OAK,36,42.0
2013,9,2,6272,16,30,0,8,K,11,Alex Henery,PHI,48,56.0
2014,16,4,9030,16,36,0,10,K,6,Cody Parkey,PHI,54,66.0
2015,10,4,7948,13,22,0,4,K,4,Caleb Sturgis,PHI,37,56.1
2015,1,0,9030,3,4,0,1,K,2,Cody Parkey,PHI,7,53.7
2016,12,6,7948,16,41,0,12,K,11,Caleb Sturgis,PHI,31,68.4
2017,1,1,7948,1,3,0,0,K,1,Caleb Sturgis,PHI,2,54.8
2017,9,7,11908,17,38,0,7,K,15,Jake Elliott,PHI,51,70.7
2018,11,5,11908,18,32,0,7,K,9,Jake Elliott,PHI,38,68.0
2019,9,4,11908,17,29,0,8,K,8,Jake Elliott,PHI,37,64.5
2020,6,5,11908,16,19,0,3,K,5,Jake Elliott,PHI,26,41.0
2021,10,3,11908,18,33,0,7,K,13,Jake Elliott,PHI,45,85.0
2022,13,6,11908,19,27,0,6,K,2,Jake Elliott,PHI,65,76.5
2023,8,8,11908,18,33,0,9,K,8,Jake Elliott,PHI,46,91.7
2024,5,4,11908,10,19,0,4,K,6,Jake Elliott,PHI,26,59.2
2013,15,0,2796,16,32,0,9,K,8,Shaun Suisham,PIT,39,65.5
2014,6,3,2796,17,35,0,14,K,12,Shaun Suisham,PIT,45,68.6
2015,1,0,1858,4,10,0,2,K,7,Josh Scobee,PIT,7,30.6
2015,12,2,8990,14,39,1,10,K,14,Chris Boswell,PIT,28,74.4
2016,12,2,8990,18,33,0,4,K,15,Chris Boswell,PIT,41,69.0
2017,14,4,8990,17,38,0,10,K,10,Chris Boswell,PIT,45,82.2
2018,6,1,8990,15,20,0,3,K,10,Chris Boswell,PIT,48,30.6
2018,2,2,28749,5,12,0,3,K,5,Matt McCrane,PIT,9,47.5
2019,7,2,8990,16,31,1,11,K,10,Chris Boswell,PIT,28,79.7
2020,6,1,8990,14,21,0,5,K,9,Chris Boswell,PIT,40,66.1
2020,1,0,39675,3,4,0,1,K,2,Matthew Wright,PIT,7,72.0
2021,9,9,8990,18,40,0,9,K,13,Chris Boswell,PIT,32,82.3
2022,5,9,8990,12,28,0,4,K,10,Chris Boswell,PIT,18,66.1
2022,1,0,77043,1,2,0,1,K,0,Nick Sciba,PIT,1,63.6
2023,7,7,8990,18,32,0,9,K,9,Chris Boswell,PIT,30,85.9
2024,5,7,8990,9,24,0,7,K,5,Chris Boswell,PIT,20,90.4
2013,17,3,2726,18,41,1,11,K,9,Nick Novak,SD,47,73.6
2014,9,4,2726,15,26,1,6,K,6,Nick Novak,SD,40,66.8
2015,7,5,10133,16,32,0,4,K,16,Josh Lambo,SD,32,53.7
2016,14,3,10133,16,32,0,7,K,8,Josh Lambo,SD,46,59.9
2013,13,3,4655,19,43,0,12,K,15,Stephen Hauschka,SEA,53,78.5
2014,11,4,4655,19,39,0,11,K,13,Stephen Hauschka,SEA,50,61.6
2015,8,7,4655,18,34,0,9,K,10,Stephen Hauschka,SEA,48,76.3
2016,14,1,4655,18,41,0,15,K,11,Stephen Hauschka,SEA,40,52.0
2017,10,1,7167,16,29,0,6,K,12,Blair Walsh,SEA,38,43.6
2018,11,6,595,17,30,0,3,K,10,Sebastian Janikowski,SEA,51,61.2
2019,12,5,10207,18,32,0,6,K,9,Jason Myers,SEA,48,50.3
2020,7,4,10207,17,26,0,2,K,13,Jason Myers,SEA,55,79.3
2021,11,5,10207,16,23,0,2,K,5,Jason Myers,SEA,47,47.1
2022,16,7,10207,18,38,0,9,K,6,Jason Myers,SEA,44,81.0
2023,12,8,10207,17,42,0,8,K,14,Jason Myers,SEA,33,66.9
2024,4,5,10207,9,15,0,2,K,4,Jason Myers,SEA,23,90.1
2013,9,6,422,19,43,0,16,K,12,Phil Dawson,SF,50,81.0
2014,9,9,422,16,31,0,6,K,7,Phil Dawson,SF,32,68.1
2015,6,3,422,16,27,0,10,K,8,Phil Dawson,SF,21,76.8
2016,6,2,422,16,21,0,4,K,9,Phil Dawson,SF,34,71.4
2017,11,4,2607,16,41,0,8,K,18,Robbie Gould,SF,30,90.4
2018,13,2,2607,16,34,0,9,K,10,Robbie Gould,SF,29,75.1
2019,12,5,2607,16,38,0,11,K,10,Robbie Gould,SF,51,65.8
2020,6,4,2607,15,23,0,3,K,10,Robbie Gould,SF,38,66.0
2020,2,0,13076,1,3,0,0,K,1,Tristan Vizcaino,SF,2,68.2
2021,5,6,2607,16,29,0,7,K,11,Robbie Gould,SF,45,78.5
2021,0,0,44663,1,1,0,0,P,1,Mitch Wishnowsky,SF,2,29.7
2022,8,3,2607,20,40,0,16,K,13,Robbie Gould,SF,56,74.5
2022,0,0,44663,1,0,0,0,P,0,Mitch Wishnowsky,SF,2,44.5
2023,10,6,82603,20,33,0,8,K,9,Jake Moody,SF,70,72.3
2024,1,0,39675,1,3,0,1,K,1,Matthew Wright,SF,3,66.7
2024,0,0,44663,1,1,0,1,P,0,Mitch Wishnowsky,SF,0,60.2
2024,0,2,57509,2,5,0,1,K,2,Anders Carlson,SF,4,65.6
2024,3,4,82603,6,20,0,7,K,6,Jake Moody,SF,14,59.7
2006,1,1,113,1,7,0,3,K,2,Jeff Wilkins,SL,0,60.4
2013,10,2,7163,16,28,0,7,K,9,Greg Zuerlein,SL,34,74.0
2014,12,7,7163,16,30,1,7,K,3,Greg Zuerlein,SL,35,53.8
2015,10,9,7163,14,30,1,2,K,8,Greg Zuerlein,SL,28,56.8
2015,6,2,8862,8,14,0,3,K,3,Zach Hocker,SL,13,44.7
2013,14,6,754,16,29,0,3,K,6,Rian Lindell,TB,31,59.0
2014,8,6,9389,16,24,0,3,K,7,Patrick Murray,TB,31,72.5
2015,8,5,4777,12,28,0,9,K,6,Connor Barth,TB,26,59.9
2015,3,4,9752,4,12,0,2,K,3,Kyle Brindza,TB,8,27.8
2016,15,1,10693,16,31,0,5,K,10,Roberto Aguayo,TB,34,37.9
2017,2,2,3794,4,11,0,2,K,5,Nick Folk,TB,9,28.3
2017,8,5,9389,12,23,0,5,K,5,Patrick Murray,TB,22,57.8
2018,6,1,8932,9,18,1,4,K,6,Cairo Santos,TB,23,51.3
2019,7,8,57643,16,35,0,6,K,14,Matt Gay,TB,48,47.3
2020,13,3,5180,20,40,1,13,K,10,Ryan Succop,TB,70,73.2
2021,10,1,5180,19,34,0,11,K,12,Ryan Succop,TB,66,58.7
2021,0,1,9598,1,1,0,0,P,0,Bradley Pinion,TB,0,58.0
2022,8,7,5180,17,38,0,11,K,12,Ryan Succop,TB,25,69.3
2023,12,10,33285,19,36,0,9,K,5,Chase McLaughlin,TB,38,91.9
2024,4,7,33285,10,17,0,5,K,1,Chase McLaughlin,TB,30,83.0
2013,9,3,1218,16,29,0,10,K,7,Rob Bironas,TEN,41,63.4
2014,7,2,5180,16,22,0,5,K,8,Ryan Succop,TEN,27,60.7
2015,3,3,5180,14,16,0,3,K,7,Ryan Succop,TEN,31,63.2
2016,6,5,5180,16,24,1,4,K,8,Ryan Succop,TEN,41,81.7
2017,7,5,5180,18,43,0,10,K,21,Ryan Succop,TEN,36,70.0
2018,13,4,5180,15,30,0,6,K,7,Ryan Succop,TEN,31,61.2
2019,1,1,5180,6,6,0,0,K,4,Ryan Succop,TEN,25,32.1
2019,3,3,8932,5,9,0,0,K,3,Cairo Santos,TEN,12,47.6
2019,0,1,9030,2,3,0,0,,2,Cody Parkey,TEN,6,60.8
2019,1,0,22842,5,1,0,0,K,0,Greg Joseph,TEN,18,71.0
2020,5,8,3063,16,28,0,4,K,11,Stephen Gostkowski,TEN,49,61.4
2020,6,1,44982,8,13,0,3,K,3,Samuel Sloman,TEN,26,52.6
2021,13,1,7154,17,32,0,5,K,13,Randy Bullock,TEN,46,60.0
2022,5,2,7154,15,20,0,5,K,8,Randy Bullock,TEN,28,67.3
2022,0,0,10133,1,0,0,0,K,0,Josh Lambo,TEN,4,47.2
2022,3,0,44789,1,4,0,1,K,0,Caleb Shudak,TEN,1,49.0
2023,9,6,3794,17,30,0,9,K,6,Nick Folk,TEN,30,80.7
2024,0,3,3794,9,13,0,5,K,5,Nick Folk,TEN,17,75.8
2013,10,2,6860,12,22,0,4,K,6,Kai Forbath,WAS,26,59.2
2013,0,1,7232,3,4,0,2,K,1,John Potter,WAS,7,50.1
2014,7,1,6860,15,27,0,11,K,8,Kai Forbath,WAS,32,69.2
2015,9,4,7958,16,29,0,8,K,8,Dustin Hopkins,WAS,42,64.3
2016,14,7,7958,16,42,0,12,K,9,Dustin Hopkins,WAS,39,40.8
2017,2,2,7958,8,17,1,7,K,5,Dustin Hopkins,WAS,19,58.5
2018,7,5,7958,14,29,0,5,K,12,Dustin Hopkins,WAS,26,81.1
2019,9,3,7958,16,30,0,8,K,10,Dustin Hopkins,WAS,22,53.8
2020,9,4,7958,17,35,0,5,K,17,Dustin Hopkins,WAS,34,58.9
2021,0,1,23606,2,5,0,0,K,4,Chris Blewitt,WAS,2,57.8
2021,5,4,39235,12,25,0,9,K,7,Joey Slye,WAS,22,63.4
2021,3,1,44869,7,10,0,5,K,1,Brian Johnson,WAS,13,45.7
2022,5,6,39235,16,30,1,8,K,10,Joey Slye,WAS,28,53.7
2023,7,5,39235,17,24,0,3,K,9,Joey Slye,WAS,35,70.6
2024,0,0,11979,2,3,0,0,K,3,Zane Gonzalez,WAS,4,72.1
2024,7,3,13701,8,27,0,10,K,7,Austin Seibert,WAS,22,76.1
2024,0,1,98975,1,2,0,0,K,1,Cade York,WAS,2,34.2
