Player,JerseyNumber,Position,GamesPlayed,RunBlockingTotalSnaps,RunBlockingTotalSnaps.1,RunBlockingTotalSnapsPercentage,RunBlockingGrade,RunBlockingPenalties,RunBlockingTotalSnapsInZoneScheme,RunBlockingTotalSnapsInZoneSchemePercentage,RunBlockingGradeInZoneScheme,RunBlockingTotalSnapsInGapScheme,RunBlockingTotalSnapsInGapSchemePercentage,RunBlockingGradeInGapScheme
Mekhi Becton,#77,T,16.0,341.0,341.0,100.0,56.3,1 (1),169.0,49.6,59.7,135.0,39.6,59.3
Garrett Wilson,#17,WR,17.0,294.0,289.0,98.3,56.1,1 (0),153.0,52.9,58.9,110.0,38.1,61.8
Xavier Newman,#65,G,5.0,97.0,97.0,100.0,55.9,0 (0),52.0,53.6,61.7,34.0,35.1,45.1
Jeremy Ruckert,#89,TE,15.0,147.0,147.0,100.0,55.0,0 (0),58.0,39.5,61.9,69.0,46.9,46.9
Tyler Conklin,#83,TE,17.0,234.0,233.0,99.6,54.0,0 (0),116.0,49.8,52.3,90.0,38.6,59.8
Duane Brown,#76,T,4.0,42.0,42.0,100.0,53.5,0 (0),13.0,31.0,55.7,25.0,59.5,54.1
Chris Glaser,#63,G,3.0,32.0,32.0,100.0,52.6,0 (0),20.0,62.5,67.1,9.0,28.1,60.2
Nick Bawden,#48,FB,16.0,71.0,69.0,97.2,50.8,0 (0),40.0,58.0,55.7,19.0,27.5,47.5
Billy Turner,#54,T,7.0,57.0,57.0,100.0,50.2,0 (0),32.0,56.1,52.4,22.0,38.6,51.7
Xavier Gipson,#82,WR,15.0,131.0,123.0,93.9,50.1,0 (0),68.0,55.3,56.7,37.0,30.1,79.8
Carter Warren,#67,T,6.0,143.0,143.0,100.0,49.9,0 (0),77.0,53.8,63.5,47.0,32.9,35.1
Laken Tomlinson,#78,G,17.0,366.0,366.0,100.0,49.6,2 (0),186.0,50.8,56.4,140.0,38.3,45.8
Max Mitchell,#61,T,9.0,138.0,138.0,100.0,49.4,0 (0),68.0,49.3,39.3,55.0,39.9,67.8
Jake Hanson,#62,G,5.0,79.0,79.0,100.0,48.7,0 (0),41.0,51.9,61.3,29.0,36.7,42.3
Wes Schweitzer,#71,G,3.0,50.0,50.0,100.0,47.0,0 (0),23.0,46.0,59.9,18.0,36.0,43.0
Jason Brownlee,#16,WR,7.0,107.0,107.0,100.0,43.5,1 (1),64.0,59.8,66.8,31.0,29.0,52.0
Randall Cobb,#18,WR,10.0,52.0,52.0,100.0,31.1,0 (0),34.0,65.4,52.8,13.0,25.0,73.8
,,,,,,,,,,,,,,
