player,player_id,position,team_name,player_game_count,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,pass_plays,year
Damiere Byrd,9964,WR,ARZ,11,79.4,78.5,64.4,,64.0,326,2019
David Johnson,9519,HB,ARZ,13,80.4,69.3,72.2,64.3,74.5,297,2019
KeeSean Johnson,39587,WR,ARZ,10,50.8,25.6,53.5,,53.4,256,2019
Pharoh Cooper,10751,WR,ARZ,13,65.2,89.0,70.3,65.6,69.4,167,2019
Charles Clay,6326,TE,ARZ,15,83.6,74.4,64.7,54.1,62.3,226,2019
Chase Edmonds,45851,HB,ARZ,10,27.6,84.7,69.7,74.5,54.1,131,2019
Maxx Williams,9488,TE,ARZ,16,65.6,73.0,79.1,82.1,61.0,242,2019
Trent Sherfield,48021,WR,ARZ,12,28.7,68.7,52.2,,50.0,152,2019
Andy Isabella,47448,WR,ARZ,13,77.3,76.1,64.2,,64.0,103,2019
Dan Arnold,51842,TE,ARZ,5,77.3,70.6,71.7,70.2,76.8,74,2019
Michael Crabtree,4933,WR,ARZ,2,72.1,67.0,56.7,,54.1,26,2019
Darrell Daniels,12122,TE,ARZ,6,28.8,61.2,49.1,63.8,47.5,11,2019
DeAndre Hopkins,7808,WR,ARZ,16,91.5,38.3,87.1,,88.0,664,2020
Christian Kirk,47546,WR,ARZ,14,78.2,87.0,62.3,,62.5,540,2020
Larry Fitzgerald,1724,WR,ARZ,13,90.6,79.8,59.6,69.5,61.1,475,2020
Chase Edmonds,45851,HB,ARZ,16,87.9,58.0,69.2,49.3,77.0,377,2020
Dan Arnold,51842,TE,ARZ,16,78.4,20.8,61.7,72.6,64.4,326,2020
Andy Isabella,47448,WR,ARZ,13,47.8,27.9,56.8,,56.1,222,2020
Kenyan Drake,10707,HB,ARZ,15,52.9,60.1,60.9,60.0,47.0,318,2020
KeeSean Johnson,39587,WR,ARZ,8,65.6,73.0,61.2,,61.7,145,2020
Darrell Daniels,12122,TE,ARZ,12,54.5,71.1,59.1,77.0,56.9,156,2020
Maxx Williams,9488,TE,ARZ,9,76.5,70.1,67.7,41.4,65.6,149,2020
Trent Sherfield,48021,WR,ARZ,6,73.4,68.0,67.1,,63.5,42,2020
Ezekiel Turner,49167,LB,ARZ,1,64.7,61.2,73.8,,90.3,1,2020
D.J. Foster,11214,HB,ARZ,4,64.7,70.1,51.1,59.4,51.4,24,2020
Jonathan Ward,25859,FB,ARZ,1,64.7,61.2,97.7,,90.8,1,2020
Seth DeValve,10772,TE,ARZ,3,,,35.2,70.2,48.9,14,2020
Christian Kirk,47546,WR,ARZ,18,69.8,84.5,72.1,,72.7,613,2021
Zach Ertz,7816,TE,ARZ,18,83.5,82.1,65.5,77.0,69.4,604,2021
A.J. Green,6156,WR,ARZ,17,68.3,80.0,67.8,,69.7,593,2021
Rondale Moore,62890,WR,ARZ,15,82.5,69.1,70.7,,70.1,293,2021
DeAndre Hopkins,7808,WR,ARZ,10,75.8,78.5,79.8,,81.1,343,2021
Chase Edmonds,45851,HB,ARZ,12,83.5,73.8,66.6,51.7,60.1,337,2021
