player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_offense,year
Jeremy Ross,6476,WR,ARZ,3,81.2,,73.3,40,2016
Ifeanyi Momah,8557,TE,ARZ,5,52.4,0.0,55.5,31,2016
Cole Toner,10804,G,ARZ,2,69.9,75.8,68.6,10,2016
Stepfan Taylor,7922,HB,ARZ,4,65.1,17.7,60.1,11,2016
Chris Johnson,4338,HB,ARZ,4,57.2,26.2,,42,2016
Givens Price,10958,T,ARZ,1,62.5,79.1,59.4,6,2016
Kerwynn Williams,8013,HB,ARZ,6,62.0,76.6,60.0,50,2016
Chandler Catanzaro,9140,K,ARZ,1,60.0,,60.0,1,2016
Calais Campbell,4364,DI,ARZ,1,60.0,,60.0,1,2016
Kameron Canaday,10949,LS,ARZ,1,60.0,,60.0,1,2016
A.Q. Shipley,5150,C,ARZ,16,61.3,77.9,54.3,1120,2017
John Wetzel,8088,T,ARZ,13,59.7,48.1,69.5,916,2017
Jared Veldheer,5594,T,ARZ,13,62.3,62.5,60.8,895,2017
Alex Boone,5372,G,ARZ,14,55.9,61.1,51.7,874,2017
Earl Watford,7898,G,ARZ,10,50.9,51.5,49.4,611,2017
Evan Boehm,10762,G,ARZ,10,61.8,48.8,69.1,588,2017
Jermaine Gresham,5546,TE,ARZ,14,62.8,55.5,68.8,749,2017
Larry Fitzgerald,1724,WR,ARZ,16,80.0,74.5,71.4,1070,2017
Will Holden,11912,T,ARZ,7,55.6,45.6,58.9,327,2017
Troy Niklas,8687,TE,ARZ,15,59.1,56.0,52.4,414,2017
Jaron Brown,8128,WR,ARZ,16,59.4,42.1,66.2,818,2017
D.J. Humphries,9457,T,ARZ,5,81.7,66.0,86.1,204,2017
John Brown,8726,WR,ARZ,10,58.0,,41.9,490,2017
J.J. Nelson,9592,WR,ARZ,16,59.0,,65.2,537,2017
Carson Palmer,1317,QB,ARZ,7,65.3,,60.5,459,2017
Drew Stanton,3659,QB,ARZ,5,54.3,,60.0,319,2017
Blaine Gabbert,6162,QB,ARZ,5,45.4,,60.0,342,2017
Mike Iupati,5542,G,ARZ,1,64.7,38.1,77.3,70,2017
