player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Josh Whyle,2023,4,4.165368,1.041342,0.325368,0.005,4.732362,1.183091,0.369657,00-0038589,2023,TEN,TE,TE,81.0,1999-09-08,TEN,147.0,24.0
Kevin Rader,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034193,2023,TEN,TE,TE,86.0,1995-04-26,,,28.0
Justin Rigg,2023,2,1.655,0.8325,0.0,0.004,1.88028,0.945821,0.0,00-0037424,2023,TEN,TE,TE,83.0,,,,
Alize Mack,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0035309,2023,TEN,TE,TE,87.0,1997-03-29,NO,231.0,27.0
Andre Dillard,2023,3,29.0,9.666666,13.0,0.043,32.947509,10.982502,14.769573,00-0035233,2023,TEN,OL,T,71.0,1995-10-03,PHI,22.0,28.0
Chris Hubbard,2023,1,1.315,1.315,0.075,0.006,1.493999,1.493999,0.085209,00-0029963,2023,TEN,OL,T,66.0,1991-04-23,,,33.0
Peter Skoronski,2023,4,19.67332,4.91833,19.67332,0.022,22.351272,5.587818,22.351272,00-0039034,2023,TEN,OL,T,77.0,2001-07-31,TEN,11.0,22.0
Aaron Brewer,2023,1,4.304,4.304,0.0,0.019,4.889865,4.889865,0.0,00-0036171,2023,TEN,OL,G,55.0,1997-10-28,,,26.0
Zack Johnson,2023,2,1.655,0.8325,0.0,0.004,1.88028,0.945821,0.0,00-0036015,2023,TEN,OL,G,68.0,,,,
Corey Levin,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033793,2023,TEN,OL,C,62.0,1994-08-12,TEN,217.0,29.0
James Empey,2023,2,1.665,0.8325,0.0,0.004,1.891641,0.945821,0.0,00-0037565,2023,TEN,OL,C,62.0,1996-10-27,,,27.0
Daniel Brunskill,2023,2,5.5,2.75,1.5,0.012,6.248665,3.124333,1.704181,00-0033221,2023,TEN,OL,C,60.0,1994-01-27,,,30.0
Jordan Roos,2023,1,0.2898,0.2898,0.0,0.001,0.329248,0.329248,0.0,00-0033740,2023,TEN,OL,G,70.0,1993-07-06,,,30.0
Lachavious Simmons,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036318,2023,TEN,OL,G,73.0,1996-09-26,CHI,227.0,27.0
Calvin Throckmorton,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035764,2023,TEN,OL,G,72.0,1996-08-16,,,27.0
Dillon Radunz,2021,4,6.326874,1.581719,3.568949,0.009,8.854157,2.21354,4.994573,00-0036619,2023,TEN,OL,T,75.0,1998-03-28,TEN,53.0,26.0
Nicholas Petit-Frere,2022,4,5.45574,1.363935,1.147812,0.007,6.692584,1.673146,1.408027,00-0037754,2023,TEN,OL,T,78.0,1999-09-15,TEN,69.0,24.0
Jaelyn Duncan,2023,4,4.029808,1.007452,0.189808,0.004,4.578349,1.144587,0.215645,00-0038607,2023,TEN,OL,T,79.0,2000-07-08,TEN,186.0,23.0
Andrew Rupcich,2023,2,1.655,0.8325,0.0,0.004,1.88028,0.945821,0.0,00-0037605,2023,TEN,OL,T,76.0,1999-04-01,,,25.0
John Ojukwu,2023,3,2.715,0.905,0.19,0.004,3.084569,1.02819,0.215863,00-0038852,2023,TEN,OL,T,61.0,1999-01-09,,,25.0
Jeffery Simmons,2023,4,94.0,23.5,59.33,0.105,106.795374,26.698843,67.406059,00-0035643,2023,TEN,DL,DT,98.0,1997-07-28,TEN,19.0,26.0
Denico Autry,2021,3,21.5,7.666667,9.0,0.042,30.088219,10.729133,12.595068,00-0031254,2023,TEN,DL,DE,96.0,1990-07-15,,,33.0
Ross Blacklock,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0036289,2023,TEN,DL,DT,90.0,1998-07-09,HOU,40.0,25.0
Marlon Davidson,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0036291,2023,TEN,DL,DT,92.0,1998-05-11,ATL,47.0,25.0
Jaleel Johnson,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0033940,2023,TEN,DL,DT,94.0,1994-07-12,MIN,109.0,29.0
Tyler Shelvin,2023,2,1.855,0.9275,0.0,0.004,2.107504,1.053752,0.0,00-0036851,2023,TEN,DL,NT,72.0,,CIN,122.0,
Trevon Coley,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0032566,2023,TEN,DL,DT,79.0,1994-07-13,,,29.0
Kyle Peko,2023,1,1.08,1.08,0.0,0.005,1.227011,1.227011,0.0,00-0032463,2023,TEN,DL,DT,95.0,1993-07-23,,,30.0
Quinton Bohanna,2023,2,1.995,0.9975,0.0,0.004,2.266561,1.133281,0.0,00-0036649,2023,TEN,DL,DT,97.0,1999-03-16,DAL,192.0,25.0
