Player,JerseyNumber,Position,GamesPlayed,PassRushSnaps,PassRushTotalSnaps,PassRushSnapsPercentage,PassRushGrade,PassRushPenalties,PassRushTotalPressures,PassRushSacks,PassRushHits,PassRushHurries,PassRushPressureRate,PassRushWinPercentage,PassRushBattedPasses,TruePassSetSnaps,TruePassSetTotalSnaps,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetTotalPressures,TruePassSetSacks,TruePassSetHits,TruePassSetHurries,TruePassSetPressureRate,TruePassSetWinPercentage,TruePassSetBattedPasses
Dane Jackson,#30,CB,14.0,384.0,1.0,0.3,60.0,3 (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Tyler Matakevich,#44,LB,2.0,14.0,1.0,7.1,60.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Matt Milano,#58,LB,5.0,136.0,14.0,10.3,59.5,1 (0),2.0,0.0,1.0,1.0,8.3,0.0,0.0,66.0,7.0,10.6,57.7,1.0,0.0,0.0,1.0,8.3,0.0,0.0
Cam Lewis,#39,S,13.0,150.0,1.0,0.7,59.4,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Damar Hamlin,#03,S,4.0,26.0,1.0,3.8,59.1,0 (0),0.0,0.0,0.0,0.0,,,0.0,12.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Christian Benford,#47,CB,16.0,553.0,1.0,0.2,58.8,5 (1),1.0,0.0,0.0,1.0,50.0,0.0,0.0,274.0,1.0,0.4,58.8,1.0,0.0,0.0,1.0,50.0,0.0,0.0
Linval Joseph,#93,DI,9.0,103.0,103.0,100.0,58.2,0 (0),7.0,1.0,1.0,5.0,4.1,4.1,0.0,32.0,32.0,100.0,66.3,4.0,1.0,1.0,2.0,8.3,6.7,0.0
Jordan Phillips,#97,DI,14.0,252.0,250.0,99.2,57.4,4 (0),19.0,3.0,2.0,14.0,4.8,5.7,3.0,135.0,135.0,100.0,60.3,15.0,2.0,2.0,11.0,7.1,9.2,3.0
Kaiir Elam,#24,CB,3.0,136.0,2.0,1.5,54.9,2 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,-,0.0,0.0,0.0,0.0,,,0.0
Shaq Lawson,#90,ED,18.0,200.0,192.0,96.0,54.5,2 (0),17.0,1.0,6.0,10.0,5.1,5.1,0.0,75.0,69.0,92.0,47.5,3.0,0.0,1.0,2.0,2.5,1.7,0.0
Jordan Poyer,#21,S,18.0,708.0,44.0,6.2,54.1,2 (0),7.0,1.0,1.0,5.0,10.8,8.1,0.0,339.0,20.0,5.9,62.0,4.0,1.0,1.0,2.0,17.9,21.4,0.0
Von Miller,#40,ED,14.0,223.0,207.0,92.8,52.7,1 (0),17.0,0.0,3.0,14.0,4.5,6.4,0.0,132.0,124.0,93.9,53.2,12.0,0.0,3.0,9.0,5.3,8.8,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
