Player,JerseyNumber,Position,GamesPlayed,PassBlockingTotalSnaps,PassBlockingTotalSnaps.1,PassBlockingTotalSnapsPercentage,PassBlockingGrade,PassBlockingPenalties,PassBlockingPressuresAllowedTotalSnaps,PassBlockingPressuresAllowedTotalSnapsPercentage,PassBlockingPressuresAllowedSacks,PassBlockingPressuresAllowedHits,PassBlockingPressuresAllowedHurries,PassBlockingPressuresAllowedTotal,PassBlockingPressuresAllowedEfficiency,TruePassSetSnaps,TruePassSetSnaps.1,TruePassSetSnapsPercentage,TruePassSetGrade,TruePassSetPressuresAllowedTotalSnaps,TruePassSetPressuresAllowedTotalSnapsPercentage,TruePassSetPressuresAllowedSacks,TruePassSetPressuresAllowedHits,TruePassSetPressuresAllowedHurries,TruePassSetPressuresAllowedTotal,TruePassSetPressuresAllowedEfficiency
Robert Tonyan,#18,TE,17.0,183.0,8.0,4.4,59.7,1 (0),8.0,4.7,0.0,0.0,1.0,1.0,93.7,91.0,1.0,1.1,65.8,1.0,1.1,0.0,0.0,0.0,0.0,100.0
Khari Blasingame,#35,FB,16.0,78.0,31.0,39.7,57.0,0 (0),30.0,40.5,2.0,0.0,0.0,2.0,93.3,26.0,3.0,11.5,29.3,3.0,12.5,0.0,0.0,0.0,0.0,100.0
Cody Whitehair,#65,G,14.0,454.0,454.0,100.0,55.0,0 (0),438.0,100.0,3.0,4.0,15.0,22.0,97.1,211.0,211.0,100.0,53.2,205.0,100.0,2.0,3.0,12.0,17.0,95.4
Khalil Herbert,#24,HB,12.0,183.0,31.0,16.9,53.3,0 (0),29.0,16.6,0.0,0.0,3.0,3.0,94.8,68.0,6.0,8.8,35.0,6.0,9.1,0.0,0.0,2.0,2.0,83.3
Nate Davis,#64,G,11.0,384.0,384.0,100.0,47.9,5 (5),364.0,100.0,1.0,7.0,21.0,29.0,95.9,180.0,180.0,100.0,26.0,172.0,100.0,0.0,7.0,17.0,24.0,93.0
Larry Borom,#75,T,8.0,225.0,225.0,100.0,45.2,0 (0),217.0,100.0,3.0,6.0,16.0,25.0,93.5,100.0,100.0,100.0,43.9,98.0,100.0,2.0,2.0,10.0,14.0,91.8
Dan Feeney,#67,C,3.0,40.0,40.0,100.0,44.8,0 (0),37.0,100.0,1.0,0.0,2.0,3.0,94.6,22.0,22.0,100.0,25.6,20.0,100.0,1.0,0.0,2.0,3.0,90.0
Lucas Patrick,#62,C,16.0,563.0,563.0,100.0,40.6,5 (1),539.0,100.0,0.0,3.0,25.0,28.0,97.4,264.0,264.0,100.0,32.8,255.0,100.0,0.0,3.0,16.0,19.0,96.3
Darnell Mooney,#11,WR,15.0,489.0,4.0,0.8,39.6,0 (0),3.0,0.6,1.0,0.0,0.0,1.0,66.7,239.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
D'Onta Foreman,#21,HB,9.0,128.0,29.0,22.7,29.5,0 (0),26.0,21.3,0.0,1.0,5.0,6.0,88.5,43.0,7.0,16.3,37.9,7.0,17.1,0.0,1.0,1.0,2.0,85.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
