player,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,gsis_id,season,team,position,depth_chart_position,jersey_number,birth_date,draft_club,draft_number,age
Shaq Lawson,2023,1,1.3175,1.3175,0.4525,0.006,1.496839,1.496839,0.514095,00-0033096,2023,BUF,DL,DE,90.0,1994-06-17,BUF,19.0,29.0
Gregory Rousseau,2021,4,11.60819,2.902048,11.367075,0.016,16.245105,4.061277,15.907676,00-0036914,2023,BUF,DL,DE,50.0,2000-04-05,BUF,30.0,24.0
A.J. Epenesa,2020,4,5.877304,1.469326,3.321554,0.007,7.573479,1.89337,4.280146,00-0036192,2023,BUF,DL,DE,57.0,1998-09-15,BUF,54.0,25.0
Kingsley Jonathan,2023,2,1.8585,0.92925,0.0035,0.004,2.111481,1.05574,0.003976,00-0037431,2023,BUF,DL,DE,59.0,1998-04-28,,,25.0
Matt Milano,2023,2,28.33,14.165,27.15,0.063,32.186308,16.093154,30.845685,00-0033571,2023,BUF,LB,MLB,58.0,1994-07-28,BUF,163.0,29.0
Christian Kirksey,2023,1,0.315,0.315,0.0,0.001,0.357878,0.357878,0.0,00-0031361,2023,BUF,LB,OLB,55.0,1992-08-31,CLE,71.0,31.0
A.J. Klein,2023,1,1.3175,1.3175,0.1,0.006,1.496839,1.496839,0.113612,00-0030463,2023,BUF,LB,OLB,52.0,1991-07-30,CAR,148.0,32.0
Tyler Matakevich,2023,1,2.5,2.5,2.5,0.011,2.840302,2.840302,2.840302,00-0032366,2023,BUF,LB,MLB,44.0,1992-12-22,PIT,246.0,31.0
Travin Howard,2023,1,1.01,1.01,0.0,0.004,1.147482,1.147482,0.0,00-0034812,2023,BUF,LB,MLB,45.0,1996-05-10,LA,231.0,27.0
Tyrel Dodson,2023,1,2.01,2.01,2.01,0.009,2.283603,2.283603,2.283603,00-0035352,2023,BUF,LB,MLB,25.0,1998-06-25,,,25.0
Terrel Bernard,2022,4,5.132864,1.283216,0.912992,0.006,6.29651,1.574128,1.119972,00-0037254,2023,BUF,LB,MLB,43.0,1999-05-07,BUF,89.0,24.0
Dorian Williams,2023,4,5.382806,1.345702,0.914768,0.006,6.115519,1.52888,1.039287,00-0038557,2023,BUF,LB,MLB,42.0,2001-06-28,BUF,91.0,22.0
Baylon Spector,2022,4,3.763728,0.940932,0.103728,0.005,4.616984,1.154246,0.127244,00-0037318,2023,BUF,LB,OLB,54.0,1998-10-20,BUF,231.0,25.0
Tre'Davious White,2020,4,69.0,17.25,55.0,0.087,88.913219,22.228305,70.872856,00-0033884,2023,BUF,DB,CB,27.0,1995-01-16,BUF,27.0,29.0
Taron Johnson,2021,3,24.0,8.0,13.955,0.044,33.586849,11.195616,19.529353,00-0034376,2023,BUF,DB,CB,7.0,1996-07-27,BUF,121.0,27.0
Rasul Douglas,2022,3,21.0,7.0,5.3,0.034,25.760807,8.586936,6.501537,00-0033551,2023,BUF,DB,CB,31.0,1994-08-29,PHI,99.0,29.0
Kaiir Elam,2022,4,13.690812,3.422703,13.690812,0.016,16.794589,4.198647,16.794589,00-0037242,2023,BUF,DB,CB,24.0,2001-05-05,BUF,23.0,22.0
Siran Neal,2022,3,9.0,3.0,3.3,0.014,11.040346,3.680115,4.048127,00-0034391,2023,BUF,DB,CB,33.0,1994-08-04,BUF,154.0,29.0
Dane Jackson,2023,1,2.01,2.01,2.01,0.009,2.283603,2.283603,2.283603,00-0036166,2023,BUF,DB,CB,30.0,1996-11-29,BUF,239.0,27.0
Josh Norman,2023,1,0.369166,0.369166,0.0,0.002,0.419417,0.419417,0.0,00-0029285,2023,BUF,DB,CB,29.0,1987-12-15,CAR,143.0,36.0
Cameron Lewis,2023,1,1.185,1.185,0.35,0.005,1.346303,1.346303,0.397642,00-0035357,2023,BUF,DB,CB,39.0,1997-04-13,,,27.0
Kyron Brown,2023,1,0.94,0.94,0.0,0.004,1.067954,1.067954,0.0,00-0035499,2023,BUF,DB,CB,32.0,1996-05-26,,,27.0
Christian Benford,2022,4,3.85428,0.96357,0.19428,0.005,4.728065,1.182016,0.238324,00-0037288,2023,BUF,DB,CB,47.0,2000-09-21,BUF,185.0,23.0
