Player,JerseyNumber,Position,GamesPlayed,DefenseTotalSnaps,DefenseRunDefenseSnaps,DefensePassRushSnaps,DefenseCoverageSnaps,DefenseOverallGrade,DefenseRunDefenseGrade,DefenseTacklingGrade,DefensePassRushGrade,DefenseCoverageGrade,DefenseTotalPressures,DefenseSacks,DefenseHits,DefenseHurries,DefenseBattedPasses,DefenseTackles,DefenseAssists,DefenseMissedTackles,DefenseMissedTacklePercentage,DefenseStops,DefenseForcedFumbles,DefenseTargets,DefenseReceptionsAllowed,DefenseReceptionPercentageAllowed,DefenseYardsAllowed,DefenseYardsPerReceptionAllowed,DefenseYardsAfterCatchAllowed,DefenseLongestReceptionAllowed,DefenseTouchdownsAllowed,DefenseInterceptions,DefensePassBreakups,DefensePasserRatingAllowed,DefensePenalties,DefenseSnapsOnDefensiveLine,DefenseSnapsInTheBox,DefenseSnapsAtFreeSafety,DefenseSnapsInTheSlot,DefenseSnapsAtCorner,DefenseSnapsAtA-Gap,DefenseSnapsAtB-Gap,DefenseSnapsOverTackle,DefenseSnapsOutside
Reggie Gilliam,#41,FB,1.0,1,0.0,1.0,0.0,60.0,-,-,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poona Ford,#98,DI,8.0,151,64.0,86.0,1.0,59.3,47.6,37.8,71.5,59.5,9.0,1.0,2.0,6.0,0.0,6.0,3.0,2.0,18.2,5.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),151.0,0.0,0.0,0.0,0.0,3.0,126.0,21.0,1.0
Leonard Floyd,#56,ED,19.0,627,182.0,425.0,20.0,58.7,56.1,29.2,64.3,33.4,45.0,12.0,8.0,25.0,1.0,14.0,5.0,11.0,36.7,21.0,1.0,3.0,3.0,100.0,19.0,6.3,7.0,8.0,0.0,0.0,0.0,93.1,3 (1),624.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,615.0
Taylor Rapp,#20,S,14.0,422,133.0,5.0,284.0,56.4,57.9,85.6,77.1,57.6,3.0,0.0,0.0,3.0,0.0,31.0,10.0,2.0,4.7,4.0,0.0,17.0,9.0,52.9,139.0,15.4,34.0,31.0,1.0,1.0,1.0,75.4,3 (1),12.0,82.0,252.0,72.0,2.0,0.0,0.0,0.0,12.0
Tim Settle,#99,DI,19.0,413,161.0,249.0,3.0,55.2,43.5,26.9,63.5,62.9,14.0,1.0,1.0,12.0,0.0,10.0,5.0,5.0,25.0,10.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,2 (0),412.0,0.0,0.0,0.0,0.0,13.0,347.0,51.0,1.0
Tyler Matakevich,#44,LB,4.0,19,5.0,1.0,13.0,53.7,55.4,76.0,60.0,57.6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,33.3,5.0,5.0,9.0,5.0,0.0,0.0,0.0,42.4,0 (0),0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Von Miller,#40,ED,14.0,298,75.0,207.0,16.0,53.3,52.0,28.2,52.7,74.7,17.0,0.0,3.0,14.0,0.0,4.0,1.0,3.0,37.5,2.0,0.0,1.0,1.0,100.0,8.0,8.0,4.0,8.0,0.0,0.0,0.0,100.0,1 (0),296.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0
Dorian Williams,#42,LB,14.0,238,94.0,19.0,125.0,52.9,71.8,43.3,65.4,41.1,4.0,0.0,2.0,2.0,0.0,31.0,12.0,8.0,15.7,12.0,0.0,26.0,20.0,76.9,190.0,9.5,144.0,33.0,0.0,0.0,1.0,96.6,3 (0),6.0,219.0,0.0,9.0,4.0,0.0,0.0,0.0,6.0
Josh Norman,#29,CB,1.0,5,5.0,0.0,0.0,47.5,54.4,70.5,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Shaq Lawson,#90,ED,18.0,354,154.0,192.0,8.0,46.2,48.5,28.5,54.5,36.7,17.0,1.0,6.0,10.0,0.0,10.0,4.0,5.0,26.3,6.0,0.0,3.0,3.0,100.0,28.0,9.3,15.0,11.0,0.0,0.0,0.0,105.6,2 (0),352.0,1.0,0.0,0.0,0.0,0.0,4.0,17.0,331.0
Baylon Spector,#54,LB,5.0,43,21.0,1.0,21.0,45.8,62.3,78.9,60.0,39.1,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,3.0,3.0,100.0,38.0,12.7,30.0,16.0,0.0,0.0,0.0,118.8,0 (0),0.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Linval Joseph,#93,DI,9.0,189,86.0,103.0,0.0,43.3,33.3,57.1,58.2,75.2,7.0,1.0,1.0,5.0,0.0,9.0,2.0,1.0,8.3,6.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),189.0,0.0,0.0,0.0,0.0,137.0,52.0,0.0,0.0
Siran Neal,#33,CB,8.0,50,9.0,3.0,38.0,42.1,63.8,78.5,74.0,35.8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,75.0,62.0,10.3,23.0,18.0,0.0,0.0,0.0,96.9,0 (0),0.0,10.0,1.0,36.0,1.0,0.0,0.0,0.0,0.0
Kendal Vickers,#93,DI,2.0,62,31.0,31.0,0.0,38.1,30.1,31.0,60.6,-,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0 (0),62.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,25.0
Jordan Phillips,#97,DI,14.0,391,139.0,250.0,2.0,35.8,30.0,25.3,57.4,59.3,19.0,3.0,2.0,14.0,3.0,9.0,3.0,7.0,36.8,9.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,4 (0),390.0,1.0,0.0,0.0,0.0,23.0,231.0,124.0,12.0
A.J. Klein,#52,LB,2.0,93,33.0,4.0,56.0,35.0,48.7,85.4,64.4,35.9,1.0,0.0,0.0,1.0,0.0,11.0,4.0,0.0,0.0,4.0,0.0,13.0,11.0,84.6,130.0,11.8,67.0,29.0,0.0,0.0,0.0,108.3,0 (0),0.0,87.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
