Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,BlockingTotalSnaps,BlockingTotalSnapsPercentage,RunBlockingSnaps,PassBlockingSnaps,OffenseOverallGrade,RunBlockingGrade,PassBlockingGrade,PressuresAllowedTotalSnaps,PressuresAllowedTotalSnapsPercentage,PressuresAllowedSacks,PressuresAllowedHits,PressuresAllowedHurries,PressuresAllowedTotal,PressuresAllowedEfficiency,Penalties,SnapsAtLeftTackle,SnapsAtLeftGuard,SnapsAtCenter,SnapsAtRightGuard,SnapsAtRightTackle,SnapsAtInlineTightEnd
Lil'Jordan Humphrey,#17,WR,17.0,428,190,44.4,186.0,4.0,60.4,65.5,46.2,3.0,1.3,0.0,0.0,0.0,0.0,100.0,1 (0),0,0,0,0,0.0,25.0
Nate Adkins,#45,TE,10.0,60,33,55.0,26.0,7.0,55.0,51.2,40.7,7.0,21.9,0.0,1.0,1.0,2.0,85.7,1 (0),0,0,0,0,0.0,31.0
Jaleel McLaughlin,#38,HB,17.0,193,14,7.3,8.0,6.0,86.2,60.0,34.6,5.0,4.9,0.0,0.0,1.0,1.0,90.0,0 (0),0,0,0,0,0.0,1.0
Luke Wattenberg,#60,G,4.0,39,39,100.0,22.0,17.0,57.9,61.7,33.0,17.0,100.0,0.0,0.0,2.0,2.0,94.1,0 (0),0,0,3,35,0.0,0.0
Samaje Perine,#25,HB,17.0,360,72,20.0,18.0,54.0,71.3,59.3,31.1,52.0,19.5,2.0,3.0,3.0,8.0,90.4,0 (0),0,0,0,0,0.0,3.0
Javonte Williams,#33,HB,16.0,493,89,18.1,41.0,48.0,63.3,57.6,27.8,43.0,20.2,0.0,1.0,4.0,5.0,94.2,1 (0),0,0,0,0,0.0,4.0
Lucas Krull,#85,TE,7.0,166,30,18.1,27.0,3.0,60.5,67.3,19.5,3.0,2.3,0.0,0.0,1.0,1.0,83.3,0 (0),0,0,0,0,0.0,76.0
Matt Henningsen,#91,DI,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Dwayne Washington,#39,HB,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,1.0
Mitchell Fraboni,#48,LS,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Wil Lutz,#16,K,1.0,1,1,100.0,1.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Tre'Quan Smith,#81,WR,1.0,10,6,60.0,6.0,0.0,56.0,60.9,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Justin Simmons,#31,S,5.0,11,11,100.0,11.0,0.0,60.0,60.0,-,0.0,,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Phillip Dorsett,#13,WR,2.0,34,13,38.2,13.0,0.0,46.2,58.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
David Sills V,#87,WR,3.0,16,14,87.5,14.0,0.0,59.1,61.8,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,0.0
Jarrett Stidham,#04,QB,3.0,134,47,35.1,47.0,0.0,55.5,60.3,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0,0,0,0,0.0,0.0
Brandon Johnson,#89,WR,13.0,343,111,32.4,111.0,0.0,64.1,53.7,-,0.0,0.0,0.0,0.0,0.0,0.0,,3 (0),0,0,0,0,0.0,1.0
Marvin Mims Jr.,#19,WR,16.0,384,112,29.2,112.0,0.0,63.1,55.5,-,0.0,0.0,0.0,0.0,0.0,0.0,,1 (0),0,0,0,0,0.0,3.0
Jerry Jeudy,#10,WR,16.0,662,170,25.7,170.0,0.0,67.8,46.1,-,0.0,0.0,0.0,0.0,0.0,0.0,,0 (0),0,0,0,0,0.0,2.0
Russell Wilson,#03,QB,15.0,938,325,34.6,325.0,0.0,77.5,60.0,-,0.0,0.0,0.0,0.0,0.0,0.0,,2 (0),0,0,0,0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
