season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2024,Jaire Alexander,AlexJa00,GB,27.0,CB,6.0,6.0,2.0,30.0,17.0,0.5670000000000001,231.0,13.6,7.7,3.0,86.9,9.8,143.0,88.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.111,2024-10-31
2024,Krys Barnes,BarnKr00,ARI,26.0,LB,8.0,0.0,0.0,8.0,8.0,1.0,83.0,10.4,10.4,1.0,149.5,4.3,34.0,49.0,3.0,0.0,0.0,2.0,2.0,24.0,1.0,0.04,2024-10-31
2024,Percy Butler,ButlPe00,WAS,24.0,S,8.0,3.0,0.0,11.0,9.0,0.818,103.0,11.4,9.4,1.0,136.0,9.5,75.0,28.0,1.0,0.0,0.0,0.0,0.0,26.0,1.0,0.037000000000000005,2024-10-31
2024,YaYa Diaby,DiabYa00,TB,25.0,OLB,8.0,8.0,0.0,3.0,2.0,0.667,9.0,4.5,3.0,0.0,70.1,-1.0,4.0,5.0,55.0,7.0,6.0,2.0,15.0,21.0,2.0,0.087,2024-10-31
2024,Jonathan Greenard,GreeJo04,MIN,27.0,OLB,7.0,7.0,0.0,4.0,3.0,0.75,21.0,7.0,5.3,0.0,86.5,-4.0,-8.0,29.0,47.0,11.0,6.0,5.0,22.0,21.0,4.0,0.16,2024-10-31
2024,Derick Hall,HallDe04,SEA,23.0,OLB,8.0,6.0,0.0,2.0,1.0,0.5,1.0,1.0,0.5,0.0,56.2,0.5,1.0,0.0,11.0,5.0,7.0,5.0,17.0,24.0,2.0,0.077,2024-10-31
2024,Jordan Howden,HowdJo00,NO,24.0,DB,8.0,3.0,1.0,8.0,6.0,0.75,72.0,12.0,9.0,0.0,62.5,4.9,26.0,46.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,2024-10-31
2024,Jaylon Johnson,JohnJa13,CHI,25.0,DB,7.0,7.0,2.0,26.0,14.0,0.5379999999999999,175.0,12.5,6.7,0.0,42.9,12.2,102.0,73.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.05,2024-10-31
2024,Tyrice Knight,KnigTy00,SEA,24.0,LB,7.0,2.0,0.0,8.0,8.0,1.0,76.0,9.5,9.5,0.0,106.2,2.4,14.0,62.0,2.0,0.0,0.0,0.0,0.0,23.0,2.0,0.08,2024-10-31
2024,Nate Landman,LandNa01,ATL,26.0,LB,4.0,4.0,0.0,10.0,8.0,0.8,70.0,8.8,7.0,1.0,129.2,1.0,3.0,67.0,4.0,1.0,0.0,0.0,1.0,26.0,0.0,0.0,2024-10-31
2024,Harold Landry,LandHa00,TEN,28.0,OLB,7.0,7.0,0.0,3.0,2.0,0.667,10.0,5.0,3.3,0.0,71.5,-4.0,-12.0,22.0,11.0,3.0,4.0,4.0,11.0,30.0,6.0,0.16699999999999998,2024-10-31
2024,Jourdan Lewis,LewiJo01,DAL,29.0,CB,7.0,4.0,0.0,25.0,17.0,0.68,121.0,7.1,4.8,0.0,78.9,5.8,64.0,57.0,3.0,0.0,0.0,0.0,0.0,26.0,3.0,0.10300000000000001,2024-10-31
2024,Roger McCreary,McCrRo01,TEN,24.0,CB,7.0,2.0,0.0,29.0,22.0,0.759,170.0,7.7,5.9,1.0,101.2,2.7,16.0,154.0,9.0,0.0,1.0,1.0,2.0,18.0,4.0,0.182,2024-10-31
2024,Nick Scott,ScotNi01,CAR,29.0,S,7.0,4.0,0.0,17.0,14.0,0.8240000000000001,186.0,13.3,10.9,1.0,131.9,10.2,101.0,85.0,2.0,1.0,0.0,0.0,1.0,28.0,6.0,0.17600000000000002,2024-10-31
2024,Justin Simmons,SimmJu00,ATL,31.0,S,7.0,7.0,1.0,20.0,12.0,0.6,111.0,9.3,5.6,0.0,54.4,7.8,60.0,51.0,5.0,0.0,0.0,0.0,0.0,28.0,4.0,0.125,2024-10-31
2024,Starling Thomas,ThomSt01,ARI,24.0,CB,8.0,8.0,0.0,29.0,17.0,0.586,253.0,14.9,8.7,2.0,110.3,11.3,151.0,102.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.083,2024-10-31
2024,Antoine Winfield,WinfAn00,TB,26.0,S,4.0,4.0,0.0,5.0,3.0,0.6,56.0,18.7,11.2,1.0,138.3,14.2,29.0,27.0,12.0,0.0,1.0,1.0,2.0,28.0,1.0,0.034,2024-10-31
2024,Jaylon Carlies,CarlJa01,IND,23.0,LB,7.0,3.0,0.0,7.0,6.0,0.857,79.0,13.2,11.3,1.0,153.3,0.3,5.0,74.0,5.0,0.0,0.0,1.0,1.0,21.0,0.0,0.0,2024-10-31
2024,Caelen Carson,CarsCa01,DAL,22.0,CB,3.0,3.0,0.0,16.0,10.0,0.625,143.0,14.3,8.9,1.0,112.2,9.6,68.0,75.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.16699999999999998,2024-10-31
2024,Damone Clark,ClarDa02,DAL,24.0,LB,7.0,2.0,0.0,10.0,3.0,0.3,18.0,6.0,1.8,0.0,39.6,6.9,5.0,13.0,2.0,0.0,0.0,0.5,1.0,24.0,0.0,0.0,2024-10-31
2024,SirVocea Dennis,DennSi00,TB,24.0,LB,4.0,0.0,0.0,11.0,10.0,0.909,92.0,9.2,8.4,0.0,101.5,1.5,23.0,69.0,12.0,1.0,0.0,1.0,2.0,22.0,2.0,0.083,2024-10-31
2024,Cobie Durant,DuraDe01,LA,26.0,DB,7.0,7.0,1.0,28.0,15.0,0.536,152.0,10.1,5.4,0.0,54.5,11.1,128.0,24.0,2.0,0.0,1.0,1.0,2.0,22.0,1.0,0.043,2024-10-31
2024,Christian Elliss,ElliCh00,NE,25.0,LB,8.0,1.0,0.0,7.0,3.0,0.429,40.0,13.3,5.7,0.0,61.6,6.3,15.0,25.0,3.0,1.0,1.0,1.5,4.0,31.0,0.0,0.0,2024-10-31
2024,Davon Godchaux,GodcDa00,NE,30.0,DT,8.0,8.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,2024-10-31
2024,Cam Hart,HartCa00,LAC,24.0,CB,7.0,3.0,0.0,15.0,8.0,0.5329999999999999,80.0,10.0,5.3,0.0,68.7,11.4,55.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.055999999999999994,2024-10-31
2024,Jordan Hicks,HickJo00,CLE,32.0,LB,5.0,5.0,0.0,10.0,6.0,0.6,50.0,8.3,5.0,0.0,72.9,2.2,0.0,50.0,10.0,1.0,2.0,1.0,4.0,24.0,1.0,0.04,2024-10-31
2024,Travis Jones,JoneTr00,BAL,25.0,DT,8.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,79.2,-8.0,-8.0,8.0,0.0,2.0,1.0,1.0,4.0,20.0,0.0,0.0,2024-10-31
2024,Boye Mafe,MafeBo00,SEA,26.0,LB,6.0,3.0,0.0,3.0,3.0,1.0,31.0,10.3,10.3,0.0,109.7,0.7,2.0,29.0,7.0,5.0,4.0,4.0,13.0,20.0,2.0,0.091,2024-10-31
2024,Kool-Aid McKinstry,McKiKo00,NO,22.0,CB,8.0,2.0,0.0,21.0,14.0,0.667,184.0,13.1,8.8,0.0,94.1,10.1,118.0,66.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,0.053,2024-10-31
2024,Emmanuel Ogbah,OgbaEm00,MIA,31.0,LB,6.0,6.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.0,3.0,2.0,7.0,21.0,1.0,0.045,2024-10-31
2024,Isaiah Oliver,OlivIs00,NYJ,28.0,CB,8.0,1.0,0.0,15.0,10.0,0.667,101.0,10.1,6.7,0.0,85.7,7.7,47.0,54.0,12.0,0.0,1.0,1.0,2.0,20.0,2.0,0.091,2024-10-31
2024,Anfernee Orji,OrjiAn00,NO,24.0,LB,8.0,1.0,0.0,8.0,8.0,1.0,64.0,8.0,8.0,0.0,100.0,2.6,21.0,43.0,1.0,0.0,0.0,0.0,0.0,23.0,6.0,0.207,2024-10-31
2024,ZaDarius Smith,SmitZa00,CLE,32.0,DE,8.0,8.0,0.0,1.0,1.0,1.0,12.0,12.0,12.0,0.0,116.7,-1.0,-1.0,13.0,0.0,3.0,1.0,5.0,9.0,22.0,1.0,0.043,2024-10-31
2024,Grover Stewart,StewGr00,IND,31.0,DT,8.0,8.0,0.0,1.0,1.0,1.0,28.0,28.0,28.0,0.0,118.7,-3.0,-3.0,31.0,0.0,4.0,1.0,0.5,6.0,32.0,5.0,0.135,2024-10-31
2024,Kobie Turner,TurnKo00,LA,25.0,DE,7.0,7.0,0.0,2.0,2.0,1.0,16.0,8.0,8.0,0.0,100.0,-3.0,-6.0,22.0,0.0,5.0,0.0,3.0,8.0,28.0,2.0,0.067,2024-10-31
2024,Lukas Van Ness,VanNLu00,GB,23.0,DL,8.0,0.0,0.0,2.0,1.0,0.5,8.0,8.0,4.0,0.0,60.4,-5.5,-6.0,14.0,0.0,2.0,1.0,1.0,4.0,18.0,2.0,0.1,2024-10-31
